data_time,DGL-1-0D-QJ-1_temperature,DGL-1-0D-QJ-1_xAxisAngle,DGL-1-0D-QJ-1_yAxisAngle,DGL-1-1D-QJ-2_temperature,DGL-1-1D-QJ-2_xAxisAngle,DGL-1-1D-QJ-2_yAxisAngle,DGL-1-1L-LX-1_beamPierRelativeDisplacement,DGL-1-1L-LX-1_measureDisplacement,DGL-1-1L-LX-2_beamPierRelativeDisplacement,DGL-1-1L-LX-2_measureDisplacement,DGL-1-1L-WSD-1_humidity,DGL-1-1L-WSD-1_temperature,DGL-1-1L-YB-1_frequency,DGL-1-1L-YB-1_strain,DGL-1-1L-YB-1_temperature,DGL-2-0D-QJ-1_temperature,DGL-2-0D-QJ-1_xAxisAngle,DGL-2-0D-QJ-1_yAxisAngle,DGL-2-1D-QJ-2_temperature,DGL-2-1D-QJ-2_xAxisAngle,DGL-2-1D-QJ-2_yAxisAngle,DGL-2-1L-LX-1_beamPierRelativeDisplacement,DGL-2-1L-LX-1_measureDisplacement,DGL-2-1L-LX-2_beamPierRelativeDisplacement,DGL-2-1L-LX-2_measureDisplacement,DGL-2-1L-YB-1_frequency,DGL-2-1L-YB-1_strain,DGL-2-1L-YB-1_temperature
2025-12-31 11:20:00,,,,,,,,,,,,,,,,,,,,,,580.61,,424.071,,,,
2025-12-31 11:30:00,19.492,0.48441,-0.32443,19.3883,0.37924,-0.23918,,,,,,,,,,20.4282,-0.11045,0.19373,19.1957,0.2053,-0.10139,,,,,,,
2025-12-31 11:40:00,19.5351,0.48332,-0.32523,,,,,,,,,,,,,20.5263,-0.11117,0.19535,19.3276,0.20558,-0.0985,,,,,,,
2025-12-31 15:20:00,20.0182,0.47987,-0.31993,19.9872,0.38371,-0.23113,,,,,,,,,,,,,,,,580.072,,423.933,,,,
2025-12-31 15:30:00,19.9395,0.48386,-0.3232,19.9442,0.38265,-0.23106,489.822,,571.845,,,,899.974,,3727.13,,,,19.7295,0.20512,-0.09821,580.287,,423.487,,904.331,,3704.07
2025-12-31 15:40:00,20.0054,0.48376,-0.31888,19.9872,0.38403,-0.2306,489.76,,571.783,,,,899.974,,3729.33,20.8093,-0.11156,0.19327,19.8067,0.20383,-0.09597,580.272,,423.379,,904.353,,3703.89
2025-12-31 15:50:00,19.9927,0.48031,-0.32003,20.0118,0.38444,-0.23154,489.899,,571.215,,,,899.97,,3729.24,20.7722,-0.11236,0.19514,19.8282,0.20617,-0.0973,580.118,,423.764,,905.131,,3701.59
2025-12-31 16:00:00,,,,19.9307,0.38316,-0.23095,490.42,,571.845,,,,899.957,,3729.7,,,,,,,580.149,,423.41,,904.609,,3704.53
2025-12-31 16:10:00,19.9601,0.4842,-0.31996,20.0007,0.38246,-0.23055,489.269,,571.768,,,,899.966,,3727.95,20.7516,-0.11079,0.19518,,,,,,423.794,,904.911,,3702.23
2025-12-31 16:20:00,19.8894,0.48261,-0.31386,19.9427,0.38355,-0.23079,,,571.246,,,,899.979,,3725.01,20.7193,-0.11304,0.19505,,,,580.056,,423.41,,904.326,,3704.8
2025-12-31 16:30:00,19.8615,0.48333,-0.31912,19.9133,0.38389,-0.23096,489.914,,571.829,,,,900.095,,3723.45,20.6576,-0.11138,0.19348,19.6697,0.20436,-0.09825,579.995,,,,905.145,,3703.79
2025-12-31 16:40:00,19.9363,0.4832,-0.32138,19.9578,0.38442,-0.22931,489.853,,571.261,,,,899.979,,3722.99,20.6592,-0.11125,0.19348,19.8027,0.20473,-0.09939,580.087,,,,904.335,,3703.06
2025-12-31 16:50:00,19.8687,0.48387,-0.32041,19.9593,0.38353,-0.23054,490.436,,571.246,,,,899.979,,3723.17,20.6157,-0.11191,0.19292,19.8218,0.20395,-0.09845,580.056,,,,904.448,,3700.68
2025-12-31 17:00:00,,,,19.8536,0.38338,-0.23094,489.883,,571.799,,,,899.983,,3723.54,,,,19.6865,0.20473,-0.09903,579.334,,423.671,,905.149,,3702.14
2025-12-31 17:10:00,19.7199,0.4844,-0.32054,19.786,0.38398,-0.23045,489.853,,,,63.7,21.0,899.997,,3725.47,20.4448,-0.11073,0.19353,19.504,0.20529,-0.0984,579.98,,423.21,,904.497,,3704.07
2025-12-31 17:20:00,19.6475,0.48285,-0.32033,19.6769,0.38375,-0.22979,,,571.307,,67.1,20.9,899.988,,3730.72,20.3133,-0.10871,0.19119,19.3947,0.20552,-0.10033,579.918,,423.118,,904.484,,3711.96
2025-12-31 17:30:00,19.5805,0.48383,-0.32091,19.6459,0.38405,-0.23038,489.791,,571.215,,67.4,20.8,,,,20.1991,-0.11165,0.19351,19.3587,0.20345,-0.09894,580.01,,423.118,,,,
2025-12-31 17:40:00,19.5438,0.48454,-0.32026,19.5957,0.38381,-0.22999,490.42,,571.476,,69.4,20.7,899.983,,3736.98,20.0451,-0.11208,0.19361,19.2813,0.20361,-0.09888,579.857,,423.118,,904.502,,3726.57
2025-12-31 17:50:00,,,,19.5526,0.38439,-0.23021,490.374,,571.368,,67.5,20.4,899.997,,3741.68,19.9785,-0.11147,0.19196,19.2053,0.20401,-0.09923,579.887,,,,904.506,,3731.36
2025-12-31 18:00:00,,,,,,,,,,,,,899.992,,3746.29,,,,,,,,,423.518,,904.515,,3732.37
2025-12-31 18:10:00,19.4529,0.48428,-0.32048,19.4673,0.38354,-0.22981,490.42,,571.507,,66.8,20.2,899.988,,3749.8,19.8814,-0.11127,0.19323,19.1677,0.20527,-0.10019,579.933,,423.102,,904.551,,3733.75
2025-12-31 18:20:00,19.4322,0.48491,-0.32005,,,,489.899,,571.998,,70.1,20.2,899.974,,3754.32,,,,19.1277,0.204,-0.10067,579.903,,423.041,,904.529,,3740.57
2025-12-31 18:40:00,19.3859,0.483,-0.32056,19.421,0.3845,-0.23085,489.853,,571.906,,72.8,20.0,,,,19.6475,-0.11139,0.19207,19.0565,0.20394,-0.10057,,,423.041,,,,
2025-12-31 18:50:00,19.3843,0.48453,-0.31903,19.4154,0.38391,-0.22963,490.466,,571.461,,73.2,,899.988,,3760.7,19.5893,-0.11084,0.19351,19.0397,0.20625,-0.09964,580.087,,423.133,,904.533,,3754.51
2025-12-31 19:00:00,19.3723,0.48521,-0.32008,19.4154,0.38385,-0.23067,489.868,,571.937,,69.8,,900.001,,3760.97,19.5598,-0.11126,0.1928,19.0405,0.20531,-0.10042,580.041,,423.548,,904.547,,3752.94
2025-12-31 19:10:00,,,,19.4146,0.38525,-0.22946,489.807,,571.353,,,,900.001,,3760.97,19.5582,-0.11353,0.19362,19.0277,0.20543,-0.10021,579.949,,423.225,,904.551,,3755.34
2025-12-31 19:20:00,19.3675,0.48494,-0.32043,19.4026,0.38338,-0.23106,490.466,,571.399,,72.9,19.9,900.001,,3760.05,19.5327,-0.11053,0.19481,19.0141,0.20457,-0.10025,579.857,,423.225,,904.92,,3754.88
2025-12-31 19:30:00,19.3627,0.48429,-0.31983,19.4138,0.38391,-0.23197,490.405,,571.399,,72.6,19.9,899.997,,3763.38,19.5088,-0.113,0.19301,19.0125,0.20423,-0.10057,579.995,,423.287,,904.947,,3759.87
2025-12-31 19:40:00,19.3611,0.48324,-0.32114,19.3995,0.38427,-0.23144,,,571.353,,72.9,19.9,900.01,,3763.93,19.4872,-0.11095,0.19255,,,,579.98,,423.225,,904.969,,3760.98
