data_time,ZS-0-0D-QJ-1_temperature,ZS-0-0D-QJ-1_xAxisAngle,ZS-0-0D-QJ-1_yAxisAngle,ZS-0-1D-QJ-1_temperature,ZS-0-1D-QJ-1_xAxisAngle,ZS-0-1D-QJ-1_yAxisAngle,ZS-0-1L-LX-1_beamPierRelativeDisplacement,ZS-0-1L-LX-1_measureDisplacement,ZS-0-1L-LX-2_beamPierRelativeDisplacement,ZS-0-1L-LX-2_measureDisplacement,ZS-0-1L-LX-3_beamPierRelativeDisplacement,ZS-0-1L-LX-3_measureDisplacement,ZS-0-1L-LX-4_beamPierRelativeDisplacement,ZS-0-1L-LX-4_measureDisplacement,ZS-0-1L-WSD-1_humidity,ZS-0-1L-WSD-1_temperature,ZS-0-1L-YB-1_frequency,ZS-0-1L-YB-1_strain,ZS-0-1L-YB-1_temperature,ZS-0-1L-YB-2_frequency,ZS-0-1L-YB-2_strain,ZS-0-1L-YB-2_temperature
2025-12-21 17:30:00,,,,,,,,,,,,,,,,,866.505,,25.655863152,896.202,,25.178182655
2025-12-21 17:40:00,,,,,,,,,,,,,,,,,866.566,,25.522526086,896.455,,25.039022035
2025-12-21 17:50:00,,,,,,,,,,,,,,,,,866.643,,25.385946462,896.583,,24.918041109
2025-12-21 18:00:00,,,,,,,,,,,,,,,,,866.605,,25.273914433,896.752,,24.818771299
2025-12-21 18:10:00,,,,,,,,,,,,,,,,,866.695,,25.159275169,896.863,,24.716983174
2025-12-21 18:20:00,,,,,,,,,,,,,,,,,867.171,,25.101816362,896.999,,24.654403826
2025-12-21 18:30:00,,,,,,,,,,,,,,,,,867.21,,25.055600274,897.03,,24.650808065
2025-12-21 18:40:00,,,,,,,,,,,,,,,,,867.505,,24.993406954,897.173,,24.641297388
2025-12-21 18:50:00,,,,,,,,,,,,,,,,,867.557,,24.931101518,897.249,,24.590599953
2025-12-21 19:00:00,,,,,,,,,,,,,,,,,867.587,,24.858011723,897.24,,24.517099633
2025-12-21 19:10:00,,,,,,,,,,,,,,,,,868.28,,24.781341327,897.531,,24.446536706
2025-12-21 19:20:00,,,,,,,,,,,,,,,,,868.379,,24.69257354,897.66,,24.366322829
2025-12-21 19:30:00,,,,,,,,,,,,,,,,,868.414,,24.596575292,897.736,,24.313589368
2025-12-21 19:40:00,,,,,,,,,,,,,,,,,868.414,,24.431564753,897.839,,24.246380496
2025-12-21 19:50:00,,,,,,,,,,,,,,,,,868.453,,24.313589368,897.947,,24.183347631
2025-12-21 20:00:00,,,,,,,,,,,,,,,,,868.448,,24.303427397,898.041,,24.135837814
2025-12-21 20:10:00,,,,,,,,,,,,,,,,,868.448,,24.266210868,898.081,,24.058310428
2025-12-21 20:20:00,,,,,,,,,,,,,,,,,868.448,,24.197109975,898.068,,23.961242711
2025-12-21 20:30:00,,,,,,,,,,,,,,,,,868.444,,24.137078944,898.162,,23.868245256
2025-12-21 20:40:00,,,,,,,,,,,,,,,,,868.461,,24.082978771,898.404,,23.801149031
2025-12-21 20:50:00,,,,,,,,,,,,,,,,,868.465,,23.935278331,898.453,,23.791530962
2025-12-21 21:00:00,,,,,,,,,,,,,,,,,868.461,,23.580599699,898.453,,23.768509473
2025-12-21 21:10:00,,,,,,,,,,,,,,,,,868.431,,23.290601567,898.431,,23.63485049
2025-12-21 21:20:00,,,,,,,,,,,,,,,,,868.414,,23.199207189,898.538,,23.565481272
2025-12-21 21:30:00,,,,,,,,,,,,,,,,,868.388,,23.174214908,898.525,,23.520973304
2025-12-21 21:40:00,,,,,,,,,,,,,,,,,868.371,,23.089655145,898.574,,23.471620482
2025-12-21 21:50:00,,,,,,,,,,,,,,,,,868.353,,23.083144091,898.57,,23.434368638
2025-12-21 22:00:00,,,,,,,,,,,,,,,,,868.668,,22.9248348,898.619,,23.381573424
2025-12-21 22:10:00,,,,,,,,,,,,,,,,,868.66,,22.827373632,898.579,,23.338455576
2025-12-21 22:20:00,,,,,,,,,,,,,,,,,868.629,,22.846800306,898.65,,23.296550787
2025-12-21 22:30:00,,,,,,,,,,,,,,,,,868.647,,22.767230431,898.637,,23.237417538
2025-12-21 22:40:00,,,,,,,,,,,,,,,,,868.634,,22.677185966,898.628,,23.174214908
2025-12-21 22:50:00,,,,,,,,,,,,,,,,,868.625,,22.610866298,898.713,,23.131334743
2025-12-21 23:00:00,,,,,,,,,,,,,,,,,868.621,,22.558117999,898.7,,23.089655145
2025-12-21 23:10:00,,,,,,,,,,,,,,,,,868.603,,22.54112793,898.785,,23.045712247
2025-12-21 23:20:00,,,,,,,,,,,,,,,,,868.603,,22.4447223,898.767,,22.992350178
