data_time,XLH-1-0D-QJ-1_temperature,XLH-1-0D-QJ-1_xAxisAngle,XLH-1-0D-QJ-1_yAxisAngle,XLH-1-1D-QJ-1_temperature,XLH-1-1D-QJ-1_xAxisAngle,XLH-1-1D-QJ-1_yAxisAngle,XLH-1-1L-LX-1_beamPierRelativeDisplacement,XLH-1-1L-LX-1_measureDisplacement,XLH-1-1L-LX-2_beamPierRelativeDisplacement,XLH-1-1L-LX-2_measureDisplacement,XLH-1-1L-YB-1_frequency,XLH-1-1L-YB-1_strain,XLH-1-1L-YB-1_temperature,XLH-1-1L-YB-2_frequency,XLH-1-1L-YB-2_strain,XLH-1-1L-YB-2_temperature,XLH-1-3L-WSD-1_humidity,XLH-1-3L-WSD-1_temperature,XLH-2-2L-LX-1_beamPierRelativeDisplacement,XLH-2-2L-LX-1_measureDisplacement,XLH-2-2L-LX-2_beamPierRelativeDisplacement,XLH-2-2L-LX-2_measureDisplacement,XLH-2-2L-YB-1_frequency,XLH-2-2L-YB-1_strain,XLH-2-2L-YB-1_temperature,XLH-2-2L-YB-2_frequency,XLH-2-2L-YB-2_strain,XLH-2-2L-YB-2_temperature,XLH-2-3D-QJ-1_temperature,XLH-2-3D-QJ-1_xAxisAngle,XLH-2-3D-QJ-1_yAxisAngle
2025-12-30 14:40:00,,,,,,,485.167,,497.976,,883.027,,2504.04,891.644,,3396.71,,,532.227,,664.894,,894.037,,3422.97,885.989,,2590.38,,,
2025-12-30 14:50:00,21.0854,0.03146,0.22584,21.45,0.27846,0.29503,485.074,,497.423,,882.186,,2411.38,891.462,,3368.81,41.2,22.6,532.227,,665.493,,893.961,,3413.38,884.655,,2512.75,21.9697,-0.13324,0.0175
2025-12-30 15:00:00,21.3296,0.03669,0.22535,21.5805,0.27987,0.29722,485.597,,,,882.974,,2471.91,891.516,,3367.15,,,532.181,,,,893.983,,3407.23,884.439,,2500.57,22.0293,-0.13322,0.01749
2025-12-30 15:10:00,21.2973,0.03106,0.22493,21.4932,0.28213,0.29499,485.582,,498.62,,882.479,,2422.21,891.52,,3364.27,37.6,26.0,531.782,,665.124,,893.988,,3405.13,883.461,,2432.01,22.0191,-0.13324,0.01714
2025-12-30 15:20:00,21.2856,0.03154,0.22608,21.4751,0.27876,0.2945,485.628,,498.006,,882.125,,2369.53,891.618,,3367.85,39.8,22.5,531.613,,665.463,,893.975,,3398.99,882.375,,2371.97,22.0896,-0.13428,0.0175
2025-12-30 15:30:00,21.2816,0.03093,0.22569,21.4775,0.27795,0.2945,485.121,,497.976,,882.274,,2364.88,891.667,,3365.76,39.1,22.8,531.751,,665.124,,894.001,,3393.99,882.173,,2371.36,,,
2025-12-30 15:40:00,21.3076,0.03158,0.22808,21.4783,0.27891,0.29414,485.72,,497.93,,882.493,,2368.2,891.746,,3357.91,38.2,22.6,531.613,,665.463,,893.975,,3387.95,881.981,,2371.08,22.1249,-0.13368,0.01604
2025-12-30 15:50:00,21.2627,0.03105,0.22535,21.4751,0.27835,0.29392,485.551,,497.976,,883.0,,2394.82,891.893,,3360.09,39.9,22.7,532.135,,665.109,,894.037,,3382.18,882.086,,2396.85,22.1076,-0.13325,0.01558
2025-12-30 16:00:00,21.2926,0.03128,0.22541,21.5011,0.27924,0.29479,485.121,,497.96,,883.434,,2419.41,891.786,,3357.47,40.2,22.6,532.15,,665.124,,894.015,,3382.44,882.165,,2408.66,22.1241,-0.13452,0.01433
2025-12-30 16:10:00,21.435,0.03266,0.22557,21.615,0.27824,0.29419,484.936,,497.93,,884.0,,2445.98,891.866,,3350.94,41.3,22.4,531.812,,665.432,,894.055,,3375.79,882.449,,2455.34,22.1656,-0.13418,0.01609
2025-12-30 16:20:00,21.4688,0.03053,0.22661,21.6394,0.27968,0.29371,484.751,,497.96,,884.299,,2487.87,892.119,,3349.37,41.9,24.5,531.674,,665.14,,894.094,,3374.05,882.58,,2464.34,22.1711,-0.13414,0.01654
