data_time,XQH-1-0D-QJ-1_temperature,XQH-1-0D-QJ-1_xAxisAngle,XQH-1-0D-QJ-1_yAxisAngle,XQH-1-1D-QJ-1_temperature,XQH-1-1D-QJ-1_xAxisAngle,XQH-1-1D-QJ-1_yAxisAngle,XQH-1-1L-LX-1_beamPierRelativeDisplacement,XQH-1-1L-LX-1_measureDisplacement,XQH-1-1L-LX-2_beamPierRelativeDisplacement,XQH-1-1L-LX-2_measureDisplacement,XQH-1-1L-YB-1_frequency,XQH-1-1L-YB-1_strain,XQH-1-1L-YB-1_temperature,XQH-1-1L-YB-2_frequency,XQH-1-1L-YB-2_strain,XQH-1-1L-YB-2_temperature,XQH-1-3L-WSD-1_humidity,XQH-1-3L-WSD-1_temperature,XQH-2-2L-LX-1_beamPierRelativeDisplacement,XQH-2-2L-LX-1_measureDisplacement,XQH-2-2L-YB-1_frequency,XQH-2-2L-YB-1_strain,XQH-2-2L-YB-1_temperature,XQH-2-2L-YB-2_frequency,XQH-2-2L-YB-2_strain,XQH-2-2L-YB-2_temperature,XQH-2-3D-QJ-1_temperature,XQH-2-3D-QJ-1_xAxisAngle,XQH-2-3D-QJ-1_yAxisAngle
2025-12-30 14:50:00,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,
2025-12-30 15:00:00,,,,,,,565.264,,542.882,,831.754,,3321.01,886.055,,3323.61,,,553.573,,,,,,,,,,
2025-12-30 15:10:00,22.4996,-0.07359,0.28783,22.4027,-0.00164,0.37898,470.469,,542.897,,831.862,,3318.33,886.143,,3329.77,48.5,,553.527,,,,,,,,,,
2025-12-30 15:20:00,22.4465,-0.07496,0.28653,22.3018,-0.00206,0.37898,565.31,,542.99,,832.024,,3331.42,886.126,,3338.11,48.7,,553.573,,,,,,,,,,
2025-12-30 15:30:00,22.6223,-0.07458,0.287,22.6004,-0.00351,0.3812,564.88,,543.45,,832.02,,3321.1,886.311,,3331.68,47.5,,553.189,,,,,,,,,,
2025-12-30 15:40:00,22.6082,-0.0753,0.28813,22.4089,-0.00137,0.37857,565.248,,543.557,,832.082,,3319.45,886.355,,3330.03,49.2,,553.066,,,,,,,,,,
2025-12-30 15:50:00,22.4817,-0.07514,0.28754,22.4167,-0.00278,0.37852,565.279,,543.573,,832.173,,3324.39,886.501,,3332.81,46.7,,553.45,,,,,,,,,,
2025-12-30 16:00:00,22.6004,-0.07604,0.28953,22.3816,-0.0029,0.37916,566.001,,542.913,,832.223,,3325.43,886.536,,3335.15,46.7,,553.45,,,,,,,,22.1538,-0.29165,0.08335
2025-12-30 16:10:00,22.5746,-0.07784,0.2902,22.4785,-0.00286,0.38091,565.264,,,,832.252,,3328.99,886.695,,3335.07,48.0,22.4,553.066,,,,,,,,22.2994,-0.29154,0.08236
2025-12-30 16:20:00,22.5544,-0.07402,0.28798,22.6059,-0.00145,0.38143,565.294,,542.913,,832.327,,3328.3,886.783,,3335.76,45.7,22.7,553.02,,,,,,,,22.3964,-0.29171,0.08248
2025-12-30 16:30:00,22.5395,-0.07658,0.28775,22.4707,-0.0025,0.37937,565.248,,543.02,,832.422,,3336.02,886.885,,3344.28,46.9,22.5,553.051,,,,,,,,22.2728,-0.292,0.08407
2025-12-30 16:40:00,22.5317,-0.07661,0.28969,22.4778,-0.00271,0.38072,565.248,,542.944,,832.518,,3340.11,886.956,,3346.54,47.3,22.5,552.882,,,,,,,,22.2525,-0.29272,0.08218
2025-12-30 16:50:00,22.3941,-0.07557,0.28728,22.3698,-0.00242,0.37975,565.248,,542.928,,832.58,,3344.71,887.208,,3357.95,48.0,22.4,552.866,,,,,,,,,,
2025-12-30 17:00:00,22.2752,-0.07527,0.28683,22.2204,-0.00142,0.37914,565.248,,542.974,,832.666,,3354.2,887.407,,3370.16,49.8,22.3,552.82,,,,,,,,21.9376,-0.29279,0.08258
2025-12-30 17:10:00,22.0246,-0.07563,0.28722,21.8976,-0.00093,0.37766,565.233,,543.388,,832.79,,3361.0,887.73,,3387.64,49.8,22.3,552.836,,,,,,,,21.7815,-0.29255,0.08132
2025-12-30 17:20:00,21.8262,-0.07662,0.28716,21.7776,-0.00161,0.37912,564.864,,542.959,,833.009,,3375.05,888.004,,3410.34,49.5,22.2,553.373,,,,,,,,21.7132,-0.29181,0.08255
2025-12-30 17:30:00,21.6197,-0.0744,0.28723,21.6441,-0.00221,0.37824,470.3,,543.45,,833.204,,3385.19,888.088,,3432.6,50.0,22.1,552.866,,,,,,,,21.4138,-0.29188,0.08168
2025-12-30 17:40:00,,,,21.4641,0.00052,0.37516,565.31,,543.465,,833.349,,3401.57,888.661,,3456.52,50.0,22.0,552.882,,,,,,,,21.3571,-0.29277,0.08229
2025-12-30 17:50:00,21.2714,-0.07491,0.28803,21.3281,-0.00074,0.37757,470.116,,542.836,,833.552,,3414.56,889.041,,3476.89,50.8,21.8,553.358,,,,,,,,21.2021,-0.2928,0.08271
2025-12-30 18:00:00,21.1351,-0.07515,0.28766,21.2233,0.0004,0.3768,565.233,,542.805,,833.705,,3432.16,889.213,,3495.45,50.3,21.7,553.342,,,,,,,,21.1343,-0.29326,0.08167
2025-12-30 18:10:00,20.9656,-0.07426,0.28808,21.0177,0.0001,0.3771,565.264,,543.066,,833.846,,3445.21,889.363,,3518.17,52.3,21.4,552.252,,,,,,,,20.8393,-0.29286,0.0817
2025-12-30 18:20:00,20.8243,-0.07608,0.28857,20.8906,0.0002,0.37749,565.171,,542.713,,833.895,,3456.26,889.681,,3532.19,53.1,,552.774,,,,,,,,20.7982,-0.294,0.08177
2025-12-30 18:30:00,20.7406,-0.07446,0.28742,20.7982,-0.00098,0.37647,565.141,,543.25,,834.04,,3466.52,889.969,,3548.4,54.0,21.0,552.943,,,,,,,,20.6616,-0.2925,0.08197
2025-12-30 18:40:00,20.6046,-0.07359,0.28904,20.6157,0.00112,0.37664,565.171,,542.637,,834.169,,3477.86,890.142,,3566.35,55.0,20.8,553.465,,,,,,,,20.4305,-0.29312,0.08148
2025-12-30 18:50:00,,,,,,,470.269,,542.606,,834.268,,3491.89,890.46,,3585.88,57.3,20.6,553.02,,,,,,,,,,
2025-12-30 19:00:00,20.3434,-0.07323,0.28899,,,,565.049,,543.051,,834.352,,3504.35,890.487,,3601.49,,,553.051,,,,,,,,20.2047,-0.29302,0.08101
2025-12-30 19:10:00,20.299,-0.0739,0.28806,20.3149,0.00244,0.37674,565.049,,543.235,,834.434,,3511.39,890.793,,3611.08,,20.4,552.958,,,,,,,,20.0959,-0.29373,0.08104
2025-12-30 19:20:00,20.1928,-0.07413,0.28872,,,,565.079,,542.744,,834.517,,3516.47,890.846,,3620.94,59.0,20.3,,,,,,,,,19.98,-0.29398,0.0822
2025-12-30 19:30:00,20.0698,-0.07415,0.2905,20.0309,0.00093,0.37584,565.079,,,,834.667,,3529.15,891.085,,3634.09,62.4,20.0,,,,,,,,,19.8242,-0.2936,0.08132
2025-12-30 19:40:00,19.9419,-0.07316,0.28944,19.8194,0.00205,0.3768,565.064,,543.128,,834.746,,3542.13,891.192,,3649.64,66.7,,553.496,,,,,,,,19.4976,-0.29286,0.0809
2025-12-30 19:50:00,,,,19.7422,0.00088,0.37701,565.064,,543.22,,834.796,,3551.18,891.493,,3665.21,63.2,19.6,553.435,,,,,,,,19.3955,-0.29429,0.08118
2025-12-30 20:00:00,19.9045,-0.07316,0.29033,19.7677,0.0013,0.3783,565.079,,542.667,,834.85,,3558.63,891.569,,3676.71,63.0,19.7,553.035,,,,,,,,19.5183,-0.29379,0.07949
2025-12-30 20:10:00,19.852,-0.0737,0.28956,19.7526,0.00222,0.37594,565.064,,542.683,,834.87,,3561.68,891.702,,3682.38,63.8,19.7,,,,,,,,,19.575,-0.29368,0.07993
2025-12-30 20:20:00,19.7812,-0.07351,0.28993,19.6028,0.00114,0.37637,565.033,,542.698,,835.003,,3577.77,891.746,,3694.36,67.1,19.5,553.603,,,,,,,,19.4705,-0.29395,0.0809
2025-12-30 20:30:00,19.7008,-0.07239,0.29132,19.4888,0.00132,0.37513,565.033,,543.143,,835.053,,3585.43,892.061,,3703.89,68.4,19.1,553.143,,,,,,,,19.3811,-0.29344,0.08149
2025-12-30 20:40:00,19.6602,-0.07218,0.29316,19.3891,0.00201,0.37661,565.018,,543.112,,835.136,,3599.96,892.172,,3719.5,66.1,19.1,553.588,,,,,,,,19.306,-0.29404,0.08151
2025-12-30 20:50:00,19.5741,-0.07363,0.29081,19.3947,0.00224,0.3769,470.238,,543.036,,835.245,,3603.21,892.198,,3725.66,68.7,19.0,553.603,,,,,,,,19.1957,-0.29375,0.08033
2025-12-30 21:00:00,19.2813,-0.07049,0.29137,19.1382,0.00271,0.37571,565.064,,543.066,,835.519,,3628.65,892.468,,3744.55,68.6,18.9,553.588,,,,,,,,19.1198,-0.29384,0.0807
2025-12-30 21:10:00,19.3523,-0.07307,0.28922,19.1661,0.00059,0.37639,565.11,,543.158,,835.527,,3633.01,892.534,,3755.63,,18.7,553.573,,,,,,,,18.8995,-0.29286,0.08014
2025-12-30 21:20:00,19.429,-0.07193,0.29063,19.1765,0.00178,0.37646,565.095,,542.621,,835.54,,3633.28,892.738,,3762.47,71.3,18.7,553.588,,,,,,,,18.873,-0.29445,0.07908
2025-12-30 21:30:00,19.2765,-0.07369,0.29003,19.0645,0.00147,0.37686,565.049,,543.143,,835.565,,3637.82,892.804,,3771.35,73.8,18.6,553.143,,,,,,,,18.8811,-0.2957,0.0802
2025-12-30 21:40:00,,,,18.982,0.00207,0.37675,565.079,,542.683,,835.735,,3653.91,892.946,,3783.22,69.5,18.5,553.158,,,,,,,,18.8859,-0.29276,0.07964
2025-12-30 21:50:00,19.1093,-0.07317,0.28956,18.9828,0.00047,0.37541,564.603,,542.652,,835.844,,3662.38,893.026,,3788.97,73.9,18.5,553.573,,,,,,,,18.7302,-0.29429,0.08036
2025-12-30 22:00:00,18.9684,-0.07258,0.29101,18.7928,0.00111,0.37593,565.079,,542.483,,835.806,,3662.75,892.982,,3796.87,,18.2,553.542,,,,,,,,18.4955,-0.2929,0.07965
2025-12-30 22:10:00,18.9195,-0.07205,0.29094,18.731,0.00272,0.37672,565.064,,542.928,,835.819,,3662.66,893.19,,3804.22,75.1,18.3,,,,,,,,,18.4271,-0.29284,0.07957
2025-12-30 22:20:00,18.7744,-0.07239,0.29043,18.6282,0.00328,0.37543,565.049,,542.99,,835.827,,3670.5,893.207,,3818.75,77.1,18.1,553.588,,,,,,,,18.3014,-0.29342,0.07867
