data_time,LH-0-0D-QJ-1_temperature,LH-0-0D-QJ-1_xAxisAngle,LH-0-0D-QJ-1_yAxisAngle,LH-0-1D-QJ-1_temperature,LH-0-1D-QJ-1_xAxisAngle,LH-0-1D-QJ-1_yAxisAngle,LH-0-1L-LX-1_beamPierRelativeDisplacement,LH-0-1L-LX-1_measureDisplacement,LH-0-1L-LX-2_beamPierRelativeDisplacement,LH-0-1L-LX-2_measureDisplacement,LH-0-1L-LX-3_beamPierRelativeDisplacement,LH-0-1L-LX-3_measureDisplacement,LH-0-1L-LX-4_beamPierRelativeDisplacement,LH-0-1L-LX-4_measureDisplacement,LH-0-1L-WSD-1_humidity,LH-0-1L-WSD-1_temperature,LH-0-1L-YB-1_frequency,LH-0-1L-YB-1_strain,LH-0-1L-YB-1_temperature,LH-0-1L-YB-2_frequency,LH-0-1L-YB-2_strain,LH-0-1L-YB-2_temperature
2025-12-30 16:40:00,,,,,,,,,,,,,,,47.8,21.8,878.109,,3369.94,895.665,,3427.28
2025-12-30 16:50:00,,,,,,,,,,,,,,,48.2,21.8,,,,896.06,,3444.03
2025-12-30 17:00:00,,,,,,,,,,,,,,,49.0,21.7,878.645,,3394.34,897.103,,3464.72
2025-12-30 17:10:00,,,,,,,,,,,,,,,49.2,21.7,879.339,,3423.93,896.925,,3484.31
2025-12-30 17:20:00,,,,,,,,,,,,,,,48.2,,878.902,,3420.68,897.302,,3488.57
2025-12-30 17:30:00,,,,,,,,,,,,,,,48.7,21.6,879.112,,3423.58,897.168,,3491.24
2025-12-30 17:40:00,,,,,,,,,,,,,,,49.0,21.6,879.396,,3445.97,897.472,,3503.16
2025-12-30 17:50:00,,,,,,,,,,,,,,,50.1,21.5,879.562,,3469.23,897.638,,3525.01
2025-12-30 18:00:00,,,,,,,,,,,,,,,,,880.008,,3498.89,897.844,,3558.05
2025-12-30 18:10:00,,,,,,,,,,,,,,,50.9,21.4,880.485,,3539.76,898.431,,3599.3
2025-12-30 18:20:00,,,,,,,,,,,,,,,,,880.481,,3553.39,898.278,,3611.77
2025-12-30 18:30:00,,,,,,,,,,,,,,,54.6,21.2,880.472,,3572.34,898.435,,3620.46
2025-12-30 18:40:00,,,,,,,,,,,,,,,54.7,21.1,880.809,,3582.88,898.893,,3635.51
2025-12-30 18:50:00,,,,,,,,,,,,,,,54.7,21.0,880.792,,3600.2,899.527,,3645.87
2025-12-30 19:00:00,,,,,,,,,,,,,,,53.7,20.9,880.761,,3609.6,,,
2025-12-30 19:10:00,,,,,,,,,,,,,,,59.8,20.9,880.866,,3615.57,898.991,,3656.07
2025-12-30 19:20:00,,,,,,,,,,,,,,,55.9,20.8,881.749,,3625.72,899.492,,3656.52
2025-12-30 19:30:00,,,,,,,,,,,,,,,57.4,20.8,880.796,,3622.45,898.956,,3660.62
2025-12-30 19:40:00,,,,,,,,,,,,,,,58.9,20.7,880.879,,3635.7,899.192,,3669.47
2025-12-30 19:50:00,,,,,,,,,,,,,,,56.5,20.6,880.963,,3652.61,899.144,,3684.82
