data_time,MS-0-0D-QJ-1_temperature,MS-0-0D-QJ-1_xAxisAngle,MS-0-0D-QJ-1_yAxisAngle,MS-0-1D-QJ-1_temperature,MS-0-1D-QJ-1_xAxisAngle,MS-0-1D-QJ-1_yAxisAngle,MS-0-1L-LX-1_beamPierRelativeDisplacement,MS-0-1L-LX-1_measureDisplacement,MS-0-1L-LX-3_beamPierRelativeDisplacement,MS-0-1L-LX-3_measureDisplacement,MS-0-1L-WSD-1_humidity,MS-0-1L-WSD-1_temperature,MS-0-1L-YB-1_frequency,MS-0-1L-YB-1_strain,MS-0-1L-YB-1_temperature,MS-0-1L-YB-2_frequency,MS-0-1L-YB-2_strain,MS-0-1L-YB-2_temperature
2025-12-30 16:30:00,,,,,,,498.784,,,,,,868.793,,3340.63,879.212,,3328.04
2025-12-30 16:40:00,22.3026,-0.17813,-0.22758,24.0664,0.36114,-0.34694,498.784,,,,24.0353,484.361,868.815,,3354.11,879.286,,3344.98
2025-12-30 16:50:00,,,,23.6656,0.3609,-0.34818,498.768,,,,23.6656,483.9,868.832,,3355.94,879.514,,3358.21
2025-12-30 17:00:00,22.2806,-0.17951,-0.22931,22.7129,0.36198,-0.3462,,,,,22.7129,483.9,868.849,,3364.83,879.654,,3369.11
2025-12-30 17:10:00,22.0042,-0.17914,-0.22901,22.3761,0.36314,-0.34657,498.876,,,,22.3761,483.839,868.845,,3393.33,879.969,,3398.06
2025-12-30 17:20:00,21.896,-0.17868,-0.22712,22.1624,0.3618,-0.34501,498.768,,,,22.1624,483.839,869.026,,3405.51,880.135,,3410.6
2025-12-30 17:30:00,21.5655,-0.17769,-0.2284,21.8709,0.36184,-0.34687,498.83,,,,21.8709,483.9,871.295,,3450.6,880.533,,3456.61
2025-12-30 17:40:00,21.3202,-0.17798,-0.23005,21.6464,0.36219,-0.34758,,,,,21.6464,483.839,871.286,,3496.43,880.827,,3502.03
2025-12-30 17:50:00,21.1044,-0.1772,-0.22984,21.3949,0.36175,-0.34761,498.83,,,,21.6464,483.716,871.269,,3523.35,881.059,,3531.93
2025-12-30 18:00:00,20.9459,-0.17692,-0.22853,21.0925,0.36209,-0.34757,499.23,,,,21.0925,484.314,871.338,,3547.68,881.239,,3555.13
2025-12-30 18:10:00,20.705,-0.17691,-0.22888,21.0334,0.36232,-0.34659,498.261,,,,21.0925,,871.355,,3584.44,881.348,,3591.74
2025-12-30 18:20:00,20.5049,-0.1769,-0.22872,20.7469,0.36258,-0.34562,,,,,20.7469,483.731,871.399,,3602.49,881.693,,3600.59
2025-12-30 18:30:00,20.406,-0.17772,-0.22829,20.6086,0.36356,-0.34624,498.845,,,,20.6086,483.777,871.394,,3608.72,881.972,,3613.34
2025-12-30 18:40:00,20.1817,-0.17607,-0.22953,20.4511,0.36232,-0.34459,498.768,,,,20.4511,483.747,871.42,,3647.27,882.27,,3662.2
2025-12-30 18:50:00,20.0539,-0.17647,-0.22876,,,,498.83,,,,20.4321,483.777,871.567,,3647.18,882.462,,3667.31
2025-12-30 19:00:00,19.8783,-0.17686,-0.22708,,,,498.799,,,,20.4321,483.869,871.567,,3671.59,882.637,,3683.11
2025-12-30 19:10:00,19.9458,-0.17757,-0.22795,20.1595,0.36114,-0.34565,498.814,,,,20.1595,,871.571,,3646.45,882.462,,3644.36
2025-12-30 19:20:00,19.7947,-0.17694,-0.22784,20.1047,0.36259,-0.34498,,,,,20.1047,483.823,871.554,,3671.05,882.9,,3689.14
2025-12-30 19:30:00,19.6268,-0.17685,-0.22716,19.9283,0.36294,-0.34527,498.768,,,,19.9283,483.946,871.563,,3733.58,883.075,,3737.82
2025-12-30 19:40:00,19.5694,-0.17573,-0.22756,19.8767,0.36132,-0.34557,498.768,,,,,,871.567,,3705.91,883.075,,3727.32
2025-12-30 19:50:00,19.3707,-0.1763,-0.22704,19.7932,0.36272,-0.34576,498.814,,,,19.5694,483.916,871.55,,3779.32,883.254,,3787.02
2025-12-30 20:00:00,19.3228,-0.17731,-0.2281,,,,498.753,,,,19.7932,483.885,876.438,,3763.3,883.456,,3775.8
2025-12-30 20:10:00,19.3747,-0.17571,-0.22744,19.7183,0.36208,-0.34463,,,,,19.7183,483.808,876.582,,3704.35,883.281,,3734.13
2025-12-30 20:20:00,19.4178,-0.17576,-0.22796,19.7366,0.36166,-0.34549,498.814,,,,19.7366,483.854,876.494,,3701.97,883.303,,3746.58
2025-12-30 20:30:00,19.405,-0.17598,-0.22828,,,,498.83,,20.4,,19.8051,483.854,876.831,,3719.5,883.465,,3740.58
2025-12-30 20:40:00,19.4266,-0.17561,-0.22851,,,,,,,,19.6793,484.284,876.787,,3710.31,883.057,,3739.39
2025-12-30 20:50:00,19.3212,-0.1757,-0.22733,19.5757,0.3636,-0.34512,498.891,,20.2,,19.5757,483.823,876.73,,3753.69,883.461,,3778.58
2025-12-30 21:00:00,19.2892,-0.17661,-0.22721,19.6809,0.36207,-0.34595,499.26,,20.1,,62.4,483.685,877.018,,3692.8,883.198,,3706.46
2025-12-30 21:10:00,,,,19.5622,0.3634,-0.34602,498.768,,20.0,,19.6809,483.777,877.084,,3807.38,883.882,,3824.25
2025-12-30 21:20:00,18.9347,-0.17515,-0.22724,19.3412,0.36308,-0.34499,498.799,,20.0,,19.3412,483.808,877.106,,3850.34,884.343,,3872.67
2025-12-30 21:30:00,18.8313,-0.17484,-0.22842,19.2197,0.36244,-0.3457,498.83,,19.9,,19.2197,483.808,878.453,,3852.31,884.365,,3870.88
