data_time,QH-0-0D-QJ-1_temperature,QH-0-0D-QJ-1_xAxisAngle,QH-0-0D-QJ-1_yAxisAngle,QH-0-1D-QJ-1_temperature,QH-0-1D-QJ-1_xAxisAngle,QH-0-1D-QJ-1_yAxisAngle,QH-0-1L-LX-1_beamPierRelativeDisplacement,QH-0-1L-LX-1_measureDisplacement,QH-0-1L-LX-2_beamPierRelativeDisplacement,QH-0-1L-LX-2_measureDisplacement,QH-0-1L-LX-3_beamPierRelativeDisplacement,QH-0-1L-LX-3_measureDisplacement,QH-0-1L-LX-4_beamPierRelativeDisplacement,QH-0-1L-LX-4_measureDisplacement,QH-0-1L-WSD-1_humidity,QH-0-1L-WSD-1_temperature,QH-0-1L-YB-1_frequency,QH-0-1L-YB-1_strain,QH-0-1L-YB-1_temperature,QH-0-1L-YB-2_frequency,QH-0-1L-YB-2_strain,QH-0-1L-YB-2_temperature
2025-12-23 19:40:00,22.1992,-0.04572,0.0282,,,,,,,,,,,,,,,,,,,
2025-12-23 19:50:00,22.1076,-0.04655,0.0268,21.9454,-0.17503,0.48364,,,,,,,,,,,,,,,,
2025-12-23 20:00:00,22.0739,-0.04618,0.02771,21.9078,-0.17582,0.48177,490.03,,536.568,,469.35,,529.9,,,,,,,,,
2025-12-23 20:10:00,22.0254,-0.04697,0.02757,21.8756,-0.17718,0.4827,490.107,,536.46,,468.858,,529.961,,,,,,,,,
2025-12-23 20:20:00,21.8803,-0.04641,0.02697,21.7014,-0.17503,0.48176,490.045,,537.228,,468.842,,,,,,,,,,,
2025-12-23 20:30:00,21.6755,-0.04575,0.02691,21.5199,-0.17567,0.482,489.999,,537.136,,468.904,,529.454,,,,,,,,,
2025-12-23 20:40:00,21.5522,-0.04531,0.02592,21.3815,-0.17539,0.48155,490.061,,536.568,,468.873,,529.961,,,,,,,,,
2025-12-23 20:50:00,21.5262,-0.04632,0.02693,21.3634,-0.17503,0.481,490.03,,,,469.012,,530.115,,,,,,,,,
2025-12-23 21:00:00,21.4869,-0.04591,0.02634,,,,489.999,,537.074,,469.181,,529.946,,,,,,,,,
2025-12-23 21:10:00,21.3973,-0.04439,0.02738,,,,490.03,,536.568,,,,529.946,,,,,,,,,
2025-12-23 21:20:00,21.4248,-0.0464,0.02527,21.2485,-0.17495,0.47965,490.107,,536.568,,469.104,,529.93,,,,,,,,,
2025-12-23 21:30:00,21.4492,-0.04534,0.02609,21.2438,-0.17529,0.48112,490.045,,536.568,,469.15,,530.023,,,,,,,,,
2025-12-23 21:40:00,21.4783,-0.04538,0.02593,,,,490.061,,536.553,,,,530.038,,,,,,,,,
2025-12-23 21:50:00,21.4248,-0.04592,0.02635,21.0145,-0.17347,0.47904,489.999,,536.614,,469.612,,530.484,,,,,,,,,
2025-12-23 22:00:00,21.2304,-0.0454,0.02664,20.9948,-0.17363,0.47762,,,537.213,,469.273,,530.007,,,,,,,,,
2025-12-23 22:10:00,21.0728,-0.04501,0.0256,20.994,-0.17447,0.47832,489.968,,537.197,,469.427,,529.9,,,,,,,,,
2025-12-23 22:20:00,21.0224,-0.04459,0.02585,21.0066,-0.1739,0.47841,489.922,,536.368,,,,529.838,,,,,,,,,
2025-12-23 22:30:00,21.0508,-0.04497,0.02578,,,,489.799,,536.322,,469.443,,529.5,,,,,,,,,
2025-12-23 22:40:00,21.0247,-0.04495,0.02627,20.8804,-0.17427,0.47795,489.677,,536.737,,469.458,,530.53,,,,,,,,,
2025-12-23 22:50:00,21.1414,-0.04526,0.02572,20.7437,-0.17415,0.47822,490.183,,536.368,,469.52,,530.053,,,,,,,,,
2025-12-23 23:00:00,21.0602,-0.04466,0.02517,20.7548,-0.17425,0.47557,489.753,,536.353,,470.289,,529.946,,,,,,,,,
2025-12-23 23:10:00,21.132,-0.04542,0.02592,20.7035,-0.17495,0.47671,490.183,,536.292,,470.243,,529.484,,,,,,,,,
2025-12-23 23:20:00,21.0539,-0.045,0.02591,,,,490.199,,536.322,,469.735,,529.992,,,,,,,,,
2025-12-23 23:30:00,21.1674,-0.04519,0.02703,20.8014,-0.17425,0.47611,489.815,,536.322,,469.781,,529.946,,,,,,,,,
2025-12-23 23:40:00,21.269,-0.04474,0.02633,20.8251,-0.17419,0.47573,489.815,,536.384,,469.766,,,,,,,,,,,
2025-12-23 23:50:00,21.1359,-0.04578,0.02663,20.8756,-0.17478,0.47623,489.769,,,,469.766,,529.976,,,,,,,,,
2025-12-24 00:00:00,21.087,-0.04514,0.02552,20.7145,-0.17401,0.4741,,,536.338,,470.258,,529.992,,,,,,,,,
2025-12-24 00:10:00,21.0602,-0.04477,0.02677,20.6426,-0.17471,0.47378,489.799,,536.86,,,,530.007,,,,,,,,,
2025-12-24 00:20:00,20.9845,-0.04422,0.02554,,,,489.769,,536.322,,470.304,,529.93,,,,,,,,,
2025-12-24 00:30:00,20.7864,-0.04491,0.02621,20.5414,-0.17511,0.47351,489.738,,536.813,,470.397,,,,,,,,,,,
2025-12-24 00:40:00,20.8472,-0.04392,0.02549,20.5358,-0.17483,0.47265,489.677,,536.798,,,,530.023,,,,,,,,,
2025-12-24 00:50:00,20.9474,-0.04461,0.02709,,,,489.83,,536.706,,470.381,,529.976,,,,,,,,,
2025-12-24 01:00:00,,,,20.4258,-0.17424,0.47311,,,,,470.304,,529.93,,,,,,,,,
