data_time,LGY-0-0D-QJ-1_temperature,LGY-0-0D-QJ-1_xAxisAngle,LGY-0-0D-QJ-1_yAxisAngle,LGY-0-1D-QJ-1_temperature,LGY-0-1D-QJ-1_xAxisAngle,LGY-0-1D-QJ-1_yAxisAngle,LGY-0-1L-LX-1_beamPierRelativeDisplacement,LGY-0-1L-LX-1_measureDisplacement,LGY-0-1L-LX-2_beamPierRelativeDisplacement,LGY-0-1L-LX-2_measureDisplacement,LGY-0-1L-LX-3_beamPierRelativeDisplacement,LGY-0-1L-LX-3_measureDisplacement,LGY-0-1L-LX-4_beamPierRelativeDisplacement,LGY-0-1L-LX-4_measureDisplacement,LGY-0-1L-WSD-1_humidity,LGY-0-1L-WSD-1_temperature,LGY-0-1L-YB-1_frequency,LGY-0-1L-YB-1_strain,LGY-0-1L-YB-1_temperature,LGY-0-1L-YB-2_frequency,LGY-0-1L-YB-2_strain,LGY-0-1L-YB-2_temperature
2025-12-30 16:10:00,,,,,,,488.654,,418.592,,486.625,,,,,,894.228,,3509.78,890.208,,3497.76
2025-12-30 16:20:00,21.925,0.064,-0.34435,22.3393,-0.89436,0.29102,489.054,,418.838,,487.178,,470.975,,43.8,23.4,894.192,,3507.91,890.443,,3495.27
2025-12-30 16:30:00,21.8976,0.06482,-0.34466,22.24,-0.8948,0.28891,488.53,,418.838,,487.208,,470.284,,44.4,23.2,894.21,,3502.21,890.23,,3491.27
2025-12-30 16:40:00,21.7595,0.0655,-0.34452,22.0536,-0.89617,0.28833,489.13,,418.715,,487.101,,471.006,,44.9,22.7,894.214,,3508.09,890.319,,3498.92
2025-12-30 16:50:00,21.659,0.06523,-0.34365,21.9987,-0.89607,0.28981,489.084,,418.792,,486.656,,470.898,,45.5,22.6,894.152,,3519.6,890.345,,3507.56
2025-12-30 17:00:00,,,,21.8748,-0.89411,0.29019,489.146,,418.761,,486.61,,470.438,,47.1,22.5,894.268,,3522.81,890.381,,3509.16
2025-12-30 17:10:00,21.4028,0.06638,-0.34439,21.6448,-0.89291,0.28926,489.069,,419.207,,487.147,,,,47.0,22.4,894.21,,3523.35,890.389,,3512.01
2025-12-30 17:20:00,21.2792,0.06664,-0.34276,21.5105,-0.89339,0.28875,489.054,,418.792,,486.564,,470.33,,46.4,22.2,894.325,,3526.74,890.62,,3515.85
2025-12-30 17:30:00,21.1871,0.06752,-0.34449,21.28,-0.89385,0.28782,489.1,,418.807,,486.656,,471.098,,47.6,21.9,894.165,,3535.06,890.553,,3524.06
2025-12-30 17:40:00,20.9711,0.0651,-0.34532,21.0618,-0.89414,0.28802,489.146,,418.838,,486.656,,470.96,,53.0,21.5,894.197,,3543.02,890.863,,3533.54
2025-12-30 17:50:00,,,,20.8756,-0.89307,0.28746,489.069,,418.792,,486.625,,471.021,,50.3,21.3,894.183,,3549.74,890.77,,3541.41
2025-12-30 18:00:00,,,,20.645,-0.89219,0.28586,489.084,,418.684,,,,470.3,,53.7,,894.125,,3555.93,890.77,,3548.4
2025-12-30 18:10:00,20.4669,0.06762,-0.34503,20.5097,-0.89105,0.28837,489.084,,418.592,,487.086,,471.006,,54.7,20.7,894.094,,3560.78,890.753,,3556.2
2025-12-30 18:20:00,20.3196,0.06567,-0.34453,20.3822,-0.89167,0.28727,489.084,,418.854,,487.162,,,,56.0,20.4,894.112,,3564.64,890.81,,3563.11
2025-12-30 18:30:00,20.2475,0.0674,-0.3469,20.2665,-0.89072,0.28802,489.007,,418.361,,486.61,,470.991,,56.8,20.3,894.17,,3569.14,,,
2025-12-30 18:40:00,20.1277,0.06637,-0.34555,20.2269,-0.89249,0.28681,488.992,,418.746,,486.595,,470.929,,54.8,20.5,894.063,,3572.1,890.841,,3576.06
2025-12-30 18:50:00,19.9856,0.0673,-0.34661,20.1666,-0.89173,0.28738,488.484,,418.777,,,,471.098,,,20.3,894.157,,3575.43,890.593,,3582.19
2025-12-30 19:00:00,,,,20.2174,-0.89175,0.28777,489.13,,418.854,,487.132,,470.392,,60.0,20.3,893.979,,3579.12,890.886,,3588.04
2025-12-30 19:10:00,19.8544,0.06654,-0.34581,20.1269,-0.89135,0.28882,488.577,,418.854,,486.656,,471.083,,60.6,20.2,894.05,,3579.75,890.841,,3589.67
2025-12-30 19:20:00,19.7868,0.06829,-0.34611,20.0007,-0.89221,0.2881,489.1,,418.7,,,,470.469,,64.1,19.9,894.015,,3583.18,890.881,,3594.81
2025-12-30 19:30:00,19.739,0.06873,-0.344,19.8759,-0.89259,0.2889,489.069,,419.238,,486.595,,,,64.0,19.6,894.063,,3589.22,890.886,,3601.94
2025-12-30 19:40:00,19.6307,0.06792,-0.34735,19.7709,-0.89153,0.28855,488.623,,418.823,,486.671,,470.868,,62.1,19.6,893.983,,3593.73,890.948,,3610.35
2025-12-30 19:50:00,19.5646,0.06703,-0.34701,,,,489.084,,418.731,,,,470.929,,63.8,19.7,893.966,,3595.53,890.948,,3618.59
2025-12-30 20:00:00,19.5311,0.06659,-0.34607,,,,489.084,,,,486.61,,470.376,,,,894.041,,3600.14,890.974,,3626.29
2025-12-30 20:10:00,,,,19.6363,-0.89081,0.28883,489.084,,,,487.024,,470.975,,65.8,19.3,893.948,,3603.3,891.023,,3628.47
2025-12-30 20:20:00,,,,,,,488.638,,418.254,,487.101,,470.515,,66.3,19.1,893.948,,3608.0,890.988,,3629.83
2025-12-30 20:30:00,19.3739,0.06748,-0.34621,19.4769,-0.89147,0.28948,488.638,,418.607,,487.086,,471.098,,65.2,19.1,893.912,,3613.88,891.05,,3636.91
2025-12-30 20:40:00,19.3531,0.06674,-0.3457,19.3915,-0.8896,0.28908,488.561,,418.838,,486.549,,470.576,,65.8,19.2,893.908,,3616.32,891.307,,3642.54
2025-12-30 20:50:00,19.3508,0.06567,-0.34513,19.3827,-0.89068,0.28864,489.084,,418.838,,486.595,,471.083,,67.9,19.1,893.877,,3619.59,891.094,,3649.55
2025-12-30 21:00:00,,,,19.3492,-0.88963,0.28877,489.054,,418.869,,487.208,,470.453,,64.6,19.0,893.877,,3623.12,891.174,,3656.19
2025-12-30 21:10:00,19.314,0.06734,-0.34411,19.3635,-0.89135,0.29065,489.054,,418.669,,486.595,,,,65.3,19.1,893.881,,3626.66,891.09,,3658.38
2025-12-30 21:20:00,19.2765,0.06914,-0.34822,19.3084,-0.88981,0.28969,489.038,,418.823,,487.193,,,,64.4,19.1,893.917,,3630.28,891.196,,3665.57
2025-12-30 21:30:00,19.2916,0.06658,-0.34725,19.3044,-0.8911,0.29059,489.069,,418.807,,,,470.622,,62.4,19.2,893.89,,3634.91,891.218,,3674.61
2025-12-30 21:40:00,19.2725,0.06853,-0.3463,19.3412,-0.89115,0.29232,489.023,,418.669,,486.625,,470.545,,69.1,18.8,893.895,,3638.18,891.178,,3672.32
2025-12-30 21:50:00,19.1149,0.06741,-0.34629,19.2309,-0.88991,0.2908,488.623,,418.807,,486.625,,470.376,,67.8,18.6,893.837,,3642.09,891.196,,3675.25
2025-12-30 22:00:00,19.1069,0.0681,-0.34668,19.2109,-0.88928,0.29261,489.1,,418.669,,486.656,,470.561,,69.2,18.7,893.815,,3645.63,891.174,,3675.25
2025-12-30 22:10:00,18.9996,0.06827,-0.34676,19.1693,-0.89048,0.29184,489.13,,418.607,,486.61,,,,69.0,18.5,893.766,,3650.27,891.143,,3678.26
2025-12-30 22:20:00,18.978,0.06688,-0.34763,19.1494,-0.89095,0.29135,,,418.146,,486.671,,470.423,,69.2,18.2,893.815,,3652.82,891.24,,3681.28
2025-12-30 22:30:00,18.9716,0.06735,-0.3469,19.1085,-0.89112,0.29173,489.146,,418.7,,486.656,,470.591,,69.9,18.2,894.015,,3658.19,891.325,,3681.92
2025-12-30 22:40:00,18.9548,0.06767,-0.34637,19.0004,-0.89032,0.29116,489.115,,,,486.641,,470.453,,70.5,18.2,893.775,,3662.57,891.192,,3689.51
2025-12-30 22:50:00,18.67,0.06806,-0.34677,18.9034,-0.89068,0.29053,489.054,,418.884,,487.178,,471.006,,68.3,18.3,893.744,,3665.57,891.24,,3695.82
2025-12-30 23:00:00,18.6346,0.06882,-0.34612,18.8401,-0.89015,0.29001,488.561,,419.238,,486.687,,470.561,,,,893.695,,3682.74,891.307,,3715.37
2025-12-30 23:10:00,18.6764,0.06674,-0.3479,18.8843,-0.89144,0.29106,489.084,,419.346,,487.147,,470.346,,71.8,18.0,893.686,,3683.84,891.307,,3715.55
2025-12-31 05:00:00,17.879,0.06474,-0.34959,,,,,,418.684,,,,,,,,,,,,,
2025-12-31 07:00:00,,,,,,,,,,,,,,,,,892.919,,3882.35,,,
2025-12-31 07:50:00,17.8085,0.06803,-0.34906,17.9186,-0.88925,0.29815,489.1,,418.731,,487.132,,470.637,,80.3,17.4,,,,,,
2025-12-31 08:00:00,17.8409,0.06682,-0.34678,17.9526,-0.89076,0.2981,,,418.623,,486.702,,,,80.4,17.5,893.535,,3894.51,892.26,,3924.74
2025-12-31 11:20:00,19.8544,0.0673,-0.3451,20.034,-0.89342,0.30256,489.084,,418.346,,,,470.776,,64.5,21.5,893.691,,3803.1,891.498,,3795.19
2025-12-31 11:30:00,,,,,,,,,,,,,,,,,893.691,,3796.59,891.209,,3788.04
2025-12-31 17:10:00,20.3275,0.06726,-0.34578,20.3196,-0.89164,0.29542,489.177,,418.638,,486.625,,470.791,,64.6,20.7,894.232,,3645.82,891.329,,3647.63
2025-12-31 17:20:00,20.2594,0.0662,-0.34583,20.2546,-0.89049,0.29415,489.084,,418.746,,487.162,,470.407,,65.5,20.7,894.152,,3646.09,891.729,,3649.64
2025-12-31 17:30:00,,,,20.2007,-0.89086,0.29457,488.577,,418.777,,486.625,,471.052,,63.8,20.7,894.205,,3647.82,891.6,,3651.18
2025-12-31 17:40:00,20.2721,0.06676,-0.34371,20.1412,-0.88983,0.29511,489.038,,418.746,,486.595,,470.423,,65.1,20.5,894.223,,3648.91,891.578,,3652.0
2025-12-31 17:50:00,20.2538,0.06695,-0.3457,20.1126,-0.89161,0.29506,489.161,,418.654,,487.193,,471.037,,65.1,,894.183,,3649.55,891.587,,3653.09
2025-12-31 18:00:00,,,,19.9816,-0.89157,0.29704,489.069,,418.715,,,,,,66.4,20.1,894.268,,3652.46,891.511,,3656.64
2025-12-31 18:10:00,20.0523,0.06776,-0.34597,19.9292,-0.88967,0.29448,489.084,,418.792,,486.641,,470.33,,72.0,20.0,894.29,,3654.64,891.853,,3660.47
2025-12-31 18:20:00,19.8894,0.06825,-0.34638,19.8799,-0.89046,0.29455,489.069,,,,487.116,,470.376,,,19.8,894.179,,3659.74,891.538,,3666.39
2025-12-31 18:40:00,19.7788,0.06659,-0.34435,19.8019,-0.88797,0.29547,489.177,,418.777,,486.625,,470.515,,71.3,19.7,,,,,,
2025-12-31 18:50:00,19.7701,0.06767,-0.34532,19.7757,-0.89033,0.29539,488.623,,418.777,,486.687,,471.052,,72.4,19.7,894.219,,3665.21,891.547,,3673.88
2025-12-31 19:00:00,,,,19.7653,-0.88969,0.29463,489.115,,418.7,,487.147,,470.392,,,19.7,894.125,,3666.85,891.986,,3676.52
2025-12-31 19:10:00,19.7669,0.0679,-0.34371,19.7557,-0.89241,0.2969,489.115,,418.654,,486.641,,470.883,,70.9,19.8,894.161,,3668.04,891.8,,3678.35
