data_time,LGE-0-0D-QJ-1_temperature,LGE-0-0D-QJ-1_xAxisAngle,LGE-0-0D-QJ-1_yAxisAngle,LGE-0-1D-QJ-1_temperature,LGE-0-1D-QJ-1_xAxisAngle,LGE-0-1D-QJ-1_yAxisAngle,LGE-0-1L-LX-1_beamPierRelativeDisplacement,LGE-0-1L-LX-1_measureDisplacement,LGE-0-1L-LX-2_beamPierRelativeDisplacement,LGE-0-1L-LX-2_measureDisplacement,LGE-0-1L-LX-3_beamPierRelativeDisplacement,LGE-0-1L-LX-3_measureDisplacement,LGE-0-1L-LX-4_beamPierRelativeDisplacement,LGE-0-1L-LX-4_measureDisplacement,LGE-0-1L-WSD-1_humidity,LGE-0-1L-WSD-1_temperature,LGE-0-1L-YB-1_frequency,LGE-0-1L-YB-1_strain,LGE-0-1L-YB-1_temperature,LGE0-1L-YB-2_frequency,LGE0-1L-YB-2_strain,LGE0-1L-YB-2_temperature
2025-12-30 16:20:00,,,,,,,,,,,,,,,,,866.117,,3417.72,862.831,,3441.15
2025-12-30 16:30:00,,,,,,,,,,,,,,,,,865.837,,3409.2,862.818,,3440.8
2025-12-30 16:40:00,,,,,,,,,,,,,,,,,865.949,,3409.9,863.159,,3443.36
2025-12-30 16:50:00,,,,,,,,,,,,,,,,,866.108,,3415.09,863.529,,3437.27
2025-12-30 17:20:00,,,,,,,,,,,,,,,,,866.942,,3443.36,863.966,,3451.13
2025-12-30 17:30:00,,,,,,,,,,,,,,,,,866.566,,3451.48,863.996,,3458.55
2025-12-30 17:40:00,,,,,,,,,,,,,,,,,866.501,,3456.96,864.219,,3462.89
2025-12-30 17:50:00,,,,,,,,,,,,,,,,,866.765,,3464.57,865.707,,3472.63
2025-12-30 18:00:00,,,,,,,,,,,,,,,,,866.834,,3472.28,864.58,,3482.12
2025-12-30 18:10:00,,,,,,,,,,,,,,,,,866.898,,3481.32,864.674,,3490.56
2025-12-30 18:20:00,,,,,,,,,,,,,,,,,867.333,,3503.73,864.601,,3502.39
2025-12-30 18:30:00,,,,,,,,,,,,,,,,,866.877,,3522.1,864.657,,3515.58
2025-12-30 18:40:00,,,,,,,,,,,,,,,,,866.829,,3533.0,864.967,,3527.19
2025-12-30 18:50:00,,,,,,,,,,,,,,,,,867.337,,3542.58,865.083,,3536.76
2025-12-30 19:10:00,,,,,,,,,,,,,,,,,867.789,,3552.61,865.105,,3549.57
2025-12-30 19:20:00,,,,,,,,,,,,,,,,,867.802,,3550.37,865.298,,3556.2
2025-12-30 19:30:00,,,,,,,,,,,,,,,,,867.923,,3548.67,865.242,,3563.48
2025-12-30 19:40:00,,,,,,,,,,,,,,,,,867.742,,3564.37,865.307,,3572.1
2025-12-30 19:50:00,,,,,,,,,,,,,,,,,867.686,,3579.39,865.432,,3580.83
2025-12-30 20:00:00,,,,,,,,,,,,,,,,,867.875,,3578.85,865.268,,3582.73
2025-12-30 20:10:00,,,,,,,,,,,,,,,,,867.707,,3574.53,865.173,,3584.71
2025-12-30 20:20:00,,,,,,,,,,,,,,,,,867.759,,3571.47,865.148,,3584.89
2025-12-30 20:30:00,,,,,,,,,,,,,,,,,867.737,,3573.81,865.225,,3594.54
2025-12-30 20:40:00,,,,,,,,,,,,,,,,,867.849,,3579.39,865.285,,3600.05
2025-12-30 20:50:00,,,,,,,,,,,,,,,,,867.707,,3598.15,865.475,,3608.81
2025-12-30 21:00:00,,,,,,,,,,,,,,,,,867.849,,3613.61,865.242,,3619.86
2025-12-30 21:10:00,,,,,,,,,,,,,,,,,867.936,,3606.28,865.225,,3621.31
2025-12-30 21:20:00,,,,,,,,,,,,,,,,,867.733,,3620.58,865.191,,3627.2
2025-12-30 21:30:00,,,,,,,,,,,,,,,,,867.703,,3648.18,865.251,,3642.63
2025-12-30 21:40:00,,,,,,,,,,,,,,,,,867.509,,3640.63,865.32,,3645.63
2025-12-30 21:50:00,,,,,,,,,,,,,,,,,867.974,,3627.02,865.32,,3649.18
2025-12-30 22:00:00,,,,,,,,,,,,,,,,,867.996,,3619.04,865.781,,3645.18
2025-12-30 22:10:00,,,,,,,,,,,,,,,,,868.06,,3627.74,864.696,,3649.18
2025-12-30 22:20:00,,,,,,,,,,,,,,,,,867.867,,3628.2,865.255,,3653.0
2025-12-30 22:30:00,,,,,,,,,,,,,,,,,867.983,,3625.29,865.324,,3648.73
2025-12-30 22:50:00,,,,,,,,,,,,,,,,,867.643,,3644.91,865.13,,3670.04
2025-12-30 23:00:00,,,,,,,,,,,,,,,,,867.376,,3657.65,865.1,,3706.74
2025-12-30 23:10:00,,,,,,,,,,,,,,,,,867.342,,3663.02,865.337,,3713.99
2025-12-31 04:10:00,,,,,,,,,,,,,,,,,867.643,,3872.86,864.778,,3899.6
2025-12-31 06:00:00,,,,,,,,,,,,,,,,,867.342,,3902.34,,,
2025-12-31 06:40:00,,,,,,,,,,,,,,,,,867.643,,3920.01,864.219,,3942.28
2025-12-31 08:00:00,,,,,,,,,,,,,,,,,867.819,,3941.9,864.146,,3967.57
2025-12-31 08:20:00,,,,,,,,,,,,,,,,,867.462,,3954.44,864.129,,3965.86
2025-12-31 08:30:00,,,,,,,,,,,,,,,,,867.277,,3939.43,863.927,,3958.53
2025-12-31 08:40:00,,,,,,,,,,,,,,,,,867.398,,3935.17,863.824,,3958.34
2025-12-31 08:50:00,,,,,,,,,,,,,,,,,867.471,,3930.8,863.76,,3952.64
2025-12-31 09:00:00,,,,,,,,,,,,,,,,,867.342,,3923.42,863.957,,3951.11
2025-12-31 09:10:00,,,,,,,,,,,,,,,,,867.175,,3930.33,863.676,,3963.48
2025-12-31 09:20:00,,,,,,,,,,,,,,,,,867.236,,3926.54,863.678,,3960.91
