bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
新榄核大桥_20251201_20260318,XLH-2-2L-LX-2,measureDisplacement,13.846,83.086,34.618,drift,0.2380,0.0001,0.2876,0.0607
新榄核大桥_20251201_20260318,XLH-2-2L-LX-1,measureDisplacement,29.756,83.115,45.764,drift,0.2377,0.0002,0.1341,0.0986
新榄核大桥_20251201_20260318,XLH-1-1L-LX-2,measureDisplacement,31.079,83.122,46.692,known_system_gap,0.2356,0.0002,0.1111,0.0902
新榄核大桥_20251201_20260318,XLH-2-3D-QJ-1,yAxisAngle,42.140,83.090,54.425,drift,0.1667,0.0000,0.2838,0.0062
新榄核大桥_20251201_20260318,XLH-1-1L-LX-1,measureDisplacement,49.841,83.088,59.815,drift,0.2370,0.0001,0.1839,0.0006
新榄核大桥_20251201_20260318,XLH-1-1D-QJ-1,yAxisAngle,60.035,83.090,66.952,drift,0.1661,0.0001,0.1955,0.0094
新榄核大桥_20251201_20260318,XLH-2-2L-YB-2,strain,73.784,83.069,76.569,device_gap,0.2755,0.0019,0.0000,0.0017
新榄核大桥_20251201_20260318,XLH-1-1L-YB-2,strain,74.256,83.069,76.900,device_gap,0.2762,0.0009,0.0000,0.0000
新榄核大桥_20251201_20260318,XLH-1-1L-YB-1,strain,74.380,83.069,76.987,device_gap,0.2756,0.0007,0.0000,0.0002
新榄核大桥_20251201_20260318,XLH-2-2L-YB-1,strain,74.557,83.069,77.111,device_gap,0.2753,0.0004,0.0000,0.0000
新榄核大桥_20251201_20260318,XLH-2-2L-LX-2,beamPierRelativeDisplacement,84.344,83.097,83.970,known_system_gap,0.1999,0.0001,0.0268,0.0055
新榄核大桥_20251201_20260318,XLH-1-1L-LX-1,beamPierRelativeDisplacement,87.860,83.120,86.438,known_system_gap,0.2049,0.0001,0.0010,0.0060
新榄核大桥_20251201_20260318,XLH-1-1L-LX-2,beamPierRelativeDisplacement,88.852,83.122,87.133,known_system_gap,0.1987,0.0001,0.0026,0.0078
新榄核大桥_20251201_20260318,XLH-2-2L-LX-1,beamPierRelativeDisplacement,89.007,83.200,87.265,known_system_gap,0.1976,0.0001,0.0012,0.0091
新榄核大桥_20251201_20260318,XLH-2-3D-QJ-1,xAxisAngle,89.570,83.090,87.626,known_system_gap,0.1667,0.0000,0.0400,0.0086
新榄核大桥_20251201_20260318,XLH-1-1D-QJ-1,xAxisAngle,95.408,83.090,91.712,known_system_gap,0.1661,0.0002,0.0000,0.0135
新榄核大桥_20251201_20260318,XLH-1-1L-YB-1,frequency,95.428,83.069,91.720,known_system_gap,0.1628,0.0000,0.0001,0.0134
新榄核大桥_20251201_20260318,XLH-2-3D-QJ-1,temperature,95.617,83.090,91.859,known_system_gap,0.1667,0.0000,0.0161,0.0000
新榄核大桥_20251201_20260318,XLH-1-1D-QJ-1,temperature,95.785,83.090,91.976,known_system_gap,0.1661,0.0000,0.0159,0.0000
新榄核大桥_20251201_20260318,XLH-1-0D-QJ-1,temperature,96.214,83.101,92.280,known_system_gap,0.1657,0.0000,0.0140,0.0000
新榄核大桥_20251201_20260318,XLH-1-3L-WSD-1,temperature,96.324,83.111,92.360,known_system_gap,0.1627,0.0000,0.0167,0.0002
新榄核大桥_20251201_20260318,XLH-2-2L-YB-2,frequency,97.714,83.069,93.321,known_system_gap,0.1628,0.0000,0.0000,0.0058
新榄核大桥_20251201_20260318,XLH-1-1L-YB-1,temperature,97.801,83.069,93.381,known_system_gap,0.1628,0.0000,0.0023,0.0018
新榄核大桥_20251201_20260318,XLH-1-1L-YB-2,temperature,97.837,83.090,93.413,known_system_gap,0.1627,0.0005,0.0023,0.0005
新榄核大桥_20251201_20260318,XLH-2-2L-YB-2,temperature,97.886,83.069,93.441,known_system_gap,0.1628,0.0000,0.0024,0.0014
新榄核大桥_20251201_20260318,XLH-1-0D-QJ-1,yAxisAngle,97.908,83.101,93.465,known_system_gap,0.1657,0.0001,0.0043,0.0002
新榄核大桥_20251201_20260318,XLH-2-2L-YB-1,temperature,97.962,83.069,93.494,known_system_gap,0.1627,0.0000,0.0028,0.0003
新榄核大桥_20251201_20260318,XLH-1-0D-QJ-1,xAxisAngle,98.074,83.101,93.582,known_system_gap,0.1657,0.0000,0.0021,0.0021
新榄核大桥_20251201_20260318,XLH-1-3L-WSD-1,humidity,98.478,83.090,93.862,known_system_gap,0.1668,0.0001,0.0000,0.0000
新榄核大桥_20251201_20260318,XLH-1-1L-YB-2,frequency,99.396,83.090,94.504,known_system_gap,0.1627,0.0000,0.0000,0.0000
新榄核大桥_20251201_20260318,XLH-2-2L-YB-1,frequency,99.435,83.069,94.525,known_system_gap,0.1627,0.0000,0.0000,0.0000
