bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
沥心沙大桥_20251201_20260318,LXS-0-2L-YB-1,frequency,0.000,82.874,24.862,device_gap,0.6248,0.0160,0.0034,0.0566
沥心沙大桥_20251201_20260318,LXS-0-2L-YB-1,strain,0.000,82.874,24.862,device_gap,0.6611,0.0001,0.0103,0.0000
沥心沙大桥_20251201_20260318,LXS-1-3D-BB-2,deflection,0.000,82.874,24.862,stuck,0.2851,0.7149,0.0000,0.0000
沥心沙大桥_20251201_20260318,LXS-1-2D-BB-1,deflection,0.000,82.883,24.865,stuck,0.2788,0.7212,0.0000,0.0000
沥心沙大桥_20251201_20260318,LXS-2-1D-BB-1,deflection,0.000,82.883,24.865,stuck,0.2815,0.7185,0.0000,0.0000
沥心沙大桥_20251201_20260318,LXS-2-3D-BB-2,deflection,0.000,82.892,24.867,stuck,0.2836,0.7164,0.0000,0.0000
沥心沙大桥_20251201_20260318,LXS-2-4D-LX-2,measureDisplacement,0.000,82.892,24.867,drift,0.2650,0.0001,0.3445,0.0392
沥心沙大桥_20251201_20260318,LXS-0-2D-QJ-1,xAxisAngle,0.000,82.901,24.870,device_gap,0.5004,0.0000,0.1592,0.0222
沥心沙大桥_20251201_20260318,LXS-0-2D-QJ-1,yAxisAngle,0.000,82.901,24.870,device_gap,0.5004,0.0001,0.0691,0.0465
沥心沙大桥_20251201_20260318,LXS-0-2L-YB-2,frequency,0.000,83.339,25.002,step_change,0.2689,0.0100,0.0311,0.0525
沥心沙大桥_20251201_20260318,LXS-2-1D-BB-1,pressure,2.466,82.902,26.597,drift,0.1926,0.0001,0.4244,0.0285
沥心沙大桥_20251201_20260318,LXS-0-1L-YB-2,frequency,6.100,83.339,29.272,step_change,0.2691,0.0152,0.0455,0.0345
沥心沙大桥_20251201_20260318,LXS-2-4D-LX-1,measureDisplacement,14.484,82.883,35.004,step_change,0.2666,0.0001,0.1067,0.1148
沥心沙大桥_20251201_20260318,LXS-2-3D-BB-2,pressure,15.691,82.956,35.870,drift,0.1939,0.0000,0.4162,0.0078
沥心沙大桥_20251201_20260318,LXS-2-1L-BB-1,pressure,18.060,82.893,37.510,drift,0.1941,0.0000,0.3735,0.0199
沥心沙大桥_20251201_20260318,LXS-0-2D-QJ-1,temperature,19.520,82.901,38.534,device_gap,0.5004,0.0000,0.0012,0.0223
沥心沙大桥_20251201_20260318,LXS-2-2L-BB-2,pressure,20.198,82.893,39.007,drift,0.1954,0.0001,0.3472,0.0267
沥心沙大桥_20251201_20260318,LXS-1-3D-BB-2,pressure,22.317,82.915,40.496,drift,0.1948,0.0001,0.3742,0.0116
沥心沙大桥_20251201_20260318,LXS-1-1D-LX-1,measureDisplacement,26.435,82.901,43.375,drift,0.2652,0.0002,0.1194,0.0867
沥心沙大桥_20251201_20260318,LXS-2-3L-BB-1,pressure,27.707,82.936,44.276,drift,0.1927,0.0001,0.2952,0.0343
沥心沙大桥_20251201_20260318,LXS-1-2D-BB-1,pressure,27.882,82.933,44.397,drift,0.1945,0.0001,0.3054,0.0292
