bridge_name,avg_project_score,avg_device_health,avg_availability,abnormal_ratio
沥心沙大桥,61.828,52.767,82.97,0.4481
蕉门水道特大桥,68.221,64.888,75.997,0.4246
新浅海大桥,68.978,69.297,68.233,0.4561
高新沙大桥,69.908,64.577,82.347,0.376
浅海大桥,69.984,67.149,76.6,0.4088
榄核桥,71.377,66.49,82.782,0.3583
大岗沥大桥,71.413,70.141,74.382,0.4064
西樵水道特大桥,72.304,68.974,80.074,0.3681
民生桥,72.548,68.242,82.596,0.3533
灵岗二桥,72.672,69.497,80.078,0.3663
子沙大桥,73.847,74.147,73.147,0.396
灵岗一桥,74.625,71.158,82.714,0.3605
新榄核大桥,81.844,81.309,83.092,0.2715
