bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
大岗沥大桥_20251201_20260318,DGL-1-1L-LX-1,measureDisplacement,23.230,74.197,38.520,known_system_gap,0.3283,0.0002,0.0933,0.1141
大岗沥大桥_20251201_20260318,DGL-2-1L-LX-2,measureDisplacement,31.593,74.300,44.405,known_system_gap,0.3271,0.0004,0.0668,0.1200
大岗沥大桥_20251201_20260318,DGL-1-1L-LX-2,measureDisplacement,41.127,74.328,51.087,known_system_gap,0.3290,0.0004,0.0215,0.1057
大岗沥大桥_20251201_20260318,DGL-2-0D-QJ-1,yAxisAngle,42.648,74.323,52.150,drift,0.2876,0.0001,0.2479,0.0104
大岗沥大桥_20251201_20260318,DGL-2-1D-QJ-2,yAxisAngle,44.182,74.323,53.224,drift,0.2863,0.0001,0.2458,0.0087
大岗沥大桥_20251201_20260318,DGL-2-1L-LX-1,measureDisplacement,46.307,74.265,54.694,known_system_gap,0.3289,0.0004,0.0686,0.0838
大岗沥大桥_20251201_20260318,DGL-1-0D-QJ-1,xAxisAngle,53.425,74.334,59.698,drift,0.2864,0.0001,0.1894,0.0122
大岗沥大桥_20251201_20260318,DGL-1-1D-QJ-2,yAxisAngle,53.969,74.323,60.075,known_system_gap,0.2874,0.0002,0.1748,0.0191
大岗沥大桥_20251201_20260318,DGL-2-0D-QJ-1,xAxisAngle,54.756,74.323,60.626,drift,0.2876,0.0001,0.1910,0.0052
大岗沥大桥_20251201_20260318,DGL-2-1D-QJ-2,xAxisAngle,64.197,74.323,67.235,known_system_gap,0.2863,0.0001,0.1405,0.0059
大岗沥大桥_20251201_20260318,DGL-1-1L-YB-1,strain,74.427,74.111,74.332,known_system_gap,0.3609,0.0007,0.0000,0.0000
大岗沥大桥_20251201_20260318,DGL-2-1L-YB-1,strain,74.515,74.111,74.394,known_system_gap,0.3610,0.0003,0.0000,0.0000
大岗沥大桥_20251201_20260318,DGL-1-1D-QJ-2,xAxisAngle,74.467,74.323,74.424,known_system_gap,0.2874,0.0002,0.0765,0.0105
大岗沥大桥_20251201_20260318,DGL-1-1L-LX-1,beamPierRelativeDisplacement,75.800,74.670,75.461,known_system_gap,0.3315,0.0003,0.0047,0.0180
大岗沥大桥_20251201_20260318,DGL-1-1L-LX-2,beamPierRelativeDisplacement,77.242,74.715,76.484,known_system_gap,0.3284,0.0002,0.0011,0.0185
大岗沥大桥_20251201_20260318,DGL-2-1L-LX-1,beamPierRelativeDisplacement,79.232,74.706,77.875,known_system_gap,0.3256,0.0003,0.0002,0.0112
大岗沥大桥_20251201_20260318,DGL-2-1L-LX-2,beamPierRelativeDisplacement,80.136,74.719,78.511,known_system_gap,0.3207,0.0005,0.0000,0.0115
大岗沥大桥_20251201_20260318,DGL-1-0D-QJ-1,yAxisAngle,80.564,74.334,78.695,known_system_gap,0.2864,0.0001,0.0163,0.0290
大岗沥大桥_20251201_20260318,DGL-1-1L-YB-1,frequency,81.004,74.368,79.013,known_system_gap,0.2796,0.0001,0.0243,0.0237
大岗沥大桥_20251201_20260318,DGL-1-1L-WSD-1,temperature,89.300,74.570,84.881,known_system_gap,0.2885,0.0002,0.0019,0.0001
大岗沥大桥_20251201_20260318,DGL-1-1L-YB-1,temperature,89.482,74.368,84.948,known_system_gap,0.2796,0.0027,0.0069,0.0016
大岗沥大桥_20251201_20260318,DGL-2-0D-QJ-1,temperature,89.834,74.323,85.181,known_system_gap,0.2876,0.0002,0.0016,0.0010
大岗沥大桥_20251201_20260318,DGL-1-1L-WSD-1,humidity,89.828,74.613,85.264,known_system_gap,0.2874,0.0002,0.0000,0.0000
大岗沥大桥_20251201_20260318,DGL-2-1L-YB-1,temperature,90.074,74.368,85.362,known_system_gap,0.2796,0.0001,0.0075,0.0010
大岗沥大桥_20251201_20260318,DGL-1-1D-QJ-2,temperature,90.117,74.323,85.379,known_system_gap,0.2874,0.0001,0.0012,0.0003
大岗沥大桥_20251201_20260318,DGL-2-1D-QJ-2,temperature,90.202,74.323,85.439,known_system_gap,0.2863,0.0001,0.0018,0.0007
大岗沥大桥_20251201_20260318,DGL-1-0D-QJ-1,temperature,90.295,74.334,85.506,known_system_gap,0.2864,0.0001,0.0012,0.0004
大岗沥大桥_20251201_20260318,DGL-2-1L-YB-1,frequency,91.999,74.368,86.710,known_system_gap,0.2796,0.0000,0.0000,0.0000
