bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
子沙大桥_20251201_20260318,ZS-0-1L-LX-1,measureDisplacement,0.000,72.289,21.687,drift,0.3860,0.0002,0.2567,0.0448
子沙大桥_20251201_20260318,ZS-0-1L-LX-4,measureDisplacement,8.669,72.285,27.753,drift,0.3865,0.0002,0.2413,0.0256
子沙大桥_20251201_20260318,ZS-0-1L-LX-3,measureDisplacement,9.083,72.307,28.050,drift,0.3861,0.0002,0.2351,0.0378
子沙大桥_20251201_20260318,ZS-0-1D-QJ-1,xAxisAngle,56.857,72.248,61.474,drift,0.2621,0.0001,0.2252,0.0030
子沙大桥_20251201_20260318,ZS-0-1L-YB-1,strain,64.864,72.248,67.079,device_gap,0.4093,0.0036,0.0000,0.0000
子沙大桥_20251201_20260318,ZS-0-1L-YB-2,strain,65.701,72.248,67.665,device_gap,0.4092,0.0002,0.0000,0.0000
子沙大桥_20251201_20260318,ZS-0-1D-QJ-1,yAxisAngle,67.426,72.248,68.872,drift,0.2621,0.0004,0.1625,0.0059
子沙大桥_20251201_20260318,ZS-0-0D-QJ-1,yAxisAngle,69.127,72.286,70.075,drift,0.2612,0.0002,0.1552,0.0043
子沙大桥_20251201_20260318,ZS-0-1L-LX-2,measureDisplacement,70.493,72.299,71.034,device_gap,0.3866,0.0005,0.0000,0.0000
子沙大桥_20251201_20260318,ZS-0-1L-LX-3,beamPierRelativeDisplacement,78.053,72.364,76.346,known_system_gap,0.2875,0.0002,0.0238,0.0510
子沙大桥_20251201_20260318,ZS-0-1L-LX-1,beamPierRelativeDisplacement,88.144,72.366,83.411,known_system_gap,0.2908,0.0002,0.0013,0.0060
子沙大桥_20251201_20260318,ZS-0-0D-QJ-1,xAxisAngle,90.564,72.286,85.081,known_system_gap,0.2612,0.0002,0.0353,0.0056
子沙大桥_20251201_20260318,ZS-0-1L-LX-4,beamPierRelativeDisplacement,90.591,72.342,85.116,known_system_gap,0.2924,0.0002,0.0021,0.0014
子沙大桥_20251201_20260318,ZS-0-1L-LX-2,beamPierRelativeDisplacement,90.830,72.366,85.291,known_system_gap,0.2924,0.0008,0.0000,0.0016
子沙大桥_20251201_20260318,ZS-0-1L-WSD-1,temperature,95.934,72.257,88.831,known_system_gap,0.2695,0.0002,0.0026,0.0000
子沙大桥_20251201_20260318,ZS-0-1L-WSD-1,humidity,96.652,72.257,89.333,known_system_gap,0.2684,0.0002,0.0000,0.0000
子沙大桥_20251201_20260318,ZS-0-1D-QJ-1,temperature,97.541,72.248,89.953,known_system_gap,0.2621,0.0002,0.0029,0.0000
子沙大桥_20251201_20260318,ZS-0-0D-QJ-1,temperature,97.725,72.286,90.093,known_system_gap,0.2612,0.0002,0.0025,0.0001
子沙大桥_20251201_20260318,ZS-0-1L-YB-1,temperature,97.285,76.994,91.198,known_system_gap,0.2151,0.0008,0.0049,0.0043
子沙大桥_20251201_20260318,ZS-0-1L-YB-2,temperature,97.376,77.013,91.267,known_system_gap,0.2152,0.0001,0.0049,0.0045
子沙大桥_20251201_20260318,ZS-0-1L-YB-1,frequency,98.722,76.994,92.204,known_system_gap,0.2151,0.0042,0.0000,0.0002
子沙大桥_20251201_20260318,ZS-0-1L-YB-2,frequency,99.603,77.013,92.826,known_system_gap,0.2152,0.0001,0.0000,0.0004
