bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
新浅海大桥_20251201_20260318,XQH-1-1L-LX-2,measureDisplacement,0.287,68.268,20.681,drift,0.4115,0.0002,0.2177,0.0695
新浅海大桥_20251201_20260318,XQH-1-1L-LX-1,measureDisplacement,12.653,68.321,29.354,drift,0.4119,0.0002,0.2392,0.0370
新浅海大桥_20251201_20260318,XQH-1-1D-QJ-1,yAxisAngle,23.061,68.217,36.608,drift,0.3448,0.0001,0.3384,0.0113
新浅海大桥_20251201_20260318,XQH-1-1L-YB-1,frequency,28.170,68.217,40.184,drift,0.2933,0.0003,0.3497,0.0138
新浅海大桥_20251201_20260318,XQH-2-3D-QJ-1,yAxisAngle,33.254,68.227,43.746,drift,0.3442,0.0004,0.2768,0.0177
新浅海大桥_20251201_20260318,XQH-1-1D-QJ-1,xAxisAngle,33.445,68.217,43.876,drift,0.3448,0.0001,0.2850,0.0109
新浅海大桥_20251201_20260318,XQH-1-1L-YB-2,frequency,51.846,68.217,56.757,drift,0.2934,0.0000,0.2090,0.0288
新浅海大桥_20251201_20260318,XQH-2-3D-QJ-1,xAxisAngle,52.858,68.227,57.469,drift,0.3442,0.0005,0.1770,0.0130
新浅海大桥_20251201_20260318,XQH-2-2L-LX-1,measureDisplacement,71.937,68.254,70.832,bridge_wide_gap,0.4122,0.0001,0.0012,0.0012
新浅海大桥_20251201_20260318,XQH-2-2L-LX-1,beamPierRelativeDisplacement,73.840,68.275,72.170,bridge_wide_gap,0.3890,0.0004,0.0080,0.0150
新浅海大桥_20251201_20260318,XQH-2-2L-YB-1,strain,74.265,68.195,72.444,bridge_wide_gap,0.4032,0.0006,0.0000,0.0003
新浅海大桥_20251201_20260318,XQH-1-1L-YB-1,strain,74.267,68.195,72.445,bridge_wide_gap,0.4027,0.0016,0.0000,0.0001
新浅海大桥_20251201_20260318,XQH-1-1L-YB-2,strain,74.519,68.195,72.622,bridge_wide_gap,0.4030,0.0003,0.0000,0.0000
新浅海大桥_20251201_20260318,XQH-2-2L-YB-2,strain,74.635,68.195,72.703,bridge_wide_gap,0.4022,0.0003,0.0000,0.0001
新浅海大桥_20251201_20260318,XQH-1-1L-LX-2,beamPierRelativeDisplacement,74.686,68.257,72.757,bridge_wide_gap,0.3904,0.0003,0.0043,0.0046
新浅海大桥_20251201_20260318,XQH-1-1L-LX-1,beamPierRelativeDisplacement,80.043,68.332,76.529,bridge_wide_gap,0.3516,0.0001,0.0056,0.0236
新浅海大桥_20251201_20260318,XQH-1-3L-WSD-1,temperature,83.852,68.227,79.165,bridge_wide_gap,0.3455,0.0001,0.0183,0.0000
新浅海大桥_20251201_20260318,XQH-1-1D-QJ-1,temperature,84.186,68.217,79.395,bridge_wide_gap,0.3448,0.0000,0.0171,0.0006
新浅海大桥_20251201_20260318,XQH-1-0D-QJ-1,temperature,84.945,68.259,79.939,bridge_wide_gap,0.3432,0.0004,0.0136,0.0010
新浅海大桥_20251201_20260318,XQH-2-3D-QJ-1,temperature,84.984,68.227,79.957,bridge_wide_gap,0.3442,0.0003,0.0134,0.0001
新浅海大桥_20251201_20260318,XQH-1-0D-QJ-1,yAxisAngle,86.785,68.259,81.227,bridge_wide_gap,0.3432,0.0002,0.0042,0.0004
新浅海大桥_20251201_20260318,XQH-1-0D-QJ-1,xAxisAngle,87.123,68.259,81.464,bridge_wide_gap,0.3432,0.0001,0.0027,0.0000
新浅海大桥_20251201_20260318,XQH-1-3L-WSD-1,humidity,87.308,68.238,81.587,bridge_wide_gap,0.3446,0.0002,0.0000,0.0000
新浅海大桥_20251201_20260318,XQH-2-2L-YB-2,frequency,95.077,68.206,87.015,bridge_wide_gap,0.2996,0.0002,0.0003,0.0059
新浅海大桥_20251201_20260318,XQH-2-2L-YB-2,temperature,95.720,68.206,87.466,bridge_wide_gap,0.2996,0.0012,0.0018,0.0013
新浅海大桥_20251201_20260318,XQH-2-2L-YB-1,temperature,95.723,68.206,87.468,bridge_wide_gap,0.3003,0.0001,0.0020,0.0012
新浅海大桥_20251201_20260318,XQH-2-2L-YB-1,frequency,95.924,68.206,87.608,bridge_wide_gap,0.3003,0.0002,0.0000,0.0024
新浅海大桥_20251201_20260318,XQH-1-1L-YB-2,temperature,97.033,68.217,88.388,bridge_wide_gap,0.2934,0.0006,0.0027,0.0004
新浅海大桥_20251201_20260318,XQH-1-1L-YB-1,temperature,97.197,68.217,88.503,bridge_wide_gap,0.2933,0.0001,0.0026,0.0005
