bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
榄核桥_20251201_20260318,LH-0-1L-YB-1,frequency,11.377,82.923,32.841,drift,0.1650,0.0000,0.4513,0.0184
榄核桥_20251201_20260318,LH-0-1L-LX-3,measureDisplacement,19.038,82.747,38.151,drift,0.2368,0.0001,0.2819,0.0269
榄核桥_20251201_20260318,LH-0-1L-LX-4,measureDisplacement,25.929,82.749,42.975,step_change,0.2373,0.0002,0.1163,0.1058
榄核桥_20251201_20260318,LH-0-1L-LX-2,measureDisplacement,32.548,82.756,47.610,spike,0.2374,0.0001,0.0681,0.1322
榄核桥_20251201_20260318,LH-0-0D-QJ-1,xAxisAngle,32.792,82.710,47.767,drift,0.1752,0.0001,0.3364,0.0121
榄核桥_20251201_20260318,LH-0-1L-YB-2,frequency,34.513,82.912,49.033,drift,0.1634,0.0000,0.3378,0.0141
榄核桥_20251201_20260318,LH-0-1D-QJ-1,xAxisAngle,41.648,82.721,53.970,drift,0.1728,0.0001,0.2879,0.0140
榄核桥_20251201_20260318,LH-0-1L-LX-1,measureDisplacement,45.653,82.774,56.789,drift,0.2354,0.0001,0.1963,0.0142
榄核桥_20251201_20260318,LH-0-1D-QJ-1,yAxisAngle,51.053,82.721,60.553,step_change,0.1728,0.0003,0.0001,0.0031
榄核桥_20251201_20260318,LH-0-1L-YB-1,strain,75.848,82.700,77.903,known_system_gap,0.2661,0.0002,0.0010,0.0094
榄核桥_20251201_20260318,LH-0-1L-LX-3,beamPierRelativeDisplacement,75.999,82.822,78.046,known_system_gap,0.2049,0.0001,0.0461,0.0349
榄核桥_20251201_20260318,LH-0-1L-YB-2,strain,77.332,82.700,78.943,known_system_gap,0.2639,0.0003,0.0000,0.0030
榄核桥_20251201_20260318,LH-0-1L-LX-4,beamPierRelativeDisplacement,87.277,82.802,85.934,known_system_gap,0.2095,0.0002,0.0019,0.0081
榄核桥_20251201_20260318,LH-0-1L-LX-1,beamPierRelativeDisplacement,87.803,82.827,86.310,known_system_gap,0.2036,0.0001,0.0051,0.0093
榄核桥_20251201_20260318,LH-0-1L-LX-2,beamPierRelativeDisplacement,88.754,82.788,86.964,known_system_gap,0.2045,0.0002,0.0001,0.0063
榄核桥_20251201_20260318,LH-0-0D-QJ-1,yAxisAngle,89.564,82.710,87.508,known_system_gap,0.1752,0.0002,0.0078,0.0250
榄核桥_20251201_20260318,LH-0-0D-QJ-1,temperature,96.729,82.710,92.524,known_system_gap,0.1752,0.0002,0.0032,0.0000
榄核桥_20251201_20260318,LH-0-1D-QJ-1,temperature,97.322,82.721,92.941,known_system_gap,0.1728,0.0002,0.0025,0.0002
榄核桥_20251201_20260318,LH-0-1L-WSD-1,temperature,97.584,82.795,93.148,known_system_gap,0.1717,0.0000,0.0020,0.0000
榄核桥_20251201_20260318,LH-0-1L-YB-1,temperature,97.819,82.923,93.350,known_system_gap,0.1650,0.0000,0.0019,0.0013
榄核桥_20251201_20260318,LH-0-1L-WSD-1,humidity,98.068,82.774,93.480,known_system_gap,0.1713,0.0000,0.0000,0.0000
榄核桥_20251201_20260318,LH-0-1L-YB-2,temperature,98.129,82.912,93.564,known_system_gap,0.1634,0.0000,0.0025,0.0009
