bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
民生桥_20251201_20260318,MS-0-0D-QJ-1,xAxisAngle,26.121,82.690,43.092,drift,0.1748,0.0000,0.3941,0.0026
民生桥_20251201_20260318,MS-0-1L-LX-3,measureDisplacement,28.597,82.632,44.808,step_change,0.2395,0.0002,0.0106,0.0311
民生桥_20251201_20260318,MS-0-1L-LX-3,beamPierRelativeDisplacement,41.342,82.664,53.738,step_change,0.1988,0.0001,0.0302,0.1003
民生桥_20251201_20260318,MS-0-0D-QJ-1,yAxisAngle,42.312,82.690,54.425,drift,0.1748,0.0001,0.2710,0.0038
民生桥_20251201_20260318,MS-0-1D-QJ-1,xAxisAngle,45.233,82.506,56.415,drift,0.1782,0.0001,0.2870,0.0015
民生桥_20251201_20260318,MS-0-1L-LX-1,measureDisplacement,45.943,82.651,56.956,step_change,0.2399,0.0002,0.0147,0.0933
民生桥_20251201_20260318,MS-0-1L-LX-1,beamPierRelativeDisplacement,46.288,82.685,57.207,step_change,0.2082,0.0001,0.0230,0.0936
民生桥_20251201_20260318,MS-0-1L-WSD-1,temperature,51.907,82.538,61.097,step_change,0.1767,0.0037,0.0000,0.0080
民生桥_20251201_20260318,MS-0-1D-QJ-1,yAxisAngle,66.854,82.506,71.549,drift,0.1782,0.0001,0.1607,0.0052
民生桥_20251201_20260318,MS-0-1L-YB-1,strain,77.992,82.506,79.346,known_system_gap,0.2655,0.0001,0.0000,0.0000
民生桥_20251201_20260318,MS-0-1L-YB-2,strain,77.992,82.506,79.346,known_system_gap,0.2655,0.0001,0.0000,0.0000
民生桥_20251201_20260318,MS-0-1D-QJ-1,temperature,94.181,82.506,90.679,known_system_gap,0.1782,0.0000,0.0169,0.0000
民生桥_20251201_20260318,MS-0-0D-QJ-1,temperature,94.756,82.690,91.136,known_system_gap,0.1748,0.0000,0.0157,0.0000
民生桥_20251201_20260318,MS-0-1L-WSD-1,humidity,95.023,82.669,91.317,known_system_gap,0.1748,0.0108,0.0000,0.0000
民生桥_20251201_20260318,MS-0-1L-YB-1,frequency,98.271,82.570,93.561,known_system_gap,0.1658,0.0065,0.0000,0.0000
民生桥_20251201_20260318,MS-0-1L-YB-2,temperature,98.404,82.570,93.654,known_system_gap,0.1659,0.0000,0.0024,0.0005
民生桥_20251201_20260318,MS-0-1L-YB-1,temperature,98.430,82.570,93.672,known_system_gap,0.1658,0.0000,0.0022,0.0007
民生桥_20251201_20260318,MS-0-1L-YB-2,frequency,98.704,82.570,93.863,known_system_gap,0.1659,0.0000,0.0061,0.0000
