bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
浅海大桥_20251201_20260318,QH-0-1L-LX-4,measureDisplacement,0.000,76.566,22.970,drift,0.3422,0.0001,0.3205,0.0570
浅海大桥_20251201_20260318,QH-0-1L-LX-1,measureDisplacement,3.895,76.574,25.698,drift,0.3427,0.0001,0.2678,0.0335
浅海大桥_20251201_20260318,QH-0-1L-YB-2,frequency,24.495,76.605,40.128,drift,0.2341,0.0002,0.3259,0.0223
浅海大桥_20251201_20260318,QH-0-1L-LX-2,measureDisplacement,26.595,76.568,41.587,device_gap,0.3426,0.0002,0.0883,0.0867
浅海大桥_20251201_20260318,QH-0-1L-LX-3,measureDisplacement,36.029,76.628,48.209,device_gap,0.3416,0.0001,0.1086,0.0459
浅海大桥_20251201_20260318,QH-0-1L-YB-1,strain,53.675,76.517,60.528,device_gap,0.3719,0.0001,0.0064,0.0108
浅海大桥_20251201_20260318,QH-0-0D-QJ-1,xAxisAngle,61.578,76.545,66.068,drift,0.2204,0.0001,0.1255,0.0138
浅海大桥_20251201_20260318,QH-0-1L-YB-2,strain,64.234,76.517,67.919,device_gap,0.3724,0.0035,0.0000,0.0002
浅海大桥_20251201_20260318,QH-0-1D-QJ-1,yAxisAngle,66.135,76.677,69.297,drift,0.2206,0.0002,0.1713,0.0046
浅海大桥_20251201_20260318,QH-0-1L-WSD-1,humidity,71.423,76.527,72.955,device_gap,0.3433,0.0002,0.0000,0.0000
浅海大桥_20251201_20260318,QH-0-1L-WSD-1,temperature,71.452,76.527,72.974,device_gap,0.3433,0.0001,0.0000,0.0001
浅海大桥_20251201_20260318,QH-0-1L-YB-1,frequency,78.514,76.586,77.935,known_system_gap,0.2338,0.0003,0.0111,0.0516
浅海大桥_20251201_20260318,QH-0-1L-LX-2,beamPierRelativeDisplacement,85.455,76.705,82.830,known_system_gap,0.2525,0.0002,0.0045,0.0219
浅海大桥_20251201_20260318,QH-0-1L-LX-4,beamPierRelativeDisplacement,86.228,76.626,83.347,known_system_gap,0.2535,0.0000,0.0040,0.0154
浅海大桥_20251201_20260318,QH-0-1L-LX-3,beamPierRelativeDisplacement,86.421,76.706,83.507,startup_jump,0.2579,0.0001,0.0020,0.0067
浅海大桥_20251201_20260318,QH-0-1L-LX-1,beamPierRelativeDisplacement,88.041,76.701,84.639,startup_jump,0.2511,0.0002,0.0002,0.0084
浅海大桥_20251201_20260318,QH-0-1D-QJ-1,xAxisAngle,89.579,76.677,85.708,known_system_gap,0.2206,0.0002,0.0417,0.0048
浅海大桥_20251201_20260318,QH-0-1L-YB-1,temperature,94.875,76.586,89.388,known_system_gap,0.2338,0.0024,0.0000,0.0000
浅海大桥_20251201_20260318,QH-0-1L-YB-2,temperature,95.316,76.605,89.702,known_system_gap,0.2341,0.0002,0.0000,0.0000
浅海大桥_20251201_20260318,QH-0-0D-QJ-1,yAxisAngle,96.708,76.545,90.659,known_system_gap,0.2204,0.0008,0.0000,0.0070
浅海大桥_20251201_20260318,QH-0-1D-QJ-1,temperature,98.153,76.677,91.710,known_system_gap,0.2206,0.0000,0.0000,0.0000
浅海大桥_20251201_20260318,QH-0-0D-QJ-1,temperature,98.475,76.545,91.896,known_system_gap,0.2204,0.0000,0.0000,0.0000
