bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
灵岗一桥_20251201_20260318,LGY-0-1L-LX-3,measureDisplacement,0.000,82.690,24.807,drift,0.2387,0.0002,0.2916,0.2287
灵岗一桥_20251201_20260318,LGY-0-1L-LX-2,measureDisplacement,0.000,82.718,24.815,drift,0.2386,0.0002,0.3590,0.3156
灵岗一桥_20251201_20260318,LGY-0-1L-LX-1,measureDisplacement,15.438,82.699,35.616,step_change,0.2381,0.0001,0.1515,0.1027
灵岗一桥_20251201_20260318,LGY-0-1L-LX-3,beamPierRelativeDisplacement,42.315,82.701,54.431,spike,0.2117,0.0001,0.0477,0.2492
灵岗一桥_20251201_20260318,LGY-0-0D-QJ-1,xAxisAngle,45.743,82.688,56.826,drift,0.1755,0.0002,0.2834,0.0031
灵岗一桥_20251201_20260318,LGY-0-1D-QJ-1,xAxisAngle,59.560,82.688,66.499,drift,0.1779,0.0001,0.2031,0.0035
灵岗一桥_20251201_20260318,LGY-0-1L-LX-4,measureDisplacement,61.522,82.681,67.870,drift,0.2387,0.0001,0.1208,0.0017
灵岗一桥_20251201_20260318,LGY-0-1L-LX-2,beamPierRelativeDisplacement,61.877,82.784,68.149,spike,0.2146,0.0002,0.0389,0.1247
灵岗一桥_20251201_20260318,LGY-0-1L-YB-2,strain,75.303,82.646,77.506,known_system_gap,0.2591,0.0158,0.0000,0.0000
灵岗一桥_20251201_20260318,LGY-0-1L-YB-1,strain,78.585,82.646,79.803,known_system_gap,0.2604,0.0009,0.0000,0.0000
灵岗一桥_20251201_20260318,LGY-0-1L-LX-1,beamPierRelativeDisplacement,78.605,82.720,79.840,known_system_gap,0.2154,0.0001,0.0042,0.0593
灵岗一桥_20251201_20260318,LGY-0-1D-QJ-1,yAxisAngle,85.752,82.688,84.833,known_system_gap,0.1779,0.0001,0.0557,0.0059
灵岗一桥_20251201_20260318,LGY-0-1L-LX-4,beamPierRelativeDisplacement,86.929,82.702,85.661,known_system_gap,0.2123,0.0001,0.0009,0.0088
灵岗一桥_20251201_20260318,LGY-0-0D-QJ-1,yAxisAngle,95.228,82.688,91.466,known_system_gap,0.1755,0.0001,0.0060,0.0055
灵岗一桥_20251201_20260318,LGY-0-1L-YB-1,temperature,96.217,82.816,92.197,known_system_gap,0.1676,0.0053,0.0022,0.0012
灵岗一桥_20251201_20260318,LGY-0-1D-QJ-1,temperature,96.301,82.688,92.217,known_system_gap,0.1779,0.0000,0.0031,0.0000
灵岗一桥_20251201_20260318,LGY-0-0D-QJ-1,temperature,96.668,82.688,92.474,known_system_gap,0.1755,0.0000,0.0040,0.0000
灵岗一桥_20251201_20260318,LGY-0-1L-WSD-1,temperature,96.757,82.656,92.527,known_system_gap,0.1760,0.0000,0.0033,0.0000
灵岗一桥_20251201_20260318,LGY-0-1L-WSD-1,humidity,97.463,82.667,93.024,known_system_gap,0.1753,0.0001,0.0000,0.0000
灵岗一桥_20251201_20260318,LGY-0-1L-YB-2,temperature,97.416,82.816,93.036,known_system_gap,0.1663,0.0014,0.0025,0.0009
灵岗一桥_20251201_20260318,LGY-0-1L-YB-1,frequency,98.780,82.816,93.991,known_system_gap,0.1676,0.0005,0.0000,0.0000
灵岗一桥_20251201_20260318,LGY-0-1L-YB-2,frequency,99.011,82.816,94.152,known_system_gap,0.1663,0.0007,0.0000,0.0000
