bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
灵岗二桥_20251201_20260318,LGE-0-1L-LX-1,measureDisplacement,0.000,79.926,23.978,drift,0.2600,0.0002,0.4827,0.0105
灵岗二桥_20251201_20260318,LGE-0-1L-LX-3,measureDisplacement,6.339,79.952,28.423,drift,0.2584,0.0001,0.2607,0.0912
灵岗二桥_20251201_20260318,LGE-0-1L-LX-2,measureDisplacement,10.102,79.954,31.058,drift,0.2585,0.0002,0.2558,0.0999
灵岗二桥_20251201_20260318,LGE-0-1D-QJ-1,yAxisAngle,33.645,79.980,47.546,drift,0.1949,0.0002,0.3518,0.0036
灵岗二桥_20251201_20260318,LGE-0-0D-QJ-1,yAxisAngle,38.957,79.947,51.254,drift,0.1944,0.0002,0.3103,0.0101
灵岗二桥_20251201_20260318,LGE-0-1L-LX-4,measureDisplacement,40.342,79.961,52.228,spike,0.2603,0.0004,0.0667,0.1243
灵岗二桥_20251201_20260318,LGE-0-1D-QJ-1,xAxisAngle,50.001,79.980,58.995,drift,0.1949,0.0003,0.2637,0.0024
灵岗二桥_20251201_20260318,LGE-0-1L-LX-2,beamPierRelativeDisplacement,71.340,79.996,73.937,known_system_gap,0.2363,0.0002,0.0231,0.0865
灵岗二桥_20251201_20260318,LGE-0-1L-YB-1,strain,75.004,79.917,76.478,known_system_gap,0.2998,0.0004,0.0000,0.0000
灵岗二桥_20251201_20260318,LGE0-1L-YB-2,strain,75.309,79.917,76.691,known_system_gap,0.2985,0.0002,0.0000,0.0001
灵岗二桥_20251201_20260318,LGE-0-1L-LX-1,beamPierRelativeDisplacement,85.718,79.979,83.996,known_system_gap,0.2388,0.0002,0.0049,0.0063
灵岗二桥_20251201_20260318,LGE-0-1L-LX-4,beamPierRelativeDisplacement,86.595,79.973,84.609,known_system_gap,0.2364,0.0003,0.0012,0.0085
灵岗二桥_20251201_20260318,LGE-0-1L-LX-3,beamPierRelativeDisplacement,87.158,79.986,85.006,known_system_gap,0.2344,0.0001,0.0027,0.0042
灵岗二桥_20251201_20260318,LGE-0-0D-QJ-1,xAxisAngle,87.591,79.947,85.298,known_system_gap,0.1944,0.0003,0.0581,0.0006
灵岗二桥_20251201_20260318,LGE0-1L-YB-2,temperature,97.006,80.630,92.093,known_system_gap,0.1851,0.0018,0.0027,0.0015
灵岗二桥_20251201_20260318,LGE-0-1L-WSD-1,temperature,97.338,79.938,92.118,known_system_gap,0.1953,0.0001,0.0037,0.0000
灵岗二桥_20251201_20260318,LGE-0-1D-QJ-1,temperature,97.368,79.980,92.152,known_system_gap,0.1949,0.0002,0.0035,0.0000
灵岗二桥_20251201_20260318,LGE-0-1L-YB-1,temperature,97.173,80.630,92.210,known_system_gap,0.1857,0.0008,0.0024,0.0012
灵岗二桥_20251201_20260318,LGE-0-0D-QJ-1,temperature,97.610,79.947,92.311,known_system_gap,0.1944,0.0001,0.0032,0.0000
灵岗二桥_20251201_20260318,LGE-0-1L-YB-1,frequency,97.415,80.630,92.380,known_system_gap,0.1857,0.0001,0.0050,0.0026
灵岗二桥_20251201_20260318,LGE-0-1L-WSD-1,humidity,97.948,79.917,92.539,known_system_gap,0.1957,0.0002,0.0000,0.0000
灵岗二桥_20251201_20260318,LGE0-1L-YB-2,frequency,98.980,80.630,93.475,known_system_gap,0.1851,0.0001,0.0000,0.0002
