bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
西樵水道特大桥_20251201_20260318,XQSD-A-3D-BB-1,deflection,0.000,80.012,24.004,stuck,0.2833,0.7167,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-B-3D-BB-1,deflection,0.000,80.012,24.004,stuck,0.2820,0.7180,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-C-3D-BB-1,deflection,0.000,80.014,24.004,stuck,0.2806,0.7194,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-A-2D-BB-2,deflection,0.000,80.023,24.007,stuck,0.2787,0.7213,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-C-2D-BB-2,deflection,0.000,80.030,24.009,stuck,0.2846,0.7154,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-B-2D-BB-2,deflection,0.000,80.034,24.010,stuck,0.2789,0.7211,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-D-3D-BB-1,deflection,0.000,80.032,24.010,stuck,0.2796,0.7204,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-D-2D-BB-2,deflection,0.000,80.039,24.012,stuck,0.2838,0.7162,0.0000,0.0000
西樵水道特大桥_20251201_20260318,XQSD-1-3D-LX-1,measureDisplacement,3.830,80.012,26.685,drift,0.2655,0.0002,0.2552,0.0689
西樵水道特大桥_20251201_20260318,XQSD-2-3D-LX-1,measureDisplacement,10.339,80.030,31.246,step_change,0.2654,0.0002,0.1590,0.1150
西樵水道特大桥_20251201_20260318,XQSD-1-2D-LX-1,measureDisplacement,15.717,80.023,35.009,drift,0.2647,0.0002,0.2379,0.0588
西樵水道特大桥_20251201_20260318,XQSD-2-1D-LX-1,measureDisplacement,16.236,80.004,35.366,drift,0.2661,0.0001,0.2316,0.1380
西樵水道特大桥_20251201_20260318,XQSD-A-1L-YB-1,frequency,18.403,80.046,36.896,drift,0.2019,0.0000,0.3628,0.0351
西樵水道特大桥_20251201_20260318,XQSD-A-1L-BB-1,pressure,21.211,80.151,38.893,drift,0.2024,0.0001,0.3868,0.0223
西樵水道特大桥_20251201_20260318,XQSD-2-2D-QJ-1,yAxisAngle,23.835,80.089,40.711,drift,0.2031,0.0001,0.3981,0.0043
西樵水道特大桥_20251201_20260318,XQSD-1-1D-QJ-1,yAxisAngle,28.732,80.099,44.142,drift,0.2038,0.0000,0.3660,0.0070
西樵水道特大桥_20251201_20260318,XQSD-1-2D-LX-2,measureDisplacement,29.244,80.012,44.474,drift,0.2646,0.0002,0.1439,0.0777
西樵水道特大桥_20251201_20260318,XQSD-D-1L-BB-1,pressure,31.115,80.130,45.819,drift,0.2016,0.0000,0.3507,0.0110
西樵水道特大桥_20251201_20260318,XQSD-C-1L-BB-1,pressure,31.210,80.055,45.863,drift,0.2015,0.0000,0.3506,0.0120
