bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
高新沙大桥_20251201_20260318,GXS-0-1L-LX-4,measureDisplacement,0.000,81.934,24.580,drift,0.3311,0.0001,0.3601,0.0289
高新沙大桥_20251201_20260318,GXS-0-1L-LX-3,measureDisplacement,0.000,81.941,24.582,drift,0.3295,0.0002,0.2831,0.0465
高新沙大桥_20251201_20260318,GXS-0-1L-YB-4,frequency,9.193,81.910,31.008,drift,0.2105,0.0001,0.4065,0.0146
高新沙大桥_20251201_20260318,GXS-0-1L-LX-1,measureDisplacement,28.322,81.965,44.415,device_gap,0.3306,0.0002,0.1024,0.0754
高新沙大桥_20251201_20260318,GXS-0-0D-QJ-1,yAxisAngle,31.203,82.870,46.703,drift,0.1701,0.0000,0.3422,0.0157
高新沙大桥_20251201_20260318,GXS-0-0D-QJ-1,xAxisAngle,40.987,82.870,53.552,drift,0.1701,0.0001,0.2928,0.0124
高新沙大桥_20251201_20260318,GXS-0-1D-QJ-1,yAxisAngle,43.266,82.844,55.139,drift,0.1696,0.0000,0.2792,0.0175
高新沙大桥_20251201_20260318,GXS-0-1L-YB-3,strain,54.756,81.892,62.897,device_gap,0.3629,0.0095,0.0000,0.0000
高新沙大桥_20251201_20260318,GXS-0-1L-YB-1,strain,55.449,81.892,63.382,device_gap,0.3630,0.0033,0.0000,0.0018
高新沙大桥_20251201_20260318,GXS-0-1L-YB-2,strain,56.928,81.892,64.417,device_gap,0.3614,0.0019,0.0000,0.0000
高新沙大桥_20251201_20260318,GXS-0-1L-YB-4,strain,57.024,81.892,64.484,device_gap,0.3624,0.0005,0.0000,0.0000
高新沙大桥_20251201_20260318,GXS-0-1L-LX-2,measureDisplacement,63.965,81.966,69.365,device_gap,0.3301,0.0001,0.0003,0.0005
高新沙大桥_20251201_20260318,GXS-0-1D-QJ-1,xAxisAngle,65.782,82.844,70.901,drift,0.1696,0.0000,0.1486,0.0176
高新沙大桥_20251201_20260318,GXS-0-1L-YB-3,frequency,80.098,81.901,80.639,known_system_gap,0.2105,0.0149,0.0263,0.0103
高新沙大桥_20251201_20260318,GXS-0-1L-YB-2,frequency,81.640,81.920,81.724,known_system_gap,0.2089,0.0008,0.0400,0.0100
高新沙大桥_20251201_20260318,GXS-0-1L-YB-1,frequency,83.526,81.901,83.039,known_system_gap,0.2105,0.0135,0.0027,0.0028
高新沙大桥_20251201_20260318,GXS-0-1L-LX-4,beamPierRelativeDisplacement,85.191,83.026,84.541,startup_jump,0.2042,0.0000,0.0037,0.0081
高新沙大桥_20251201_20260318,GXS-0-1L-LX-1,beamPierRelativeDisplacement,85.391,83.047,84.688,startup_jump,0.2037,0.0001,0.0005,0.0116
高新沙大桥_20251201_20260318,GXS-0-1L-LX-3,beamPierRelativeDisplacement,85.608,82.987,84.821,known_system_gap,0.2026,0.0001,0.0037,0.0266
高新沙大桥_20251201_20260318,GXS-0-1L-YB-2,temperature,86.649,81.920,85.230,known_system_gap,0.2089,0.0072,0.0026,0.0027
高新沙大桥_20251201_20260318,GXS-0-1L-YB-1,temperature,86.889,81.901,85.392,known_system_gap,0.2105,0.0054,0.0019,0.0029
高新沙大桥_20251201_20260318,GXS-0-1L-YB-3,temperature,86.948,81.901,85.434,known_system_gap,0.2105,0.0050,0.0016,0.0035
高新沙大桥_20251201_20260318,GXS-0-0D-QJ-1,temperature,86.992,82.870,85.755,known_system_gap,0.1701,0.0228,0.0283,0.0007
高新沙大桥_20251201_20260318,GXS-0-1D-QJ-1,temperature,87.594,82.844,86.169,known_system_gap,0.1696,0.0230,0.0261,0.0000
高新沙大桥_20251201_20260318,GXS-0-1L-YB-4,temperature,88.171,81.910,86.293,known_system_gap,0.2105,0.0001,0.0033,0.0005
高新沙大桥_20251201_20260318,GXS-0-1L-LX-2,beamPierRelativeDisplacement,88.713,82.994,86.997,known_system_gap,0.2077,0.0002,0.0003,0.0025
高新沙大桥_20251201_20260318,GXS-0-1L-WSD-1,temperature,90.380,82.946,88.150,known_system_gap,0.1723,0.0000,0.0369,0.0001
高新沙大桥_20251201_20260318,GXS-0-1L-WSD-1,humidity,97.483,82.937,93.119,known_system_gap,0.1703,0.0001,0.0000,0.0000
