sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
DGL-2-1L-YB-1_strain,single_bridge,DGL-2-1L-YB-1,strain,77.653,72.8,76.197,known_system_gap,0.361,0.0,0.0,0.0
DGL-1-1L-YB-1_strain,single_bridge,DGL-1-1L-YB-1,strain,77.653,72.809,76.2,known_system_gap,0.3609,0.0,0.0,0.0
DGL-1-1L-LX-2_measureDisplacement,single_bridge,DGL-1-1L-LX-2,measureDisplacement,80.491,74.669,78.744,known_system_gap,0.3296,0.0,0.0,0.0
DGL-2-1L-LX-1_measureDisplacement,single_bridge,DGL-2-1L-LX-1,measureDisplacement,80.688,74.647,78.876,known_system_gap,0.3289,0.0,0.0,0.0
DGL-1-1L-LX-1_measureDisplacement,single_bridge,DGL-1-1L-LX-1,measureDisplacement,80.984,74.531,79.048,known_system_gap,0.3286,0.0,0.0,0.0
DGL-2-1L-LX-2_measureDisplacement,single_bridge,DGL-2-1L-LX-2,measureDisplacement,81.003,74.638,79.094,known_system_gap,0.3276,0.0,0.0,0.0
DGL-1-1L-LX-1_beamPierRelativeDisplacement,single_bridge,DGL-1-1L-LX-1,beamPierRelativeDisplacement,82.722,73.47,79.947,known_system_gap,0.3319,0.0,0.0,0.0
DGL-1-1L-LX-2_beamPierRelativeDisplacement,single_bridge,DGL-1-1L-LX-2,beamPierRelativeDisplacement,82.742,73.746,80.043,known_system_gap,0.329,0.0,0.0,0.0
DGL-2-1L-LX-1_beamPierRelativeDisplacement,single_bridge,DGL-2-1L-LX-1,beamPierRelativeDisplacement,83.604,73.712,80.637,known_system_gap,0.3256,0.0,0.0,0.0
DGL-2-1L-LX-2_beamPierRelativeDisplacement,single_bridge,DGL-2-1L-LX-2,beamPierRelativeDisplacement,84.472,73.751,81.255,known_system_gap,0.3211,0.0,0.0,0.0
DGL-1-1L-WSD-1_temperature,single_bridge,DGL-1-1L-WSD-1,temperature,89.556,74.688,85.095,known_system_gap,0.2885,0.0,0.0,0.0
DGL-1-1L-WSD-1_humidity,single_bridge,DGL-1-1L-WSD-1,humidity,89.753,74.721,85.243,known_system_gap,0.2874,0.0,0.0,0.0
DGL-2-0D-QJ-1_xAxisAngle,single_bridge,DGL-2-0D-QJ-1,xAxisAngle,90.068,74.52,85.404,known_system_gap,0.2876,0.0,0.0,0.0
DGL-2-0D-QJ-1_temperature,single_bridge,DGL-2-0D-QJ-1,temperature,90.068,74.52,85.404,known_system_gap,0.2876,0.0,0.0,0.0
DGL-2-0D-QJ-1_yAxisAngle,single_bridge,DGL-2-0D-QJ-1,yAxisAngle,90.068,74.52,85.404,known_system_gap,0.2876,0.0,0.0,0.0
DGL-1-1D-QJ-2_xAxisAngle,single_bridge,DGL-1-1D-QJ-2,xAxisAngle,90.127,74.507,85.441,known_system_gap,0.2874,0.0,0.0,0.0
DGL-1-1D-QJ-2_temperature,single_bridge,DGL-1-1D-QJ-2,temperature,90.127,74.507,85.441,known_system_gap,0.2874,0.0,0.0,0.0
DGL-1-1D-QJ-2_yAxisAngle,single_bridge,DGL-1-1D-QJ-2,yAxisAngle,90.127,74.507,85.441,known_system_gap,0.2874,0.0,0.0,0.0
DGL-1-0D-QJ-1_temperature,single_bridge,DGL-1-0D-QJ-1,temperature,90.285,74.549,85.564,known_system_gap,0.2864,0.0,0.0,0.0
DGL-1-0D-QJ-1_yAxisAngle,single_bridge,DGL-1-0D-QJ-1,yAxisAngle,90.285,74.549,85.564,known_system_gap,0.2864,0.0,0.0,0.0
DGL-1-0D-QJ-1_xAxisAngle,single_bridge,DGL-1-0D-QJ-1,xAxisAngle,90.285,74.549,85.564,known_system_gap,0.2864,0.0,0.0,0.0
DGL-2-1D-QJ-2_xAxisAngle,single_bridge,DGL-2-1D-QJ-2,xAxisAngle,90.364,74.518,85.61,known_system_gap,0.2863,0.0,0.0,0.0
DGL-2-1D-QJ-2_yAxisAngle,single_bridge,DGL-2-1D-QJ-2,yAxisAngle,90.364,74.518,85.61,known_system_gap,0.2863,0.0,0.0,0.0
DGL-2-1D-QJ-2_temperature,single_bridge,DGL-2-1D-QJ-2,temperature,90.364,74.518,85.61,known_system_gap,0.2863,0.0,0.0,0.0
DGL-1-1L-YB-1_temperature,single_bridge,DGL-1-1L-YB-1,temperature,91.29,74.753,86.329,known_system_gap,0.2797,0.0,0.0,0.0
DGL-1-1L-YB-1_frequency,single_bridge,DGL-1-1L-YB-1,frequency,91.29,74.753,86.329,known_system_gap,0.2797,0.0,0.0,0.0
DGL-2-1L-YB-1_frequency,single_bridge,DGL-2-1L-YB-1,frequency,91.29,74.753,86.329,known_system_gap,0.2797,0.0,0.0,0.0
DGL-2-1L-YB-1_temperature,single_bridge,DGL-2-1L-YB-1,temperature,91.29,74.753,86.329,known_system_gap,0.2797,0.0,0.0,0.0
