sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
ZS-0-1L-YB-1_strain,子沙大桥,ZS-0-1L-YB-1,strain,68.646,70.932,69.332,known_system_gap,0.4093,0.0,0.0,0.0
ZS-0-1L-YB-2_strain,子沙大桥,ZS-0-1L-YB-2,strain,68.664,70.94,69.347,known_system_gap,0.4092,0.0,0.0,0.0
ZS-0-1L-LX-2_measureDisplacement,子沙大桥,ZS-0-1L-LX-2,measureDisplacement,70.712,72.232,71.168,known_system_gap,0.387,0.0,0.0,0.0
ZS-0-1L-LX-3_measureDisplacement,子沙大桥,ZS-0-1L-LX-3,measureDisplacement,70.712,72.28,71.182,known_system_gap,0.3865,0.0,0.0,0.0
ZS-0-1L-LX-4_measureDisplacement,子沙大桥,ZS-0-1L-LX-4,measureDisplacement,70.765,72.25,71.21,known_system_gap,0.3866,0.0,0.0,0.0
ZS-0-1L-LX-1_measureDisplacement,子沙大桥,ZS-0-1L-LX-1,measureDisplacement,70.782,72.262,71.226,known_system_gap,0.3863,0.0,0.0,0.0
ZS-0-1L-LX-2_beamPierRelativeDisplacement,子沙大桥,ZS-0-1L-LX-2,beamPierRelativeDisplacement,93.645,71.247,86.926,known_system_gap,0.2927,0.0,0.0,0.0
ZS-0-1L-LX-1_beamPierRelativeDisplacement,子沙大桥,ZS-0-1L-LX-1,beamPierRelativeDisplacement,93.803,71.325,87.059,known_system_gap,0.2912,0.0,0.0,0.0
ZS-0-1L-LX-4_beamPierRelativeDisplacement,子沙大桥,ZS-0-1L-LX-4,beamPierRelativeDisplacement,93.96,71.124,87.11,known_system_gap,0.2924,0.0,0.0,0.0
ZS-0-1L-LX-3_beamPierRelativeDisplacement,子沙大桥,ZS-0-1L-LX-3,beamPierRelativeDisplacement,94.684,71.236,87.65,known_system_gap,0.2879,0.0,0.0001,0.0
ZS-0-1L-WSD-1_temperature,子沙大桥,ZS-0-1L-WSD-1,temperature,96.831,72.103,89.413,known_system_gap,0.2695,0.0,0.0,0.0
ZS-0-1L-WSD-1_humidity,子沙大桥,ZS-0-1L-WSD-1,humidity,97.076,72.103,89.584,known_system_gap,0.2684,0.0,0.0,0.0
ZS-0-1D-QJ-1_temperature,子沙大桥,ZS-0-1D-QJ-1,temperature,98.459,72.102,90.552,known_system_gap,0.2621,0.0,0.0,0.0
ZS-0-1D-QJ-1_xAxisAngle,子沙大桥,ZS-0-1D-QJ-1,xAxisAngle,98.459,72.102,90.552,known_system_gap,0.2621,0.0,0.0,0.0
ZS-0-1D-QJ-1_yAxisAngle,子沙大桥,ZS-0-1D-QJ-1,yAxisAngle,98.459,72.102,90.552,known_system_gap,0.2621,0.0,0.0,0.0
ZS-0-0D-QJ-1_temperature,子沙大桥,ZS-0-0D-QJ-1,temperature,98.6,72.129,90.658,known_system_gap,0.2612,0.0,0.0,0.0
ZS-0-0D-QJ-1_xAxisAngle,子沙大桥,ZS-0-0D-QJ-1,xAxisAngle,98.6,72.129,90.658,known_system_gap,0.2612,0.0,0.0,0.0
ZS-0-0D-QJ-1_yAxisAngle,子沙大桥,ZS-0-0D-QJ-1,yAxisAngle,98.6,72.129,90.658,known_system_gap,0.2612,0.0,0.0,0.0
ZS-0-1L-YB-2_temperature,子沙大桥,ZS-0-1L-YB-2,temperature,99.672,76.983,92.865,known_system_gap,0.2152,0.0,0.0,0.0
ZS-0-1L-YB-2_frequency,子沙大桥,ZS-0-1L-YB-2,frequency,99.772,76.983,92.935,known_system_gap,0.2152,0.0,0.0,0.0
ZS-0-1L-YB-1_frequency,子沙大桥,ZS-0-1L-YB-1,frequency,99.807,76.973,92.957,known_system_gap,0.2151,0.0,0.0,0.0
ZS-0-1L-YB-1_temperature,子沙大桥,ZS-0-1L-YB-1,temperature,99.807,76.973,92.957,known_system_gap,0.2151,0.0,0.0,0.0
