sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
XLH-1-1L-YB-2_strain,新榄核大桥,XLH-1-1L-YB-2,strain,79.731,80.68,80.016,known_system_gap,0.2762,0.0,0.0,0.0
XLH-2-2L-YB-2_strain,新榄核大桥,XLH-2-2L-YB-2,strain,79.731,80.751,80.037,known_system_gap,0.2755,0.0,0.0,0.0
XLH-2-2L-YB-1_strain,新榄核大桥,XLH-2-2L-YB-1,strain,79.731,80.769,80.042,known_system_gap,0.2753,0.0,0.0,0.0
XLH-1-1L-YB-1_strain,新榄核大桥,XLH-1-1L-YB-1,strain,79.75,80.734,80.045,known_system_gap,0.2756,0.0,0.0,0.0
XLH-2-2L-LX-2_measureDisplacement,新榄核大桥,XLH-2-2L-LX-2,measureDisplacement,83.336,82.842,83.188,known_system_gap,0.2382,0.0,0.0,0.0
XLH-2-2L-LX-1_measureDisplacement,新榄核大桥,XLH-2-2L-LX-1,measureDisplacement,83.356,82.853,83.205,known_system_gap,0.238,0.0,0.0,0.0
XLH-1-1L-LX-1_measureDisplacement,新榄核大桥,XLH-1-1L-LX-1,measureDisplacement,83.356,82.95,83.234,known_system_gap,0.2371,0.0,0.0,0.0
XLH-1-1L-LX-2_measureDisplacement,新榄核大桥,XLH-1-1L-LX-2,measureDisplacement,83.336,83.046,83.249,known_system_gap,0.2362,0.0,0.0,0.0
XLH-1-1L-LX-1_beamPierRelativeDisplacement,新榄核大桥,XLH-1-1L-LX-1,beamPierRelativeDisplacement,93.395,81.589,89.853,known_system_gap,0.205,0.0,0.0001,0.0
XLH-1-1L-LX-2_beamPierRelativeDisplacement,新榄核大桥,XLH-1-1L-LX-2,beamPierRelativeDisplacement,94.212,81.797,90.487,known_system_gap,0.1992,0.0,0.0,0.0
XLH-2-2L-LX-2_beamPierRelativeDisplacement,新榄核大桥,XLH-2-2L-LX-2,beamPierRelativeDisplacement,94.408,81.611,90.569,known_system_gap,0.2001,0.0,0.0001,0.0
XLH-2-2L-LX-1_beamPierRelativeDisplacement,新榄核大桥,XLH-2-2L-LX-1,beamPierRelativeDisplacement,94.344,81.873,90.603,known_system_gap,0.198,0.0,0.0,0.0
XLH-1-3L-WSD-1_humidity,新榄核大桥,XLH-1-3L-WSD-1,humidity,98.616,83.039,93.943,known_system_gap,0.1668,0.0,0.0,0.0
XLH-2-3D-QJ-1_temperature,新榄核大桥,XLH-2-3D-QJ-1,temperature,98.655,83.03,93.968,known_system_gap,0.1667,0.0,0.0,0.0
XLH-2-3D-QJ-1_xAxisAngle,新榄核大桥,XLH-2-3D-QJ-1,xAxisAngle,98.655,83.03,93.968,known_system_gap,0.1667,0.0,0.0,0.0
XLH-2-3D-QJ-1_yAxisAngle,新榄核大桥,XLH-2-3D-QJ-1,yAxisAngle,98.655,83.03,93.968,known_system_gap,0.1667,0.0,0.0,0.0
XLH-1-1D-QJ-1_xAxisAngle,新榄核大桥,XLH-1-1D-QJ-1,xAxisAngle,98.792,83.028,94.063,known_system_gap,0.1661,0.0,0.0,0.0
XLH-1-1D-QJ-1_temperature,新榄核大桥,XLH-1-1D-QJ-1,temperature,98.792,83.028,94.063,known_system_gap,0.1661,0.0,0.0,0.0
XLH-1-1D-QJ-1_yAxisAngle,新榄核大桥,XLH-1-1D-QJ-1,yAxisAngle,98.792,83.028,94.063,known_system_gap,0.1661,0.0,0.0,0.0
XLH-1-0D-QJ-1_temperature,新榄核大桥,XLH-1-0D-QJ-1,temperature,98.811,83.069,94.088,known_system_gap,0.1657,0.0,0.0,0.0
XLH-1-0D-QJ-1_yAxisAngle,新榄核大桥,XLH-1-0D-QJ-1,yAxisAngle,98.811,83.069,94.088,known_system_gap,0.1657,0.0,0.0,0.0
XLH-1-0D-QJ-1_xAxisAngle,新榄核大桥,XLH-1-0D-QJ-1,xAxisAngle,98.811,83.069,94.088,known_system_gap,0.1657,0.0,0.0,0.0
XLH-1-3L-WSD-1_temperature,新榄核大桥,XLH-1-3L-WSD-1,temperature,99.493,83.06,94.563,known_system_gap,0.1627,0.0,0.0,0.0
XLH-1-1L-YB-1_temperature,新榄核大桥,XLH-1-1L-YB-1,temperature,99.708,82.939,94.677,known_system_gap,0.1628,0.0,0.0,0.0
XLH-1-1L-YB-1_frequency,新榄核大桥,XLH-1-1L-YB-1,frequency,99.708,82.939,94.677,known_system_gap,0.1628,0.0,0.0,0.0
XLH-2-2L-YB-2_frequency,新榄核大桥,XLH-2-2L-YB-2,frequency,99.708,82.939,94.677,known_system_gap,0.1628,0.0,0.0,0.0
XLH-2-2L-YB-2_temperature,新榄核大桥,XLH-2-2L-YB-2,temperature,99.708,82.939,94.677,known_system_gap,0.1628,0.0,0.0,0.0
XLH-2-2L-YB-1_frequency,新榄核大桥,XLH-2-2L-YB-1,frequency,99.727,82.939,94.691,known_system_gap,0.1627,0.0,0.0,0.0
XLH-2-2L-YB-1_temperature,新榄核大桥,XLH-2-2L-YB-1,temperature,99.727,82.939,94.691,known_system_gap,0.1627,0.0,0.0,0.0
XLH-1-1L-YB-2_frequency,新榄核大桥,XLH-1-1L-YB-2,frequency,99.825,82.899,94.747,known_system_gap,0.1627,0.0,0.0,0.0
XLH-1-1L-YB-2_temperature,新榄核大桥,XLH-1-1L-YB-2,temperature,99.825,82.899,94.747,known_system_gap,0.1627,0.0,0.0,0.0
