sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
XQH-2-2L-LX-1_measureDisplacement,新浅海大桥,XQH-2-2L-LX-1,measureDisplacement,72.459,68.241,71.193,bridge_wide_gap,0.4123,0.0,0.0,0.0
XQH-1-1L-LX-2_measureDisplacement,新浅海大桥,XQH-1-1L-LX-2,measureDisplacement,72.615,68.254,71.306,bridge_wide_gap,0.4115,0.0,0.0,0.0
XQH-1-1L-LX-1_measureDisplacement,新浅海大桥,XQH-1-1L-LX-1,measureDisplacement,72.692,68.13,71.324,bridge_wide_gap,0.4124,0.0,0.0,0.0
XQH-2-2L-YB-1_strain,新浅海大桥,XQH-2-2L-YB-1,strain,78.053,66.606,74.619,bridge_wide_gap,0.4032,0.0,0.0,0.0
XQH-1-1L-YB-2_strain,新浅海大桥,XQH-1-1L-YB-2,strain,78.111,66.597,74.657,bridge_wide_gap,0.403,0.0,0.0,0.0
XQH-2-2L-YB-2_strain,新浅海大桥,XQH-2-2L-YB-2,strain,78.111,66.677,74.681,bridge_wide_gap,0.4022,0.0,0.0,0.0
XQH-1-1L-YB-1_strain,新浅海大桥,XQH-1-1L-YB-1,strain,78.15,66.615,74.689,bridge_wide_gap,0.4027,0.0,0.0,0.0
XQH-1-1L-LX-2_beamPierRelativeDisplacement,新浅海大桥,XQH-1-1L-LX-2,beamPierRelativeDisplacement,80.957,66.576,76.643,bridge_wide_gap,0.3904,0.0,0.0,0.0
XQH-2-2L-LX-1_beamPierRelativeDisplacement,新浅海大桥,XQH-2-2L-LX-1,beamPierRelativeDisplacement,81.366,66.508,76.909,known_system_gap,0.3892,0.0,0.0,0.0
XQH-1-1L-LX-1_beamPierRelativeDisplacement,新浅海大桥,XQH-1-1L-LX-1,beamPierRelativeDisplacement,86.526,67.866,80.928,bridge_wide_gap,0.3521,0.0,0.0,0.0001
XQH-1-1D-QJ-1_temperature,新浅海大桥,XQH-1-1D-QJ-1,temperature,87.448,68.178,81.667,bridge_wide_gap,0.3448,0.0,0.0,0.0
XQH-1-1D-QJ-1_xAxisAngle,新浅海大桥,XQH-1-1D-QJ-1,xAxisAngle,87.448,68.178,81.667,bridge_wide_gap,0.3448,0.0,0.0,0.0
XQH-1-1D-QJ-1_yAxisAngle,新浅海大桥,XQH-1-1D-QJ-1,yAxisAngle,87.448,68.178,81.667,bridge_wide_gap,0.3448,0.0,0.0,0.0
XQH-1-3L-WSD-1_humidity,新浅海大桥,XQH-1-3L-WSD-1,humidity,87.467,68.186,81.683,bridge_wide_gap,0.3446,0.0,0.0,0.0
XQH-1-3L-WSD-1_temperature,新浅海大桥,XQH-1-3L-WSD-1,temperature,87.603,68.034,81.733,bridge_wide_gap,0.3455,0.0,0.0,0.0
XQH-2-3D-QJ-1_temperature,新浅海大桥,XQH-2-3D-QJ-1,temperature,87.564,68.186,81.751,bridge_wide_gap,0.3442,0.0,0.0,0.0
XQH-2-3D-QJ-1_yAxisAngle,新浅海大桥,XQH-2-3D-QJ-1,yAxisAngle,87.564,68.186,81.751,bridge_wide_gap,0.3442,0.0,0.0,0.0
XQH-2-3D-QJ-1_xAxisAngle,新浅海大桥,XQH-2-3D-QJ-1,xAxisAngle,87.564,68.186,81.751,bridge_wide_gap,0.3442,0.0,0.0,0.0
XQH-1-0D-QJ-1_yAxisAngle,新浅海大桥,XQH-1-0D-QJ-1,yAxisAngle,87.701,68.229,81.859,bridge_wide_gap,0.3432,0.0,0.0,0.0
XQH-1-0D-QJ-1_xAxisAngle,新浅海大桥,XQH-1-0D-QJ-1,xAxisAngle,87.701,68.229,81.859,bridge_wide_gap,0.3432,0.0,0.0,0.0
XQH-1-0D-QJ-1_temperature,新浅海大桥,XQH-1-0D-QJ-1,temperature,87.701,68.229,81.859,bridge_wide_gap,0.3432,0.0,0.0,0.0
XQH-2-2L-YB-1_frequency,新浅海大桥,XQH-2-2L-YB-1,frequency,97.603,68.006,88.723,bridge_wide_gap,0.3003,0.0,0.0,0.0
XQH-2-2L-YB-1_temperature,新浅海大桥,XQH-2-2L-YB-1,temperature,97.603,68.006,88.723,bridge_wide_gap,0.3003,0.0,0.0,0.0
XQH-2-2L-YB-2_frequency,新浅海大桥,XQH-2-2L-YB-2,frequency,97.603,68.078,88.745,bridge_wide_gap,0.2996,0.0,0.0,0.0
XQH-2-2L-YB-2_temperature,新浅海大桥,XQH-2-2L-YB-2,temperature,97.603,68.078,88.745,bridge_wide_gap,0.2996,0.0,0.0,0.0
XQH-1-1L-YB-2_frequency,新浅海大桥,XQH-1-1L-YB-2,frequency,99.103,68.016,89.777,bridge_wide_gap,0.2934,0.0,0.0,0.0
XQH-1-1L-YB-2_temperature,新浅海大桥,XQH-1-1L-YB-2,temperature,99.103,68.016,89.777,bridge_wide_gap,0.2934,0.0,0.0,0.0
XQH-1-1L-YB-1_temperature,新浅海大桥,XQH-1-1L-YB-1,temperature,99.123,68.016,89.791,bridge_wide_gap,0.2933,0.0,0.0,0.0
XQH-1-1L-YB-1_frequency,新浅海大桥,XQH-1-1L-YB-1,frequency,99.123,68.016,89.791,bridge_wide_gap,0.2933,0.0,0.0,0.0
