sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
MS-0-1L-YB-1_strain,single_bridge,MS-0-1L-YB-1,strain,81.252,81.046,81.19,known_system_gap,0.2655,0.0,0.0,0.0
MS-0-1L-YB-2_strain,single_bridge,MS-0-1L-YB-2,strain,81.272,81.038,81.201,known_system_gap,0.2655,0.0,0.0,0.0
MS-0-1L-LX-1_measureDisplacement,single_bridge,MS-0-1L-LX-1,measureDisplacement,83.666,82.414,83.29,known_system_gap,0.2406,0.0,0.0002,0.0
MS-0-1L-LX-3_measureDisplacement,single_bridge,MS-0-1L-LX-3,measureDisplacement,83.73,82.456,83.348,known_system_gap,0.2401,0.0,0.0,0.0
MS-0-1L-LX-1_beamPierRelativeDisplacement,single_bridge,MS-0-1L-LX-1,beamPierRelativeDisplacement,92.878,81.401,89.435,known_system_gap,0.2088,0.0,0.0002,0.0
MS-0-1L-LX-3_beamPierRelativeDisplacement,single_bridge,MS-0-1L-LX-3,beamPierRelativeDisplacement,94.557,81.61,90.673,known_system_gap,0.1994,0.0,0.0,0.0
MS-0-1D-QJ-1_temperature,single_bridge,MS-0-1D-QJ-1,temperature,98.322,82.022,93.432,known_system_gap,0.1782,0.0,0.0,0.0
MS-0-1D-QJ-1_xAxisAngle,single_bridge,MS-0-1D-QJ-1,xAxisAngle,98.322,82.022,93.432,known_system_gap,0.1782,0.0,0.0,0.0
MS-0-1D-QJ-1_yAxisAngle,single_bridge,MS-0-1D-QJ-1,yAxisAngle,98.322,82.022,93.432,known_system_gap,0.1782,0.0,0.0,0.0
MS-0-1L-WSD-1_temperature,single_bridge,MS-0-1L-WSD-1,temperature,98.576,82.054,93.619,known_system_gap,0.1767,0.0,0.0,0.0
MS-0-0D-QJ-1_temperature,single_bridge,MS-0-0D-QJ-1,temperature,98.537,82.268,93.656,known_system_gap,0.1748,0.0,0.0,0.0
MS-0-0D-QJ-1_yAxisAngle,single_bridge,MS-0-0D-QJ-1,yAxisAngle,98.537,82.268,93.656,known_system_gap,0.1748,0.0,0.0,0.0
MS-0-0D-QJ-1_xAxisAngle,single_bridge,MS-0-0D-QJ-1,xAxisAngle,98.537,82.268,93.656,known_system_gap,0.1748,0.0,0.0,0.0
MS-0-1L-WSD-1_humidity,single_bridge,MS-0-1L-WSD-1,humidity,98.576,82.247,93.677,known_system_gap,0.1748,0.0,0.0,0.0
MS-0-1L-YB-2_frequency,single_bridge,MS-0-1L-YB-2,frequency,99.805,82.572,94.635,known_system_gap,0.1659,0.0,0.0,0.0
MS-0-1L-YB-2_temperature,single_bridge,MS-0-1L-YB-2,temperature,99.805,82.572,94.635,known_system_gap,0.1659,0.0,0.0,0.0
MS-0-1L-YB-1_frequency,single_bridge,MS-0-1L-YB-1,frequency,99.824,82.572,94.649,known_system_gap,0.1658,0.0,0.0,0.0
MS-0-1L-YB-1_temperature,single_bridge,MS-0-1L-YB-1,temperature,99.824,82.572,94.649,known_system_gap,0.1658,0.0,0.0,0.0
