sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
LXS-0-2L-YB-1_strain,single_bridge,LXS-0-2L-YB-1,strain,23.723,67.696,36.915,device_gap,0.6611,0.0,0.0,0.0
LXS-0-2L-YB-1_frequency,single_bridge,LXS-0-2L-YB-1,frequency,28.041,69.366,40.438,device_gap,0.6248,0.0,0.0,0.0
LXS-0-2D-QJ-1_xAxisAngle,single_bridge,LXS-0-2D-QJ-1,xAxisAngle,59.849,67.314,62.089,known_system_gap,0.5007,0.0,0.0,0.0
LXS-0-2D-QJ-1_yAxisAngle,single_bridge,LXS-0-2D-QJ-1,yAxisAngle,59.849,67.314,62.089,known_system_gap,0.5007,0.0,0.0,0.0
LXS-0-2D-QJ-1_temperature,single_bridge,LXS-0-2D-QJ-1,temperature,59.849,67.314,62.089,known_system_gap,0.5007,0.0,0.0,0.0
LXS-0-3L-YB-2_strain,single_bridge,LXS-0-3L-YB-2,strain,69.931,75.085,71.477,known_system_gap,0.3772,0.0,0.0,0.0
LXS-0-1L-YB-2_strain,single_bridge,LXS-0-1L-YB-2,strain,69.892,75.254,71.5,known_system_gap,0.3757,0.0,0.0,0.0
LXS-0-1L-YB-1_strain,single_bridge,LXS-0-1L-YB-1,strain,69.931,75.29,71.538,known_system_gap,0.3751,0.0,0.0,0.0
LXS-0-3L-YB-1_strain,single_bridge,LXS-0-3L-YB-1,strain,69.95,75.272,71.547,known_system_gap,0.3752,0.0,0.0,0.0
LXS-0-2L-YB-2_strain,single_bridge,LXS-0-2L-YB-2,strain,69.989,75.281,71.577,known_system_gap,0.375,0.0,0.0,0.0
LXS-1-3D-BB-2_deflection,single_bridge,LXS-1-3D-BB-2,deflection,81.517,79.028,80.77,known_system_gap,0.2851,0.0,0.0,0.0
LXS-2-3D-BB-2_deflection,single_bridge,LXS-2-3D-BB-2,deflection,81.478,79.179,80.788,known_system_gap,0.2837,0.0,0.0,0.0
LXS-2-1D-BB-1_deflection,single_bridge,LXS-2-1D-BB-1,deflection,81.712,79.286,80.984,known_system_gap,0.2816,0.0,0.0,0.0
LXS-1-3L-BB-1_deflection,single_bridge,LXS-1-3L-BB-1,deflection,82.24,79.171,81.319,known_system_gap,0.2804,0.0,0.0,0.0
LXS-1-2D-BB-1_deflection,single_bridge,LXS-1-2D-BB-1,deflection,82.337,79.277,81.419,known_system_gap,0.2789,0.0,0.0,0.0
LXS-1-2L-BB-2_deflection,single_bridge,LXS-1-2L-BB-2,deflection,82.377,79.277,81.447,known_system_gap,0.2787,0.0,0.0,0.0
LXS-2-1L-BB-1_deflection,single_bridge,LXS-2-1L-BB-1,deflection,82.337,79.384,81.451,known_system_gap,0.2778,0.0,0.0,0.0
LXS-2-2L-BB-2_deflection,single_bridge,LXS-2-2L-BB-2,deflection,82.377,79.366,81.473,known_system_gap,0.2778,0.0,0.0,0.0
LXS-1-1L-BB-1_deflection,single_bridge,LXS-1-1L-BB-1,deflection,82.474,79.348,81.536,known_system_gap,0.2775,0.0,0.0,0.0
LXS-1-1D-LX-2_measureDisplacement,single_bridge,LXS-1-1D-LX-2,measureDisplacement,83.314,79.856,82.277,known_system_gap,0.2687,0.0,0.0,0.0
LXS-2-4D-LX-1_measureDisplacement,single_bridge,LXS-2-4D-LX-1,measureDisplacement,83.295,80.059,82.324,known_system_gap,0.2667,0.0,0.0,0.0
LXS-1-1D-LX-1_measureDisplacement,single_bridge,LXS-1-1D-LX-1,measureDisplacement,83.314,80.174,82.372,known_system_gap,0.2655,0.0,0.0,0.0
LXS-2-4D-LX-2_measureDisplacement,single_bridge,LXS-2-4D-LX-2,measureDisplacement,83.314,80.201,82.38,known_system_gap,0.2652,0.0,0.0,0.0
LXS-0-1L-YB-2_temperature,single_bridge,LXS-0-1L-YB-2,temperature,88.453,77.158,85.064,known_system_gap,0.2725,0.0,0.0,0.0
LXS-0-1L-YB-2_frequency,single_bridge,LXS-0-1L-YB-2,frequency,88.453,77.158,85.064,known_system_gap,0.2725,0.0,0.0,0.0
LXS-0-1L-YB-1_frequency,single_bridge,LXS-0-1L-YB-1,frequency,88.492,77.158,85.092,known_system_gap,0.2723,0.0,0.0,0.0
LXS-0-1L-YB-1_temperature,single_bridge,LXS-0-1L-YB-1,temperature,88.492,77.158,85.092,known_system_gap,0.2723,0.0,0.0,0.0
LXS-0-2L-YB-2_frequency,single_bridge,LXS-0-2L-YB-2,frequency,88.492,77.158,85.092,known_system_gap,0.2723,0.0,0.0,0.0
LXS-0-2L-YB-2_temperature,single_bridge,LXS-0-2L-YB-2,temperature,88.492,77.158,85.092,known_system_gap,0.2723,0.0,0.0,0.0
LXS-0-3L-YB-2_frequency,single_bridge,LXS-0-3L-YB-2,frequency,88.59,76.975,85.105,known_system_gap,0.2737,0.0,0.0,0.0
LXS-0-3L-YB-2_temperature,single_bridge,LXS-0-3L-YB-2,temperature,88.59,76.975,85.105,known_system_gap,0.2737,0.0,0.0,0.0
LXS-0-3L-YB-1_frequency,single_bridge,LXS-0-3L-YB-1,frequency,88.512,77.158,85.106,known_system_gap,0.2722,0.0,0.0,0.0
LXS-0-3L-YB-1_temperature,single_bridge,LXS-0-3L-YB-1,temperature,88.512,77.158,85.106,known_system_gap,0.2722,0.0,0.0,0.0
LXS-0-2L-YB-1_temperature,single_bridge,LXS-0-2L-YB-1,temperature,88.57,77.14,85.141,known_system_gap,0.2721,0.0,0.0,0.0
LXS-2-3L-BB-1_temperature,single_bridge,LXS-2-3L-BB-1,temperature,88.844,80.174,86.243,known_system_gap,0.2403,0.0,0.0,0.0
