sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
QH-0-1L-YB-2_strain,浅海大桥,QH-0-1L-YB-2,strain,68.612,74.927,70.507,device_gap,0.3724,0.0,0.0,0.0
QH-0-1L-YB-1_strain,浅海大桥,QH-0-1L-YB-1,strain,68.63,74.968,70.532,device_gap,0.3719,0.0,0.0,0.0
QH-0-1L-LX-4_measureDisplacement,浅海大桥,QH-0-1L-LX-4,measureDisplacement,71.697,76.501,73.138,device_gap,0.3427,0.0,0.0,0.0
QH-0-1L-WSD-1_temperature,浅海大桥,QH-0-1L-WSD-1,temperature,71.733,76.419,73.139,device_gap,0.3433,0.0,0.0,0.0
QH-0-1L-WSD-1_humidity,浅海大桥,QH-0-1L-WSD-1,humidity,71.733,76.419,73.139,device_gap,0.3433,0.0,0.0,0.0
QH-0-1L-LX-1_measureDisplacement,浅海大桥,QH-0-1L-LX-1,measureDisplacement,71.733,76.428,73.142,device_gap,0.3432,0.0,0.0,0.0
QH-0-1L-LX-2_measureDisplacement,浅海大桥,QH-0-1L-LX-2,measureDisplacement,71.733,76.454,73.149,device_gap,0.343,0.0,0.0,0.0
QH-0-1L-LX-3_measureDisplacement,浅海大桥,QH-0-1L-LX-3,measureDisplacement,71.733,76.514,73.167,device_gap,0.3424,0.0,0.0,0.0
QH-0-1L-LX-3_beamPierRelativeDisplacement,浅海大桥,QH-0-1L-LX-3,beamPierRelativeDisplacement,93.209,75.121,87.783,known_system_gap,0.2587,0.0,0.0001,0.0
QH-0-1L-LX-4_beamPierRelativeDisplacement,浅海大桥,QH-0-1L-LX-4,beamPierRelativeDisplacement,94.171,75.165,88.469,known_system_gap,0.254,0.0,0.0,0.0
QH-0-1L-LX-2_beamPierRelativeDisplacement,浅海大桥,QH-0-1L-LX-2,beamPierRelativeDisplacement,94.207,75.267,88.525,known_system_gap,0.2529,0.0,0.0,0.0
QH-0-1L-LX-1_beamPierRelativeDisplacement,浅海大桥,QH-0-1L-LX-1,beamPierRelativeDisplacement,94.207,75.387,88.561,known_system_gap,0.2517,0.0,0.0,0.0
QH-0-1L-YB-1_temperature,浅海大桥,QH-0-1L-YB-1,temperature,95.426,76.607,89.781,known_system_gap,0.2338,0.0,0.0,0.0
QH-0-1L-YB-1_frequency,浅海大桥,QH-0-1L-YB-1,frequency,95.426,76.607,89.781,known_system_gap,0.2338,0.0,0.0,0.0
QH-0-1L-YB-2_frequency,浅海大桥,QH-0-1L-YB-2,frequency,95.444,76.569,89.782,known_system_gap,0.2341,0.0,0.0,0.0
QH-0-1L-YB-2_temperature,浅海大桥,QH-0-1L-YB-2,temperature,95.444,76.569,89.782,known_system_gap,0.2341,0.0,0.0,0.0
QH-0-1D-QJ-1_xAxisAngle,浅海大桥,QH-0-1D-QJ-1,xAxisAngle,98.422,76.429,91.824,known_system_gap,0.2219,0.0,0.0,0.0
QH-0-1D-QJ-1_temperature,浅海大桥,QH-0-1D-QJ-1,temperature,98.422,76.429,91.824,known_system_gap,0.2219,0.0,0.0,0.0
QH-0-1D-QJ-1_yAxisAngle,浅海大桥,QH-0-1D-QJ-1,yAxisAngle,98.422,76.429,91.824,known_system_gap,0.2219,0.0,0.0,0.0
QH-0-0D-QJ-1_yAxisAngle,浅海大桥,QH-0-0D-QJ-1,yAxisAngle,98.852,76.372,92.108,known_system_gap,0.2205,0.0,0.0,0.0
QH-0-0D-QJ-1_xAxisAngle,浅海大桥,QH-0-0D-QJ-1,xAxisAngle,98.852,76.372,92.108,known_system_gap,0.2205,0.0,0.0,0.0
QH-0-0D-QJ-1_temperature,浅海大桥,QH-0-0D-QJ-1,temperature,98.852,76.372,92.108,known_system_gap,0.2205,0.0,0.0,0.0
