sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
LGY-0-1L-YB-1_strain,single_bridge,LGY-0-1L-YB-1,strain,82.172,81.122,81.857,known_system_gap,0.2604,0.0,0.0,0.0
LGY-0-1L-YB-2_strain,single_bridge,LGY-0-1L-YB-2,strain,82.192,81.247,81.908,known_system_gap,0.2591,0.0,0.0,0.0
LGY-0-1L-LX-2_measureDisplacement,single_bridge,LGY-0-1L-LX-2,measureDisplacement,83.889,82.472,83.464,known_system_gap,0.2391,0.0,0.0,0.0
LGY-0-1L-LX-4_measureDisplacement,single_bridge,LGY-0-1L-LX-4,measureDisplacement,83.967,82.443,83.51,known_system_gap,0.239,0.0,0.0,0.0
LGY-0-1L-LX-1_measureDisplacement,single_bridge,LGY-0-1L-LX-1,measureDisplacement,83.947,82.497,83.512,known_system_gap,0.2386,0.0,0.0,0.0
LGY-0-1L-LX-3_measureDisplacement,single_bridge,LGY-0-1L-LX-3,measureDisplacement,83.986,82.435,83.521,known_system_gap,0.239,0.0,0.0,0.0
LGY-0-1L-LX-1_beamPierRelativeDisplacement,single_bridge,LGY-0-1L-LX-1,beamPierRelativeDisplacement,92.139,81.044,88.811,known_system_gap,0.2159,0.0,0.0,0.0
LGY-0-1L-LX-2_beamPierRelativeDisplacement,single_bridge,LGY-0-1L-LX-2,beamPierRelativeDisplacement,92.397,81.005,88.98,known_system_gap,0.2151,0.0,0.0,0.0
LGY-0-1L-LX-4_beamPierRelativeDisplacement,single_bridge,LGY-0-1L-LX-4,beamPierRelativeDisplacement,92.627,81.144,89.182,known_system_gap,0.2127,0.0,0.0,0.0
LGY-0-1L-LX-3_beamPierRelativeDisplacement,single_bridge,LGY-0-1L-LX-3,beamPierRelativeDisplacement,92.9,81.08,89.354,known_system_gap,0.2121,0.0,0.0,0.0
LGY-0-1D-QJ-1_temperature,single_bridge,LGY-0-1D-QJ-1,temperature,98.479,81.961,93.523,known_system_gap,0.1779,0.0,0.0,0.0
LGY-0-1D-QJ-1_xAxisAngle,single_bridge,LGY-0-1D-QJ-1,xAxisAngle,98.479,81.961,93.523,known_system_gap,0.1779,0.0,0.0,0.0
LGY-0-1D-QJ-1_yAxisAngle,single_bridge,LGY-0-1D-QJ-1,yAxisAngle,98.479,81.961,93.523,known_system_gap,0.1779,0.0,0.0,0.0
LGY-0-1L-WSD-1_temperature,single_bridge,LGY-0-1L-WSD-1,temperature,98.498,82.142,93.591,known_system_gap,0.176,0.0,0.0,0.0
LGY-0-0D-QJ-1_temperature,single_bridge,LGY-0-0D-QJ-1,temperature,98.83,82.041,93.793,known_system_gap,0.1755,0.0,0.0,0.0
LGY-0-0D-QJ-1_yAxisAngle,single_bridge,LGY-0-0D-QJ-1,yAxisAngle,98.83,82.041,93.793,known_system_gap,0.1755,0.0,0.0,0.0
LGY-0-0D-QJ-1_xAxisAngle,single_bridge,LGY-0-0D-QJ-1,xAxisAngle,98.83,82.041,93.793,known_system_gap,0.1755,0.0,0.0,0.0
LGY-0-1L-WSD-1_humidity,single_bridge,LGY-0-1L-WSD-1,humidity,98.966,82.0,93.876,known_system_gap,0.1753,0.0,0.0,0.0
LGY-0-1L-YB-1_frequency,single_bridge,LGY-0-1L-YB-1,frequency,99.415,82.589,94.367,known_system_gap,0.1676,0.0,0.0,0.0
LGY-0-1L-YB-1_temperature,single_bridge,LGY-0-1L-YB-1,temperature,99.415,82.589,94.367,known_system_gap,0.1676,0.0,0.0,0.0
LGY-0-1L-YB-2_frequency,single_bridge,LGY-0-1L-YB-2,frequency,99.376,82.731,94.382,known_system_gap,0.1663,0.0,0.0,0.0
LGY-0-1L-YB-2_temperature,single_bridge,LGY-0-1L-YB-2,temperature,99.376,82.731,94.382,known_system_gap,0.1663,0.0,0.0,0.0
