sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
LGE-0-1L-YB-1_strain,灵岗二桥,LGE-0-1L-YB-1,strain,80.395,77.514,79.531,known_system_gap,0.2998,0.0,0.0,0.0
LGE0-1L-YB-2_strain,灵岗二桥,LGE0-1L-YB-2,strain,80.434,77.62,79.59,known_system_gap,0.2985,0.0,0.0,0.0
LGE-0-1L-LX-4_measureDisplacement,灵岗二桥,LGE-0-1L-LX-4,measureDisplacement,84.18,79.704,82.837,known_system_gap,0.2607,0.0,0.0,0.0
LGE-0-1L-LX-1_measureDisplacement,灵岗二桥,LGE-0-1L-LX-1,measureDisplacement,84.16,79.775,82.845,known_system_gap,0.2601,0.0,0.0,0.0
LGE-0-1L-LX-2_measureDisplacement,灵岗二桥,LGE-0-1L-LX-2,measureDisplacement,84.141,79.918,82.874,known_system_gap,0.2587,0.0,0.0,0.0
LGE-0-1L-LX-3_measureDisplacement,灵岗二桥,LGE-0-1L-LX-3,measureDisplacement,84.141,79.926,82.876,known_system_gap,0.2586,0.0,0.0,0.0
LGE-0-1L-LX-1_beamPierRelativeDisplacement,灵岗二桥,LGE-0-1L-LX-1,beamPierRelativeDisplacement,92.899,77.929,88.408,known_system_gap,0.2389,0.0,0.0,0.0
LGE-0-1L-LX-2_beamPierRelativeDisplacement,灵岗二桥,LGE-0-1L-LX-2,beamPierRelativeDisplacement,92.875,78.157,88.459,known_system_gap,0.2366,0.0,0.0,0.0001
LGE-0-1L-LX-4_beamPierRelativeDisplacement,灵岗二桥,LGE-0-1L-LX-4,beamPierRelativeDisplacement,92.899,78.136,88.47,known_system_gap,0.2367,0.0,0.0,0.0
LGE-0-1L-LX-3_beamPierRelativeDisplacement,灵岗二桥,LGE-0-1L-LX-3,beamPierRelativeDisplacement,93.368,78.14,88.799,known_system_gap,0.2346,0.0,0.0,0.0
LGE-0-1L-WSD-1_temperature,灵岗二桥,LGE-0-1L-WSD-1,temperature,98.439,79.761,92.836,known_system_gap,0.1953,0.0,0.0,0.0
LGE-0-1L-WSD-1_humidity,灵岗二桥,LGE-0-1L-WSD-1,humidity,98.537,79.677,92.879,known_system_gap,0.1957,0.0,0.0,0.0
LGE-0-1D-QJ-1_temperature,灵岗二桥,LGE-0-1D-QJ-1,temperature,98.595,79.741,92.939,known_system_gap,0.1949,0.0,0.0,0.0
LGE-0-1D-QJ-1_xAxisAngle,灵岗二桥,LGE-0-1D-QJ-1,xAxisAngle,98.595,79.741,92.939,known_system_gap,0.1949,0.0,0.0,0.0
LGE-0-1D-QJ-1_yAxisAngle,灵岗二桥,LGE-0-1D-QJ-1,yAxisAngle,98.595,79.741,92.939,known_system_gap,0.1949,0.0,0.0,0.0
LGE-0-0D-QJ-1_temperature,灵岗二桥,LGE-0-0D-QJ-1,temperature,98.654,79.752,92.983,known_system_gap,0.1944,0.0,0.0,0.0
LGE-0-0D-QJ-1_xAxisAngle,灵岗二桥,LGE-0-0D-QJ-1,xAxisAngle,98.654,79.752,92.983,known_system_gap,0.1944,0.0,0.0,0.0
LGE-0-0D-QJ-1_yAxisAngle,灵岗二桥,LGE-0-0D-QJ-1,yAxisAngle,98.654,79.752,92.983,known_system_gap,0.1944,0.0,0.0,0.0
LGE0-1L-YB-2_frequency,灵岗二桥,LGE0-1L-YB-2,frequency,99.044,80.621,93.517,known_system_gap,0.1851,0.0,0.0,0.0
LGE0-1L-YB-2_temperature,灵岗二桥,LGE0-1L-YB-2,temperature,99.044,80.621,93.517,known_system_gap,0.1851,0.0,0.0,0.0
LGE-0-1L-YB-1_frequency,灵岗二桥,LGE-0-1L-YB-1,frequency,99.22,80.479,93.597,known_system_gap,0.1857,0.0,0.0,0.0
LGE-0-1L-YB-1_temperature,灵岗二桥,LGE-0-1L-YB-1,temperature,99.22,80.479,93.597,known_system_gap,0.1857,0.0,0.0,0.0
