sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
JMSD-C-1L-YB-1_strain,蕉门水道特大桥,JMSD-C-1L-YB-1,strain,75.9,73.214,75.095,known_system_gap,0.3631,0.0,0.0,0.0
JMSD-C-3L-YB-1_strain,蕉门水道特大桥,JMSD-C-3L-YB-1,strain,75.998,73.179,75.152,known_system_gap,0.363,0.0,0.0,0.0
JMSD-C-2L-YB-1_strain,蕉门水道特大桥,JMSD-C-2L-YB-1,strain,75.978,73.241,75.157,known_system_gap,0.3625,0.0,0.0,0.0
JMSD-D-1L-YB-1_strain,蕉门水道特大桥,JMSD-D-1L-YB-1,strain,76.271,73.401,75.41,known_system_gap,0.3596,0.0,0.0,0.0
JMSD-D-2L-YB-1_strain,蕉门水道特大桥,JMSD-D-2L-YB-1,strain,76.622,73.64,75.728,known_system_gap,0.3556,0.0,0.0,0.0
JMSD-D-3L-YB-1_strain,蕉门水道特大桥,JMSD-D-3L-YB-1,strain,76.778,73.791,75.882,known_system_gap,0.3534,0.0,0.0,0.0
JMSD-A-1L-YB-1_strain,蕉门水道特大桥,JMSD-A-1L-YB-1,strain,77.344,73.658,76.238,known_system_gap,0.3521,0.0,0.0,0.0
JMSD-B-2L-YB-1_strain,蕉门水道特大桥,JMSD-B-2L-YB-1,strain,77.286,73.906,76.272,known_system_gap,0.3499,0.0,0.0,0.0
JMSD-A-3L-YB-1_strain,蕉门水道特大桥,JMSD-A-3L-YB-1,strain,77.325,73.933,76.307,known_system_gap,0.3495,0.0,0.0,0.0
JMSD-B-3L-YB-1_strain,蕉门水道特大桥,JMSD-B-3L-YB-1,strain,77.325,73.951,76.313,known_system_gap,0.3493,0.0,0.0,0.0
JMSD-B-1L-YB-1_strain,蕉门水道特大桥,JMSD-B-1L-YB-1,strain,77.344,73.942,76.324,known_system_gap,0.3493,0.0,0.0,0.0
JMSD-A-2L-YB-1_strain,蕉门水道特大桥,JMSD-A-2L-YB-1,strain,77.383,74.11,76.401,known_system_gap,0.3474,0.0,0.0,0.0
JMSD-D-3D-BB-1_deflection,蕉门水道特大桥,JMSD-D-3D-BB-1,deflection,79.627,74.403,78.06,known_system_gap,0.3344,0.0,0.0,0.0
JMSD-C-3D-BB-1_deflection,蕉门水道特大桥,JMSD-C-3D-BB-1,deflection,79.53,74.8,78.111,known_system_gap,0.3308,0.0,0.0,0.0
JMSD-A-3D-BB-1_deflection,蕉门水道特大桥,JMSD-A-3D-BB-1,deflection,80.076,74.573,78.425,known_system_gap,0.3306,0.0,0.0,0.0
JMSD-B-2D-BB-2_deflection,蕉门水道特大桥,JMSD-B-2D-BB-2,deflection,80.271,74.483,78.535,known_system_gap,0.3306,0.0,0.0,0.0
JMSD-B-3D-BB-1_deflection,蕉门水道特大桥,JMSD-B-3D-BB-1,deflection,80.252,74.556,78.543,known_system_gap,0.33,0.0,0.0,0.0
JMSD-A-3L-BB-2_deflection,蕉门水道特大桥,JMSD-A-3L-BB-2,deflection,80.252,74.612,78.56,known_system_gap,0.3294,0.0,0.0,0.0
JMSD-A-2D-BB-2_deflection,蕉门水道特大桥,JMSD-A-2D-BB-2,deflection,80.584,74.554,78.775,known_system_gap,0.3285,0.0,0.0,0.0
JMSD-C-3L-BB-2_deflection,蕉门水道特大桥,JMSD-C-3L-BB-2,deflection,80.603,74.841,78.875,known_system_gap,0.3255,0.0,0.0,0.0
JMSD-D-3L-BB-2_deflection,蕉门水道特大桥,JMSD-D-3L-BB-2,deflection,80.701,74.79,78.927,known_system_gap,0.3256,0.0,0.0,0.0
JMSD-B-3L-BB-2_deflection,蕉门水道特大桥,JMSD-B-3L-BB-2,deflection,80.779,74.673,78.947,known_system_gap,0.3264,0.0,0.0,0.0
JMSD-B-1L-BB-1_deflection,蕉门水道特大桥,JMSD-B-1L-BB-1,deflection,80.779,74.767,78.975,known_system_gap,0.3254,0.0,0.0,0.0
JMSD-A-2L-BB-1_deflection,蕉门水道特大桥,JMSD-A-2L-BB-1,deflection,80.798,74.797,78.998,known_system_gap,0.3251,0.0,0.0,0.0
JMSD-A-1L-BB-1_deflection,蕉门水道特大桥,JMSD-A-1L-BB-1,deflection,80.837,74.82,79.032,known_system_gap,0.3246,0.0,0.0,0.0
JMSD-D-2L-BB-1_deflection,蕉门水道特大桥,JMSD-D-2L-BB-1,deflection,80.837,74.916,79.061,known_system_gap,0.3238,0.0,0.0,0.0
JMSD-C-2D-BB-2_deflection,蕉门水道特大桥,JMSD-C-2D-BB-2,deflection,80.876,74.926,79.091,known_system_gap,0.3235,0.0,0.0,0.0
JMSD-B-2L-BB-1_deflection,蕉门水道特大桥,JMSD-B-2L-BB-1,deflection,81.052,74.706,79.148,known_system_gap,0.3248,0.0,0.0,0.0
JMSD-C-2L-BB-1_deflection,蕉门水道特大桥,JMSD-C-2L-BB-1,deflection,81.052,74.907,79.208,known_system_gap,0.3229,0.0,0.0,0.0
JMSD-D-2D-BB-2_deflection,蕉门水道特大桥,JMSD-D-2D-BB-2,deflection,81.052,75.068,79.257,known_system_gap,0.3213,0.0,0.0,0.0
JMSD-D-1L-BB-1_deflection,蕉门水道特大桥,JMSD-D-1L-BB-1,deflection,81.754,75.129,79.767,known_system_gap,0.3175,0.0,0.0,0.0
JMSD-C-1L-BB-1_deflection,蕉门水道特大桥,JMSD-C-1L-BB-1,deflection,81.833,75.134,79.823,known_system_gap,0.3171,0.0,0.0,0.0
JMSD-2-3D-LX-1_measureDisplacement,蕉门水道特大桥,JMSD-2-3D-LX-1,measureDisplacement,82.184,75.148,80.073,known_system_gap,0.3153,0.0,0.0,0.0
