sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
XQSD-C-1L-YB-1_strain,西樵水道特大桥,XQSD-C-1L-YB-1,strain,77.645,77.81,77.694,known_system_gap,0.3121,0.0,0.0,0.0
XQSD-C-2L-YB-1_strain,西樵水道特大桥,XQSD-C-2L-YB-1,strain,77.781,77.81,77.79,known_system_gap,0.3115,0.0,0.0,0.0
XQSD-C-3L-YB-1_strain,西樵水道特大桥,XQSD-C-3L-YB-1,strain,77.879,77.739,77.837,known_system_gap,0.3118,0.0,0.0,0.0
XQSD-D-1L-YB-1_strain,西樵水道特大桥,XQSD-D-1L-YB-1,strain,77.898,77.792,77.867,known_system_gap,0.3111,0.0,0.0,0.0
XQSD-D-3L-YB-1_strain,西樵水道特大桥,XQSD-D-3L-YB-1,strain,77.918,77.925,77.92,known_system_gap,0.3097,0.0,0.0,0.0
XQSD-D-2L-YB-1_strain,西樵水道特大桥,XQSD-D-2L-YB-1,strain,77.918,77.934,77.923,known_system_gap,0.3096,0.0,0.0,0.0
XQSD-B-1L-YB-1_strain,西樵水道特大桥,XQSD-B-1L-YB-1,strain,78.23,77.978,78.155,known_system_gap,0.3078,0.0,0.0,0.0
XQSD-A-1L-YB-1_strain,西樵水道特大桥,XQSD-A-1L-YB-1,strain,78.23,77.996,78.16,known_system_gap,0.3076,0.0,0.0,0.0
XQSD-B-3L-YB-1_strain,西樵水道特大桥,XQSD-B-3L-YB-1,strain,78.25,78.032,78.184,known_system_gap,0.3072,0.0,0.0,0.0
XQSD-B-2L-YB-1_strain,西樵水道特大桥,XQSD-B-2L-YB-1,strain,78.289,78.182,78.257,known_system_gap,0.3055,0.0,0.0,0.0
XQSD-A-3L-YB-1_strain,西樵水道特大桥,XQSD-A-3L-YB-1,strain,78.308,78.2,78.276,known_system_gap,0.3052,0.0,0.0,0.0
XQSD-A-2L-YB-1_strain,西樵水道特大桥,XQSD-A-2L-YB-1,strain,78.387,78.2,78.331,known_system_gap,0.3048,0.0,0.0,0.0
XQSD-D-2D-BB-2_deflection,西樵水道特大桥,XQSD-D-2D-BB-2,deflection,81.315,78.937,80.602,known_system_gap,0.2842,0.0,0.0,0.0
XQSD-A-3D-BB-1_deflection,西樵水道特大桥,XQSD-A-3D-BB-1,deflection,81.276,79.034,80.604,known_system_gap,0.2834,0.0,0.0,0.0
XQSD-C-2D-BB-2_deflection,西樵水道特大桥,XQSD-C-2D-BB-2,deflection,81.374,78.839,80.613,known_system_gap,0.2849,0.0,0.0,0.0
XQSD-B-3D-BB-1_deflection,西樵水道特大桥,XQSD-B-3D-BB-1,deflection,81.432,79.088,80.729,known_system_gap,0.2821,0.0,0.0,0.0
XQSD-C-3D-BB-1_deflection,西樵水道特大桥,XQSD-C-3D-BB-1,deflection,81.53,79.196,80.83,known_system_gap,0.2806,0.0,0.0,0.0
XQSD-D-3D-BB-1_deflection,西樵水道特大桥,XQSD-D-3D-BB-1,deflection,81.55,79.276,80.867,known_system_gap,0.2797,0.0,0.0,0.0
XQSD-B-2D-BB-2_deflection,西樵水道特大桥,XQSD-B-2D-BB-2,deflection,81.823,79.224,81.043,known_system_gap,0.279,0.0,0.0,0.0
XQSD-A-2D-BB-2_deflection,西樵水道特大桥,XQSD-A-2D-BB-2,deflection,82.057,79.143,81.183,known_system_gap,0.2788,0.0,0.0,0.0
XQSD-C-1L-BB-1_deflection,西樵水道特大桥,XQSD-C-1L-BB-1,deflection,82.018,79.31,81.206,known_system_gap,0.2772,0.0,0.0,0.0
XQSD-D-1L-BB-1_deflection,西樵水道特大桥,XQSD-D-1L-BB-1,deflection,82.174,79.239,81.294,known_system_gap,0.2772,0.0,0.0,0.0
XQSD-D-2L-BB-1_deflection,西樵水道特大桥,XQSD-D-2L-BB-1,deflection,82.291,79.231,81.373,known_system_gap,0.2768,0.0,0.0,0.0
XQSD-B-3L-BB-2_deflection,西樵水道特大桥,XQSD-B-3L-BB-2,deflection,82.233,79.46,81.401,known_system_gap,0.2748,0.0,0.0,0.0
XQSD-C-2L-BB-1_deflection,西樵水道特大桥,XQSD-C-2L-BB-1,deflection,82.33,79.318,81.427,known_system_gap,0.2757,0.0,0.0,0.0
XQSD-C-3L-BB-2_deflection,西樵水道特大桥,XQSD-C-3L-BB-2,deflection,82.506,79.356,81.561,known_system_gap,0.2746,0.0,0.0,0.0
XQSD-B-2L-BB-1_deflection,西樵水道特大桥,XQSD-B-2L-BB-1,deflection,82.662,79.221,81.63,known_system_gap,0.2752,0.0,0.0,0.0
XQSD-A-3L-BB-2_deflection,西樵水道特大桥,XQSD-A-3L-BB-2,deflection,82.682,79.239,81.649,known_system_gap,0.2749,0.0,0.0,0.0
XQSD-A-2L-BB-1_deflection,西樵水道特大桥,XQSD-A-2L-BB-1,deflection,82.682,79.318,81.673,known_system_gap,0.2741,0.0,0.0,0.0
XQSD-D-3L-BB-2_deflection,西樵水道特大桥,XQSD-D-3L-BB-2,deflection,82.721,79.4,81.725,known_system_gap,0.2732,0.0,0.0,0.0
XQSD-B-1L-BB-1_deflection,西樵水道特大桥,XQSD-B-1L-BB-1,deflection,82.721,79.407,81.727,known_system_gap,0.2731,0.0,0.0,0.0
XQSD-A-1L-BB-1_deflection,西樵水道特大桥,XQSD-A-1L-BB-1,deflection,82.76,79.336,81.733,known_system_gap,0.2736,0.0,0.0,0.0
XQSD-2-2D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-2-2D-LX-2,measureDisplacement,83.678,79.709,82.487,known_system_gap,0.2657,0.0,0.0,0.0
XQSD-2-4D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-2-4D-LX-2,measureDisplacement,83.697,79.737,82.509,known_system_gap,0.2654,0.0,0.0,0.0
XQSD-2-1D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-2-1D-LX-1,measureDisplacement,83.736,79.647,82.509,known_system_gap,0.2661,0.0,0.0,0.0
XQSD-1-3D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-1-3D-LX-1,measureDisplacement,83.736,79.691,82.523,known_system_gap,0.2656,0.0,0.0,0.0
XQSD-1-3D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-1-3D-LX-2,measureDisplacement,83.736,79.7,82.525,known_system_gap,0.2655,0.0,0.0,0.0
XQSD-2-4D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-2-4D-LX-1,measureDisplacement,83.736,79.746,82.539,known_system_gap,0.2651,0.0,0.0,0.0
XQSD-2-3D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-2-3D-LX-1,measureDisplacement,83.775,79.673,82.545,known_system_gap,0.2656,0.0,0.0,0.0
XQSD-1-1D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-1-1D-LX-1,measureDisplacement,83.775,79.673,82.545,known_system_gap,0.2656,0.0,0.0,0.0
XQSD-1-1D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-1-1D-LX-2,measureDisplacement,83.795,79.665,82.556,known_system_gap,0.2656,0.0,0.0,0.0
XQSD-2-2D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-2-2D-LX-1,measureDisplacement,83.697,79.922,82.565,known_system_gap,0.2635,0.0,0.0,0.0
XQSD-2-1D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-2-1D-LX-2,measureDisplacement,83.736,79.842,82.568,known_system_gap,0.2641,0.0,0.0,0.0
XQSD-1-4D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-1-4D-LX-1,measureDisplacement,83.795,79.736,82.577,known_system_gap,0.2649,0.0,0.0,0.0
XQSD-1-2D-LX-1_measureDisplacement,西樵水道特大桥,XQSD-1-2D-LX-1,measureDisplacement,83.795,79.746,82.58,known_system_gap,0.2648,0.0,0.0,0.0
XQSD-1-4D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-1-4D-LX-2,measureDisplacement,83.814,79.718,82.585,known_system_gap,0.265,0.0,0.0,0.0
XQSD-2-3D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-2-3D-LX-2,measureDisplacement,83.756,79.878,82.592,known_system_gap,0.2637,0.0,0.0,0.0
XQSD-1-2D-LX-2_measureDisplacement,西樵水道特大桥,XQSD-1-2D-LX-2,measureDisplacement,83.834,79.736,82.604,known_system_gap,0.2647,0.0,0.0,0.0
XQSD-1-3D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-3D-LX-1,beamPierRelativeDisplacement,89.024,78.202,85.777,known_system_gap,0.2566,0.0,0.0,0.0
XQSD-1-3D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-3D-LX-2,beamPierRelativeDisplacement,90.043,78.246,86.504,known_system_gap,0.2515,0.0,0.0,0.0
XQSD-1-2D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-2D-LX-2,beamPierRelativeDisplacement,90.121,78.111,86.518,known_system_gap,0.2526,0.0,0.0,0.0
XQSD-2-1D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-1D-LX-2,beamPierRelativeDisplacement,90.082,78.362,86.566,known_system_gap,0.2502,0.0,0.0,0.0
XQSD-1-1D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-1D-LX-1,beamPierRelativeDisplacement,90.355,77.879,86.612,known_system_gap,0.2538,0.0,0.0,0.0
XQSD-1-4D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-4D-LX-1,beamPierRelativeDisplacement,90.414,78.032,86.699,known_system_gap,0.252,0.0,0.0,0.0
XQSD-1-1D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-1D-LX-2,beamPierRelativeDisplacement,90.453,78.124,86.754,known_system_gap,0.2509,0.0,0.0,0.0
XQSD-2-3D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-3D-LX-1,beamPierRelativeDisplacement,90.785,78.291,87.036,known_system_gap,0.2478,0.0,0.0,0.0
XQSD-1-4D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-4D-LX-2,beamPierRelativeDisplacement,91.038,78.012,87.13,known_system_gap,0.2494,0.0,0.0,0.0
XQSD-2-2D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-2D-LX-1,beamPierRelativeDisplacement,91.097,78.502,87.318,known_system_gap,0.2441,0.0,0.0,0.0
XQSD-2-2D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-2D-LX-2,beamPierRelativeDisplacement,91.312,78.397,87.437,known_system_gap,0.2442,0.0,0.0,0.0
XQSD-1-2D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-1-2D-LX-1,beamPierRelativeDisplacement,91.683,78.197,87.637,known_system_gap,0.2447,0.0,0.0,0.0
XQSD-2-3D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-3D-LX-2,beamPierRelativeDisplacement,91.546,78.546,87.646,known_system_gap,0.2417,0.0,0.0,0.0
XQSD-2-1D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-1D-LX-1,beamPierRelativeDisplacement,92.405,78.158,88.131,known_system_gap,0.2417,0.0,0.0,0.0
XQSD-2-4D-LX-1_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-4D-LX-1,beamPierRelativeDisplacement,92.756,78.552,88.495,known_system_gap,0.2362,0.0,0.0,0.0
XQSD-2-4D-LX-2_beamPierRelativeDisplacement,西樵水道特大桥,XQSD-2-4D-LX-2,beamPierRelativeDisplacement,92.971,78.601,88.66,known_system_gap,0.2346,0.0,0.0,0.0
XQSD-B-2D-WSD-1_temperature,西樵水道特大桥,XQSD-B-2D-WSD-1,temperature,96.954,79.668,91.768,known_system_gap,0.2059,0.0,0.0,0.0
XQSD-2-1D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-2-1D-QJ-1,xAxisAngle,96.993,79.65,91.79,known_system_gap,0.2059,0.0,0.0,0.0
XQSD-2-1D-QJ-1_temperature,西樵水道特大桥,XQSD-2-1D-QJ-1,temperature,96.993,79.65,91.79,known_system_gap,0.2059,0.0,0.0,0.0
XQSD-2-1D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-2-1D-QJ-1,yAxisAngle,96.993,79.65,91.79,known_system_gap,0.2059,0.0,0.0,0.0
XQSD-B-2D-WSD-1_humidity,西樵水道特大桥,XQSD-B-2D-WSD-1,humidity,96.993,79.668,91.796,known_system_gap,0.2057,0.0,0.0,0.0
XQSD-1-2D-QJ-1_temperature,西樵水道特大桥,XQSD-1-2D-QJ-1,temperature,96.935,79.924,91.831,known_system_gap,0.2035,0.0,0.0,0.0
XQSD-1-2D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-1-2D-QJ-1,xAxisAngle,96.935,79.924,91.831,known_system_gap,0.2035,0.0,0.0,0.0
XQSD-1-2D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-1-2D-QJ-1,yAxisAngle,96.935,79.924,91.831,known_system_gap,0.2035,0.0,0.0,0.0
XQSD-1-1D-QJ-1_temperature,西樵水道特大桥,XQSD-1-1D-QJ-1,temperature,96.954,79.883,91.833,known_system_gap,0.2038,0.0,0.0,0.0
XQSD-1-1D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-1-1D-QJ-1,xAxisAngle,96.954,79.883,91.833,known_system_gap,0.2038,0.0,0.0,0.0
XQSD-1-1D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-1-1D-QJ-1,yAxisAngle,96.954,79.883,91.833,known_system_gap,0.2038,0.0,0.0,0.0
XQSD-1-4D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-1-4D-QJ-1,yAxisAngle,97.052,79.824,91.884,known_system_gap,0.2039,0.0,0.0,0.0
XQSD-1-4D-QJ-1_temperature,西樵水道特大桥,XQSD-1-4D-QJ-1,temperature,97.052,79.824,91.884,known_system_gap,0.2039,0.0,0.0,0.0
XQSD-1-4D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-1-4D-QJ-1,xAxisAngle,97.052,79.824,91.884,known_system_gap,0.2039,0.0,0.0,0.0
XQSD-2-3D-QJ-1_temperature,西樵水道特大桥,XQSD-2-3D-QJ-1,temperature,97.13,79.732,91.911,known_system_gap,0.2045,0.0,0.0,0.0
XQSD-2-3D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-2-3D-QJ-1,xAxisAngle,97.13,79.732,91.911,known_system_gap,0.2045,0.0,0.0,0.0
XQSD-2-3D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-2-3D-QJ-1,yAxisAngle,97.13,79.732,91.911,known_system_gap,0.2045,0.0,0.0,0.0
XQSD-C-2L-BB-1_pressure,西樵水道特大桥,XQSD-C-2L-BB-1,pressure,97.149,79.775,91.937,known_system_gap,0.204,0.0,0.0,0.0
XQSD-C-2L-BB-1_temperature,西樵水道特大桥,XQSD-C-2L-BB-1,temperature,97.149,79.775,91.937,known_system_gap,0.204,0.0,0.0,0.0
XQSD-2-2D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-2-2D-QJ-1,yAxisAngle,97.13,79.87,91.952,known_system_gap,0.2031,0.0,0.0,0.0
XQSD-2-2D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-2-2D-QJ-1,xAxisAngle,97.13,79.87,91.952,known_system_gap,0.2031,0.0,0.0,0.0
XQSD-2-2D-QJ-1_temperature,西樵水道特大桥,XQSD-2-2D-QJ-1,temperature,97.13,79.87,91.952,known_system_gap,0.2031,0.0,0.0,0.0
XQSD-C-3D-BB-1_temperature,西樵水道特大桥,XQSD-C-3D-BB-1,temperature,97.188,79.792,91.97,known_system_gap,0.2037,0.0,0.0,0.0
XQSD-C-3D-BB-1_pressure,西樵水道特大桥,XQSD-C-3D-BB-1,pressure,97.188,79.792,91.97,known_system_gap,0.2037,0.0,0.0,0.0
XQSD-1-3D-QJ-1_temperature,西樵水道特大桥,XQSD-1-3D-QJ-1,temperature,97.247,79.824,92.02,known_system_gap,0.203,0.0,0.0,0.0
XQSD-1-3D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-1-3D-QJ-1,yAxisAngle,97.247,79.824,92.02,known_system_gap,0.203,0.0,0.0,0.0
XQSD-1-3D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-1-3D-QJ-1,xAxisAngle,97.247,79.824,92.02,known_system_gap,0.203,0.0,0.0,0.0
XQSD-2-4D-QJ-1_yAxisAngle,西樵水道特大桥,XQSD-2-4D-QJ-1,yAxisAngle,97.345,79.752,92.067,known_system_gap,0.2033,0.0,0.0,0.0
XQSD-2-4D-QJ-1_xAxisAngle,西樵水道特大桥,XQSD-2-4D-QJ-1,xAxisAngle,97.345,79.752,92.067,known_system_gap,0.2033,0.0,0.0,0.0
XQSD-2-4D-QJ-1_temperature,西樵水道特大桥,XQSD-2-4D-QJ-1,temperature,97.345,79.752,92.067,known_system_gap,0.2033,0.0,0.0,0.0
XQSD-C-3L-BB-2_pressure,西樵水道特大桥,XQSD-C-3L-BB-2,pressure,97.364,79.728,92.073,known_system_gap,0.2034,0.0,0.0,0.0
XQSD-C-3L-BB-2_temperature,西樵水道特大桥,XQSD-C-3L-BB-2,temperature,97.364,79.728,92.073,known_system_gap,0.2034,0.0,0.0,0.0
XQSD-B-3D-BB-1_pressure,西樵水道特大桥,XQSD-B-3D-BB-1,pressure,97.364,79.83,92.104,known_system_gap,0.2024,0.0,0.0,0.0
XQSD-B-3D-BB-1_temperature,西樵水道特大桥,XQSD-B-3D-BB-1,temperature,97.364,79.83,92.104,known_system_gap,0.2024,0.0,0.0,0.0
XQSD-A-2D-BB-2_temperature,西樵水道特大桥,XQSD-A-2D-BB-2,temperature,97.384,79.794,92.107,known_system_gap,0.2028,0.0,0.0,0.0
XQSD-A-2D-BB-2_pressure,西樵水道特大桥,XQSD-A-2D-BB-2,pressure,97.384,79.794,92.107,known_system_gap,0.2028,0.0,0.0,0.0
XQSD-C-2D-BB-2_temperature,西樵水道特大桥,XQSD-C-2D-BB-2,temperature,97.403,79.798,92.122,known_system_gap,0.2025,0.0,0.0,0.0
XQSD-C-2D-BB-2_pressure,西樵水道特大桥,XQSD-C-2D-BB-2,pressure,97.403,79.798,92.122,known_system_gap,0.2025,0.0,0.0,0.0
XQSD-B-2L-BB-1_temperature,西樵水道特大桥,XQSD-B-2L-BB-1,temperature,97.481,79.746,92.161,known_system_gap,0.2028,0.0,0.0,0.0
XQSD-B-2L-BB-1_pressure,西樵水道特大桥,XQSD-B-2L-BB-1,pressure,97.481,79.746,92.161,known_system_gap,0.2028,0.0,0.0,0.0
XQSD-A-1L-BB-1_temperature,西樵水道特大桥,XQSD-A-1L-BB-1,temperature,97.481,79.775,92.169,known_system_gap,0.2025,0.0,0.0,0.0
XQSD-A-1L-BB-1_pressure,西樵水道特大桥,XQSD-A-1L-BB-1,pressure,97.481,79.775,92.169,known_system_gap,0.2025,0.0,0.0,0.0
XQSD-A-3L-BB-2_temperature,西樵水道特大桥,XQSD-A-3L-BB-2,temperature,97.52,79.776,92.197,known_system_gap,0.2023,0.0,0.0,0.0
XQSD-A-3L-BB-2_pressure,西樵水道特大桥,XQSD-A-3L-BB-2,pressure,97.52,79.776,92.197,known_system_gap,0.2023,0.0,0.0,0.0
XQSD-D-2L-BB-1_temperature,西樵水道特大桥,XQSD-D-2L-BB-1,temperature,97.54,79.744,92.201,known_system_gap,0.2025,0.0,0.0,0.0
XQSD-D-2L-BB-1_pressure,西樵水道特大桥,XQSD-D-2L-BB-1,pressure,97.54,79.744,92.201,known_system_gap,0.2025,0.0,0.0,0.0
XQSD-A-3D-BB-1_pressure,西樵水道特大桥,XQSD-A-3D-BB-1,pressure,97.501,79.904,92.222,known_system_gap,0.201,0.0,0.0,0.0
XQSD-A-3D-BB-1_temperature,西樵水道特大桥,XQSD-A-3D-BB-1,temperature,97.501,79.904,92.222,known_system_gap,0.201,0.0,0.0,0.0
XQSD-B-3L-YB-1_frequency,西樵水道特大桥,XQSD-B-3L-YB-1,frequency,97.54,79.823,92.225,known_system_gap,0.2016,0.0,0.0,0.0
XQSD-B-3L-YB-1_temperature,西樵水道特大桥,XQSD-B-3L-YB-1,temperature,97.54,79.823,92.225,known_system_gap,0.2016,0.0,0.0,0.0
XQSD-D-2D-BB-2_temperature,西樵水道特大桥,XQSD-D-2D-BB-2,temperature,97.54,79.842,92.231,known_system_gap,0.2015,0.0,0.0,0.0
XQSD-D-2D-BB-2_pressure,西樵水道特大桥,XQSD-D-2D-BB-2,pressure,97.54,79.842,92.231,known_system_gap,0.2015,0.0,0.0,0.0
XQSD-B-1L-BB-1_pressure,西樵水道特大桥,XQSD-B-1L-BB-1,pressure,97.579,79.844,92.258,known_system_gap,0.2013,0.0,0.0,0.0
XQSD-B-1L-BB-1_temperature,西樵水道特大桥,XQSD-B-1L-BB-1,temperature,97.579,79.844,92.258,known_system_gap,0.2013,0.0,0.0,0.0
XQSD-A-2L-YB-1_frequency,西樵水道特大桥,XQSD-A-2L-YB-1,frequency,97.54,79.966,92.268,known_system_gap,0.2002,0.0,0.0,0.0
XQSD-A-2L-YB-1_temperature,西樵水道特大桥,XQSD-A-2L-YB-1,temperature,97.54,79.966,92.268,known_system_gap,0.2002,0.0,0.0,0.0
XQSD-B-3L-BB-2_pressure,西樵水道特大桥,XQSD-B-3L-BB-2,pressure,97.52,80.018,92.27,known_system_gap,0.1999,0.0,0.0,0.0
XQSD-B-3L-BB-2_temperature,西樵水道特大桥,XQSD-B-3L-BB-2,temperature,97.52,80.018,92.27,known_system_gap,0.1999,0.0,0.0,0.0
XQSD-B-2L-YB-1_temperature,西樵水道特大桥,XQSD-B-2L-YB-1,temperature,97.54,79.975,92.271,known_system_gap,0.2001,0.0,0.0,0.0
XQSD-B-1L-YB-1_frequency,西樵水道特大桥,XQSD-B-1L-YB-1,frequency,97.638,79.75,92.271,known_system_gap,0.2019,0.0,0.0,0.0
XQSD-A-3L-YB-1_temperature,西樵水道特大桥,XQSD-A-3L-YB-1,temperature,97.54,79.975,92.271,known_system_gap,0.2001,0.0,0.0,0.0
XQSD-A-3L-YB-1_frequency,西樵水道特大桥,XQSD-A-3L-YB-1,frequency,97.54,79.975,92.271,known_system_gap,0.2001,0.0,0.0,0.0
XQSD-B-2L-YB-1_frequency,西樵水道特大桥,XQSD-B-2L-YB-1,frequency,97.54,79.975,92.271,known_system_gap,0.2001,0.0,0.0,0.0
XQSD-B-1L-YB-1_temperature,西樵水道特大桥,XQSD-B-1L-YB-1,temperature,97.638,79.75,92.271,known_system_gap,0.2019,0.0,0.0,0.0
XQSD-A-1L-YB-1_temperature,西樵水道特大桥,XQSD-A-1L-YB-1,temperature,97.657,79.741,92.282,known_system_gap,0.2019,0.0,0.0,0.0
XQSD-A-1L-YB-1_frequency,西樵水道特大桥,XQSD-A-1L-YB-1,frequency,97.657,79.741,92.282,known_system_gap,0.2019,0.0,0.0,0.0
XQSD-C-3L-YB-1_frequency,西樵水道特大桥,XQSD-C-3L-YB-1,frequency,97.677,79.723,92.291,known_system_gap,0.202,0.0,0.0,0.0
XQSD-C-3L-YB-1_temperature,西樵水道特大桥,XQSD-C-3L-YB-1,temperature,97.677,79.723,92.291,known_system_gap,0.202,0.0,0.0,0.0
