sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
GXS-0-1L-YB-1_strain,single_bridge,GXS-0-1L-YB-1,strain,60.661,80.278,66.546,device_gap,0.363,0.0,0.0,0.0
GXS-0-1L-YB-3_strain,single_bridge,GXS-0-1L-YB-3,strain,60.678,80.278,66.558,device_gap,0.3629,0.0,0.0,0.0
GXS-0-1L-YB-4_strain,single_bridge,GXS-0-1L-YB-4,strain,60.695,80.317,66.582,device_gap,0.3624,0.0,0.0,0.0
GXS-0-1L-YB-2_strain,single_bridge,GXS-0-1L-YB-2,strain,60.661,80.442,66.595,device_gap,0.3614,0.0,0.0,0.0
GXS-0-1L-LX-4_measureDisplacement,single_bridge,GXS-0-1L-LX-4,measureDisplacement,64.066,81.904,69.418,device_gap,0.3313,0.0,0.0,0.0
GXS-0-1L-LX-2_measureDisplacement,single_bridge,GXS-0-1L-LX-2,measureDisplacement,64.049,82.016,69.439,device_gap,0.3302,0.0,0.0,0.0
GXS-0-1L-LX-1_measureDisplacement,single_bridge,GXS-0-1L-LX-1,measureDisplacement,64.1,81.929,69.449,device_gap,0.3309,0.0,0.0,0.0
GXS-0-1L-LX-3_measureDisplacement,single_bridge,GXS-0-1L-LX-3,measureDisplacement,64.1,82.06,69.488,device_gap,0.3295,0.0,0.0,0.0
GXS-0-1L-YB-4_frequency,single_bridge,GXS-0-1L-YB-4,frequency,90.401,82.014,87.885,known_system_gap,0.2105,0.0,0.0,0.0
GXS-0-1L-YB-4_temperature,single_bridge,GXS-0-1L-YB-4,temperature,90.401,82.014,87.885,known_system_gap,0.2105,0.0,0.0,0.0
GXS-0-1L-YB-3_temperature,single_bridge,GXS-0-1L-YB-3,temperature,90.503,81.96,87.94,known_system_gap,0.2105,0.0,0.0,0.0
GXS-0-1L-YB-3_frequency,single_bridge,GXS-0-1L-YB-3,frequency,90.503,81.96,87.94,known_system_gap,0.2105,0.0,0.0,0.0
GXS-0-1L-YB-1_temperature,single_bridge,GXS-0-1L-YB-1,temperature,90.52,81.96,87.952,known_system_gap,0.2105,0.0,0.0,0.0
GXS-0-1L-YB-1_frequency,single_bridge,GXS-0-1L-YB-1,frequency,90.52,81.96,87.952,known_system_gap,0.2105,0.0,0.0,0.0
GXS-0-1L-YB-2_temperature,single_bridge,GXS-0-1L-YB-2,temperature,90.452,82.148,87.961,known_system_gap,0.2089,0.0,0.0,0.0
GXS-0-1L-YB-2_frequency,single_bridge,GXS-0-1L-YB-2,frequency,90.452,82.148,87.961,known_system_gap,0.2089,0.0,0.0,0.0
GXS-0-1L-LX-2_beamPierRelativeDisplacement,single_bridge,GXS-0-1L-LX-2,beamPierRelativeDisplacement,91.872,81.77,88.842,known_system_gap,0.2079,0.0,0.0,0.0
GXS-0-1L-LX-4_beamPierRelativeDisplacement,single_bridge,GXS-0-1L-LX-4,beamPierRelativeDisplacement,92.676,81.767,89.404,known_system_gap,0.2043,0.0,0.0,0.0
GXS-0-1L-LX-1_beamPierRelativeDisplacement,single_bridge,GXS-0-1L-LX-1,beamPierRelativeDisplacement,92.693,81.794,89.424,known_system_gap,0.204,0.0,0.0,0.0
GXS-0-1L-LX-3_beamPierRelativeDisplacement,single_bridge,GXS-0-1L-LX-3,beamPierRelativeDisplacement,93.104,81.717,89.688,known_system_gap,0.2027,0.0,0.0,0.0
GXS-0-1L-WSD-1_temperature,single_bridge,GXS-0-1L-WSD-1,temperature,97.724,82.651,93.202,known_system_gap,0.1723,0.0,0.0,0.0
GXS-0-1D-QJ-1_yAxisAngle,single_bridge,GXS-0-1D-QJ-1,yAxisAngle,98.012,82.774,93.44,known_system_gap,0.1696,0.0,0.0,0.0
GXS-0-1D-QJ-1_temperature,single_bridge,GXS-0-1D-QJ-1,temperature,98.015,82.774,93.443,known_system_gap,0.1696,0.0,0.0,0.0
GXS-0-1D-QJ-1_xAxisAngle,single_bridge,GXS-0-1D-QJ-1,xAxisAngle,98.015,82.774,93.443,known_system_gap,0.1696,0.0,0.0,0.0
GXS-0-1L-WSD-1_humidity,single_bridge,GXS-0-1L-WSD-1,humidity,98.049,82.705,93.446,known_system_gap,0.1703,0.0,0.0,0.0
GXS-0-0D-QJ-1_yAxisAngle,single_bridge,GXS-0-0D-QJ-1,yAxisAngle,98.183,82.644,93.522,known_system_gap,0.1701,0.0,0.0,0.0
GXS-0-0D-QJ-1_xAxisAngle,single_bridge,GXS-0-0D-QJ-1,xAxisAngle,98.186,82.644,93.524,known_system_gap,0.1701,0.0,0.0,0.0
GXS-0-0D-QJ-1_temperature,single_bridge,GXS-0-0D-QJ-1,temperature,98.186,82.644,93.524,known_system_gap,0.1701,0.0,0.0,0.0
