bridge,bridge_name,samples,sensor_count,total_missing_ratio,system_missing_ratio,device_missing_ratio,avg_device_health,avg_availability,bridge_project_score
大岗沥大桥,大岗沥大桥,11164,28,0.3029,0.2443,0.0586,87.108,74.338,83.277
子沙大桥,子沙大桥,12567,22,0.2953,0.25,0.0453,90.023,72.756,84.843
新榄核大桥,新榄核大桥,11288,31,0.193,0.1656,0.0273,93.984,82.529,90.548
新浅海大桥,新浅海大桥,11287,29,0.3496,0.2915,0.0581,87.211,67.803,81.389
榄核桥,榄核桥,11276,22,0.1975,0.1679,0.0297,93.469,82.257,90.105
民生桥,民生桥,11277,18,0.1941,0.17,0.0241,94.686,82.079,90.904
沥心沙大桥,沥心沙大桥,11260,70,0.2656,0.2098,0.0558,87.716,78.164,84.85
浅海大桥,浅海大桥,12266,22,0.2765,0.218,0.0585,87.135,76.106,83.826
灵岗一桥,灵岗一桥,11279,22,0.2005,0.171,0.0295,93.509,81.967,90.046
灵岗二桥,灵岗二桥,11278,22,0.222,0.192,0.03,93.395,79.406,89.198
蕉门水道特大桥,蕉门水道特大桥,11274,151,0.2826,0.2379,0.0447,90.164,74.801,85.555
西樵水道特大桥,西樵水道特大桥,11268,154,0.2315,0.1944,0.0371,91.842,79.429,88.118
高新沙大桥,高新沙大桥,12857,28,0.2369,0.1683,0.0686,84.91,81.93,84.016
