sensor,health_index,abnormal_ratio,dominant_label,mean_score,missing_count,spike_count,drift_count,stuck_count,graph_inconsistent_count
XQSD-C-1L-YB-1_strain,84.135,0.1587,normal,51.578476,1462,0,0,0,0
XQSD-C-3L-YB-1_strain,84.178,0.1582,normal,51.764201,1458,0,0,0,0
XQSD-C-2L-YB-1_strain,84.211,0.1579,normal,51.331176,1455,0,0,0,0
XQSD-D-1L-YB-1_strain,84.254,0.1575,normal,51.809538,1451,0,0,0,0
XQSD-D-3L-YB-1_strain,84.428,0.1557,normal,51.818508,1435,0,0,0,0
XQSD-D-2L-YB-1_strain,84.438,0.1556,normal,51.455716,1434,0,0,0,0
XQSD-B-1L-YB-1_strain,84.645,0.1536,normal,51.871741,1415,0,0,0,0
XQSD-A-1L-YB-1_strain,84.666,0.1533,normal,51.549894,1413,0,0,0,0
XQSD-B-3L-YB-1_strain,84.721,0.1528,normal,51.546196,1408,0,0,0,0
XQSD-B-2L-YB-1_strain,84.927,0.1507,normal,51.488704,1389,0,0,0,0
XQSD-A-3L-YB-1_strain,84.959,0.1504,normal,51.378148,1386,0,0,0,0
XQSD-A-2L-YB-1_strain,85.003,0.15,normal,53.074553,1382,0,0,0,0
XQSD-C-2D-BB-2_deflection,87.477,0.1252,normal,51.419469,1154,0,0,0,0
XQSD-D-2D-BB-2_deflection,87.575,0.1243,normal,51.411708,1145,0,0,0,0
XQSD-A-3D-BB-1_deflection,87.64,0.1236,normal,51.428054,1139,0,0,0,0
XQSD-B-3D-BB-1_deflection,87.792,0.1221,normal,51.441277,1125,0,0,0,0
XQSD-C-3D-BB-1_deflection,87.965,0.1203,normal,51.408314,1109,0,0,0,0
XQSD-D-3D-BB-1_deflection,88.095,0.119,normal,51.426227,1097,0,0,0,0
XQSD-B-2D-BB-2_deflection,88.171,0.1183,normal,51.426087,1090,0,0,0,0
XQSD-A-2D-BB-2_deflection,88.204,0.118,normal,51.419132,1087,0,0,0,0
XQSD-C-1L-BB-1_deflection,88.388,0.1161,normal,67.274537,1070,0,0,0,0
XQSD-D-1L-BB-1_deflection,88.388,0.1161,normal,66.703629,1070,0,0,0,0
XQSD-D-2L-BB-1_deflection,88.443,0.1156,normal,56.18574,1065,0,0,0,0
XQSD-C-2L-BB-1_deflection,88.562,0.1144,normal,55.776412,1054,0,0,0,0
XQSD-B-2L-BB-1_deflection,88.627,0.1137,normal,56.921644,1048,0,0,0,0
XQSD-A-3L-BB-2_deflection,88.66,0.1134,normal,72.868931,1045,0,0,0,0
XQSD-B-3L-BB-2_deflection,88.681,0.1132,normal,68.837713,1043,0,0,0,0
XQSD-C-3L-BB-2_deflection,88.703,0.113,normal,65.444013,1041,0,0,0,0
XQSD-A-2L-BB-1_deflection,88.757,0.1124,normal,56.618728,1036,0,0,0,0
XQSD-A-1L-BB-1_deflection,88.833,0.1117,normal,68.61923,1029,0,0,0,0
XQSD-B-1L-BB-1_deflection,88.899,0.111,normal,66.529025,1023,0,0,0,0
XQSD-D-3L-BB-2_deflection,88.899,0.111,normal,66.100283,1023,0,0,0,0
XQSD-2-1D-LX-1_measureDisplacement,89.745,0.1026,normal,75.427583,945,0,0,0,0
XQSD-2-2D-LX-2_measureDisplacement,89.799,0.102,normal,52.204261,940,0,0,0,0
XQSD-1-1D-LX-1_measureDisplacement,89.81,0.1019,normal,65.51928,939,0,0,0,0
XQSD-1-1D-LX-2_measureDisplacement,89.81,0.1019,normal,52.912571,939,0,0,0,0
XQSD-1-3D-LX-1_measureDisplacement,89.81,0.1019,normal,75.876945,939,0,0,0,0
XQSD-1-3D-LX-2_measureDisplacement,89.81,0.1019,normal,52.167445,939,0,0,0,0
XQSD-2-3D-LX-1_measureDisplacement,89.832,0.1017,normal,66.332098,937,0,0,0,0
XQSD-2-4D-LX-2_measureDisplacement,89.843,0.1016,normal,51.743936,936,0,0,0,0
XQSD-1-4D-LX-2_measureDisplacement,89.875,0.1012,normal,51.865478,933,0,0,0,0
XQSD-2-4D-LX-1_measureDisplacement,89.875,0.1012,normal,62.067377,933,0,0,0,0
XQSD-1-2D-LX-1_measureDisplacement,89.908,0.1009,normal,73.168645,930,0,0,0,0
XQSD-1-4D-LX-1_measureDisplacement,89.908,0.1009,normal,54.381171,930,0,0,0,0
XQSD-1-2D-LX-2_measureDisplacement,89.919,0.1008,normal,72.014113,929,0,0,0,0
XQSD-2-1D-LX-2_measureDisplacement,89.984,0.1002,normal,64.934389,923,0,0,0,0
XQSD-2-3D-LX-2_measureDisplacement,90.049,0.0995,normal,51.603673,917,0,0,0,0
XQSD-2-2D-LX-1_measureDisplacement,90.092,0.0991,normal,69.308707,913,0,0,0,0
XQSD-1-3D-LX-1_beamPierRelativeDisplacement,90.917,0.0908,normal,141.525262,837,0,0,0,0
XQSD-1-1D-LX-1_beamPierRelativeDisplacement,91.253,0.0875,normal,93.733342,806,0,0,0,0
XQSD-1-2D-LX-2_beamPierRelativeDisplacement,91.405,0.0859,normal,90.656779,792,0,0,0,0
XQSD-1-4D-LX-1_beamPierRelativeDisplacement,91.492,0.0851,normal,62.322562,784,0,0,0,0
XQSD-1-3D-LX-2_beamPierRelativeDisplacement,91.525,0.0848,normal,52.738605,781,0,0,0,0
XQSD-1-1D-LX-2_beamPierRelativeDisplacement,91.612,0.0839,normal,51.190142,773,0,0,0,0
XQSD-2-1D-LX-2_beamPierRelativeDisplacement,91.687,0.0831,normal,87.050889,766,0,0,0,0
XQSD-1-4D-LX-2_beamPierRelativeDisplacement,91.785,0.0821,normal,53.233331,757,0,0,0,0
XQSD-2-3D-LX-1_beamPierRelativeDisplacement,92.013,0.0799,normal,86.921924,736,0,0,0,0
XQSD-1-2D-LX-1_beamPierRelativeDisplacement,92.371,0.0763,normal,102.758947,703,0,0,0,0
XQSD-2-2D-LX-2_beamPierRelativeDisplacement,92.425,0.0757,normal,50.933428,698,0,0,0,0
XQSD-2-2D-LX-1_beamPierRelativeDisplacement,92.458,0.0754,normal,90.477424,695,0,0,0,0
XQSD-2-1D-LX-1_beamPierRelativeDisplacement,92.718,0.0728,normal,246.139167,671,0,0,0,0
XQSD-2-3D-LX-2_beamPierRelativeDisplacement,92.729,0.0727,normal,52.305592,670,0,0,0,0
XQSD-2-4D-LX-1_beamPierRelativeDisplacement,93.413,0.0659,normal,75.009859,607,0,0,0,0
XQSD-2-4D-LX-2_beamPierRelativeDisplacement,93.597,0.064,normal,53.076814,590,0,0,0,0
XQSD-2-1D-QJ-1_temperature,97.103,0.029,normal,50.849129,267,0,0,0,0
XQSD-2-1D-QJ-1_xAxisAngle,97.103,0.029,normal,56.833239,267,0,0,0,0
XQSD-2-1D-QJ-1_yAxisAngle,97.103,0.029,normal,57.196711,267,0,0,0,0
XQSD-B-2D-WSD-1_temperature,97.103,0.029,normal,50.318577,267,0,0,0,0
XQSD-B-2D-WSD-1_humidity,97.124,0.0288,normal,51.316189,265,0,0,0,0
XQSD-2-3D-QJ-1_temperature,97.276,0.0272,normal,50.910712,251,0,0,0,0
XQSD-2-3D-QJ-1_xAxisAngle,97.276,0.0272,normal,55.508662,251,0,0,0,0
XQSD-2-3D-QJ-1_yAxisAngle,97.276,0.0272,normal,62.396333,251,0,0,0,0
XQSD-C-2L-BB-1_pressure,97.33,0.0267,normal,56.659542,246,0,0,0,0
XQSD-C-2L-BB-1_temperature,97.33,0.0267,normal,50.425605,246,0,0,0,0
XQSD-1-4D-QJ-1_temperature,97.352,0.0265,normal,50.992307,244,0,0,0,0
XQSD-1-4D-QJ-1_xAxisAngle,97.352,0.0265,normal,56.318581,244,0,0,0,0
XQSD-1-4D-QJ-1_yAxisAngle,97.352,0.0265,normal,54.471094,244,0,0,0,0
XQSD-1-1D-QJ-1_temperature,97.363,0.0264,normal,51.046035,243,0,0,0,0
XQSD-1-1D-QJ-1_xAxisAngle,97.363,0.0264,normal,58.000607,243,0,0,0,0
XQSD-1-1D-QJ-1_yAxisAngle,97.363,0.0264,normal,60.742553,243,0,0,0,0
